"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"NACHT, LRR and PYD domains-containing protein 3","NLRP3","Q96P20","CHEMBL1741208","Unclassified protein","0.956569123514342","66 /  26   "
"Transient receptor potential cation channel subfamily V member 1","TRPV1","Q8NER1","CHEMBL4794","Voltage-gated ion channel","0.8972855526478354","137 /  278   "
"Estrogen receptor","ESR1","P03372","CHEMBL206","Nuclear receptor","0.7395657101185389","2236 /  170   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.7189644141565275","395 /  360   "
"Cholinesterase","BCHE","P06276","CHEMBL1914","Hydrolase","0.6623356507313459","274 /  213   "
"Histone deacetylase 3","HDAC3","O15379","CHEMBL1829","Eraser","0.6049861533373215","90 /  284   "
"Rho-associated protein kinase 2","ROCK2","O75116","CHEMBL2973","Kinase","0.569802888747916","154 /  447   "
"NADP-dependent malic enzyme, mitochondrial","ME3","Q16798","CHEMBL6182","Oxidoreductase","0.4908456248837427","29 /  21   "
"Amine oxidase [flavin-containing] B","MAOB","P27338","CHEMBL2039","Oxidoreductase","0.48814162227826075","579 /  186   "
"Nuclear receptor ROR-gamma","RORC","P51449","CHEMBL1741186","Nuclear receptor","0.48695767040686444","114 /  392   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.47762197456598887","555 /  361   "
"Amine oxidase [flavin-containing] A","MAOA","P21397","CHEMBL1951","Oxidoreductase","0.4524263324322513","294 /  137   "
"Sphingolipid delta(4)-desaturase DES1","DEGS1","O15121","CHEMBL2021749","Oxidoreductase","0.4186437827052414","42 /  28   "
"Rho-associated protein kinase 1","ROCK1","Q13464","CHEMBL3231","Kinase","0.41239621924482456","33 /  119   "
"D(2) dopamine receptor","DRD2","P14416","CHEMBL217","Family A G protein-coupled receptor","0.4104328127097663","680 /  735   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","0.40570646735800125","480 /  325   "
"5-hydroxytryptamine receptor 1A","HTR1A","P08908","CHEMBL214","Family A G protein-coupled receptor","0.40447574735776176","270 /  501   "
"D(4) dopamine receptor","DRD4","P21917","CHEMBL219","Family A G protein-coupled receptor","0.3900334081430845","197 /  390   "
"Histone deacetylase 1","HDAC1","Q13547","CHEMBL325","Eraser","0.3895510703803085","278 /  646   "
"Cannabinoid receptor 2","CNR2","P34972","CHEMBL253","Family A G protein-coupled receptor","0.37953238430355163","617 /  140   "
"Transthyretin","TTR","P02766","CHEMBL3194","Secreted protein","0.36563584806217914","57 /  9   "
"Histone deacetylase 6","HDAC6","Q9UBN7","CHEMBL1865","Eraser","0.36218239588885076","288 /  236   "
"Bifunctional epoxide hydrolase 2","EPHX2","P34913","CHEMBL2409","Protease","0.3446301719707782","41 /  256   "
"Histone deacetylase 8","HDAC8","Q9BY41","CHEMBL3192","Eraser","0.33801590058234665","129 /  220   "
"Cyclin-dependent kinase 2","CDK2","P24941","CHEMBL301","Kinase","0.31668572641715187","276 /  92   "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","0.309724419341677","462 /  261   "
"Delta-type opioid receptor","OPRD1","P41143","CHEMBL236","Family A G protein-coupled receptor","0.2888989754210315","1732 /  414   "
"Carbonic anhydrase 12","CA12","O43570","CHEMBL3242","Lyase","0.2874805175886469","373 /  236   "
"Cannabinoid receptor 1","CNR1","P21554","CHEMBL218","Family A G protein-coupled receptor","0.2862985369263952","428 /  117   "
"NADP-dependent malic enzyme","ME1","P48163","CHEMBL3495","Enzyme","0.276688830126942","29 /  19   "
"NAD-dependent malic enzyme, mitochondrial","ME2","P23368","CHEMBL5291602","Oxidoreductase","0.276688830126942","27 /  19   "
"Sodium-dependent noradrenaline transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.2600766317643421","64 /  305   "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.26007380378720363","1389 /  111   "
"Hepatocyte growth factor receptor","MET","P08581","CHEMBL3717","Kinase","0.25819168468732623","291 /  91   "
"Mu-type opioid receptor","OPRM1","P35372","CHEMBL233","Family A G protein-coupled receptor","0.25526463634141816","1637 /  512   "
"Carbonic anhydrase 14","CA14","Q9ULX7","CHEMBL3510","Lyase","0.24015781624131524","52 /  48   "
"Carbonic anhydrase 7","CA7","P43166","CHEMBL2326","Lyase","0.24015781624131524","73 /  92   "
"Alpha-synuclein","SNCA","P37840","CHEMBL6152","Unclassified protein","0.23821759150592256","37 /  75   "
"Mitogen-activated protein kinase kinase kinase 5","MAP3K5","Q99683","CHEMBL5285","Kinase","0.23428683705526768","13 /  2   "
"Kappa-type opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.23273907533603555","1533 /  420   "
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 1, mitochondrial","PDK1","Q15118","CHEMBL4766","Kinase","0.22726234368715093","480 /  70   "
"DNA polymerase theta","POLQ","O75417","CHEMBL6025","Transferase","0.2195460177018572","2 /  22   "
"Carbonic anhydrase 4","CA4","P22748","CHEMBL3729","Lyase","0.2185400514788091","60 /  76   "
"Liver carboxylesterase 1","CES1","P23141","CHEMBL2265","Hydrolase","0.21685819086552005","2 /  37   "
"Prostaglandin E2 receptor EP4 subtype","PTGER4","P35408","CHEMBL1836","Family A G protein-coupled receptor","0.21314566650544797","8 /  57   "
"Transient receptor potential cation channel subfamily M member 8","TRPM8","Q7Z2W7","CHEMBL1075319","Voltage-gated ion channel","0.20437207428210707","70 /  41   "
"Cocaine esterase","CES2","O00748","CHEMBL3180","Hydrolase","0.19055029582467659","25 /  9   "
"Receptor-type tyrosine-protein kinase FLT3","FLT3","P36888","CHEMBL1974","Kinase","0.18781068598728182","197 /  83   "
"Platelet-derived growth factor receptor beta","PDGFRB","P09619","CHEMBL1913","Kinase","0.18781068598728182","470 /  56   "
"Anoctamin-1","ANO1","Q5XXA6","CHEMBL2046267","Other ion channel","0.18602349029203194","162 /  202   "
"17-beta-hydroxysteroid dehydrogenase type 2","HSD17B2","P37059","CHEMBL2789","Oxidoreductase","0.18512423399881203","389 /  19   "
"Melatonin receptor type 1B","MTNR1B","P49286","CHEMBL1946","Family A G protein-coupled receptor","0.1827578015778357","13 /  301   "
"Melatonin receptor type 1A","MTNR1A","P48039","CHEMBL1945","Family A G protein-coupled receptor","0.1827578015778357","14 /  364   "
"[Pyruvate dehydrogenase (acetyl-transferring)] kinase isozyme 2, mitochondrial","PDK2","Q15119","CHEMBL3861","Kinase","0.18014461763350292","45 /  49   "
"Aldehyde dehydrogenase, mitochondrial","ALDH2","P05091","CHEMBL1935","Oxidoreductase","0.17543755227182026","40 /  13   "
"Gamma-secretase","N/A","Q96BI3&Q9NZ42&Q8WW43&P49768&Q92542&P49810","CHEMBL2094135","Protease","0.1746818858003318","9 /  82   "
"Signal transducer and activator of transcription 3","STAT3","P40763","CHEMBL4026","Transcription factor","0.174652625487038","247 /  15   "
