"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Heat shock protein HSP 90-alpha","HSP90AA1","P07900","CHEMBL3880","Other cytosolic protein","0.016376385409328623","0 /  19   "
"Squalene synthase","FDFT1","P37268","CHEMBL3338","Transferase","0.016230227283741138","0 /  31   "
"Zinc finger protein GLI1","GLI1","P08151","CHEMBL5461","Transcription factor","0.014690105666642582","0 /  5   "
"Isocitrate dehydrogenase [NADP] cytoplasmic","IDH1","O75874","CHEMBL2007625","Oxidoreductase","0.014690105666642582","0 /  2   "
"Potassium voltage-gated channel subfamily A member 3","KCNA3","P22001","CHEMBL4633","Voltage-gated ion channel","0.013725361004973288","0 /  6   "
"Neurogenic locus notch homolog protein 1","NOTCH1","P46531","CHEMBL2146346","Membrane receptor","0.013530718048977881","0 /  1   "
"Signal transducer and activator of transcription 3","STAT3","P40763","CHEMBL4026","Transcription factor","0.010583612875535036","0 /  21   "
"Protein kinase C alpha type","PRKCA","P17252","CHEMBL299","Kinase","0.008617062208391249","0 /  320   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.008217072398848406","0 /  17   "
"Motilin receptor","MLNR","O43193","CHEMBL2203","Family A G protein-coupled receptor","0.00776423568629185","0 /  3   "
"Protein kinase C delta type","PRKCD","Q05655","CHEMBL2996","Kinase","0.007681984012518583","0 /  92   "
"Protein kinase C theta type","PRKCQ","Q04759","CHEMBL3920","Kinase","0.007681984012518583","0 /  15   "
"Protein kinase C epsilon type","PRKCE","Q02156","CHEMBL3582","Kinase","0.007681984012518583","0 /  74   "
"Protein kinase C eta type","PRKCH","P24723","CHEMBL3616","Kinase","0.007681984012518583","0 /  14   "
"Protein kinase C beta type","PRKCB","P05771","CHEMBL3045","Kinase","0.007681984012518583","0 /  22   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1","ATP2A1","O14983","CHEMBL3136","Primary active transporter","0.0070428014034039236","0 /  6   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.006303176467586276","0 /  59   "
"Nicotinamide N-methyltransferase","NNMT","P40261","CHEMBL2346486","Transferase","0.005489745824763009","0 /  1   "
"Glycine receptor subunit alpha-2","GLRA2","P23416","CHEMBL5871","Ligand-gated ion channel","0.005382362515525551","0 /  5   "
"Glycine receptor subunit alpha-1","GLRA1","P23415","CHEMBL5845","Ligand-gated ion channel","0.005382362515525551","0 /  7   "
"Protein phosphatase 1A","PPM1A","P35813","CHEMBL2437","Phosphatase","0.0051446495890315955","0 /  1   "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Transferase","0.004878304810761681","0 /  5   "
"Transcription factor Jun","JUN","P05412","CHEMBL4977","Transcription factor","0.0046392287995267465","0 /  4   "
"Bromodomain-containing protein 3","BRD3","Q15059","CHEMBL1795186","Reader","0.004290693759417149","0 /  9   "
"Bromodomain-containing protein 4","BRD4","O60885","CHEMBL1163125","Reader","0.004290693759417149","0 /  10   "
"Nuclear factor erythroid 2-related factor 2","NFE2L2","Q16236","CHEMBL1075094","Transcription factor","0.003938853077685686","0 /  7   "
"Toll-like receptor 9","TLR9","Q9NR96","CHEMBL5804","Toll-like and Il-1 receptors","0.0038063248599474533","0 /  2   "
"Platelet-activating factor receptor","PTAFR","P25105","CHEMBL250","Family A G protein-coupled receptor","0.003719724311630799","0 /  11   "
"Beta-glucuronidase","GUSB","P08236","CHEMBL2728","Hydrolase","0.003719724311630799","0 /  1   "
"Interleukin-2","IL2","P60568","CHEMBL5880","Secreted protein","0.0035304052740964638","0 /  1   "
"Proteasome Macropain subunit MB1","PSMB5","P28074","CHEMBL4662","Protease","0.0034372016429141563","0 /  2   "
"Proteasome component C5","PSMB1","P20618","CHEMBL4208","Protease","0.0034372016429141563","0 /  2   "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.0034372016429141563","0 /  71   "
"Bcl-2-like protein 1","BCL2L1","Q07817","CHEMBL4625","Other ion channel","0.0033373016482994957","0 /  5   "
"Serine/threonine-protein phosphatase 2A activator","PTPA","Q15257","CHEMBL2505","Phosphatase","0.00322010292310624","0 /  1   "
"Endothelial PAS domain-containing protein 1","EPAS1","Q99814","CHEMBL1744522","Transcription factor","0.0031930540787825845","0 /  3   "
"Kir3.1/Kir3.4","N/A","P48549&P48544","CHEMBL3038488","Voltage-gated ion channel","0.0031420201118221615","0 /  11   "
"DNA (cytosine-5)-methyltransferase 3A","DNMT3A","Q9Y6K1","CHEMBL1992","Writer","0.0031179437129589364","0 /  1   "
"Tyrosine-protein phosphatase non-receptor type 11","PTPN11","Q06124","CHEMBL3864","Phosphatase","0.0031179437129589364","0 /  5   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.003084418485748558","0 /  8   "
"V-type proton ATPase subunit S1","ATP6AP1","Q15904","CHEMBL4790","Primary active transporter","0.003009568250172628","0 /  1   "
"P2X purinoceptor 3","P2RX3","P56373","CHEMBL2998","Ligand-gated ion channel","0.003009568250172628","0 /  1   "
"Adenosine receptor A3","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.003009568250172628","0 /  1   "
"Sodium/potassium-transporting ATPase subunit alpha-2/beta-3","N/A","P50993&P54709","CHEMBL6066562","Primary active transporter","0.0029900515539303925","0 /  3   "
"Sodium/potassium-transporting ATPase subunit alpha-2/beta-2","N/A","P14415&P50993","CHEMBL6066561","Primary active transporter","0.0029900515539303925","0 /  3   "
"Sodium/potassium-transporting ATPase subunit alpha-2/beta-1","N/A","P05026&P50993","CHEMBL6066560","Primary active transporter","0.0029900515539303925","0 /  3   "
