"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Histone deacetylase 6","HDAC6","Q9UBN7","CHEMBL1865","Eraser","1.0","51 /  29   "
"Serine/threonine-protein kinase PLK1","PLK1","P53350","CHEMBL3024","Kinase","1.0","12 /  7   "
"Xanthine dehydrogenase/oxidase","XDH","P47989","CHEMBL1929","Oxidoreductase","1.0","107 /  42   "
"G protein-coupled receptor kinase 6","GRK6","P43250","CHEMBL6144","Kinase","1.0","19 /  4   "
"Alpha-synuclein","SNCA","P37840","CHEMBL6152","Unclassified protein","1.0","70 /  10   "
"Polyunsaturated fatty acid lipoxygenase ALOX12","ALOX12","P18054","CHEMBL3687","Enzyme","1.0","29 /  14   "
"Polyunsaturated fatty acid lipoxygenase ALOX15","ALOX15","P16050","CHEMBL2903","Oxidoreductase","1.0","58 /  13   "
"Tyrosine-protein kinase Yes","YES1","P07947","CHEMBL2073","Kinase","1.0","5 /  5   "
"Cyclin-dependent kinase 1/cyclin B1","N/A","P06493&P14635","CHEMBL1907602","Kinase","1.0","30 /  19   "
"Lysine-specific demethylase 4E","KDM4E","B2RXH2","CHEMBL1293226","Eraser","1.0","10 /  2   "
"Cytochrome P450 1B1","CYP1B1","Q16678","CHEMBL4878","Cytochrome P450","0.9790782639325532","31 /  153   "
"Carbonic anhydrase 7","CA7","P43166","CHEMBL2326","Lyase","0.9790782639325532","76 /  44   "
"Peroxisome proliferator-activated receptor gamma","PPARG","P37231","CHEMBL235","Nuclear receptor","0.9790782639325532","16 /  16   "
"Carbonic anhydrase 4","CA4","P22748","CHEMBL3729","Lyase","0.9790782639325532","47 /  34   "
"ATP-dependent translocase ABCB1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.9790782639325532","38 /  114   "
"Carbonic anhydrase 12","CA12","O43570","CHEMBL3242","Lyase","0.9790782639325532","200 /  110   "
"Broad substrate specificity ATP-binding cassette transporter ABCG2","ABCG2","Q9UNQ0","CHEMBL5393","Primary active transporter","0.9776991307534263","28 /  145   "
"Cyclin-dependent kinase 5/CDK5 activator 1","N/A","Q00535&Q15078","CHEMBL1907600","Kinase","0.9776991307534263","80 /  25   "
"Cyclin-dependent kinase 6","CDK6","Q00534","CHEMBL2508","Kinase","0.9776991307534263","8 /  6   "
"Proteasome Macropain subunit MB1","PSMB5","P28074","CHEMBL4662","Protease","0.9776991307534263","13 /  6   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.9776991307534263","61 /  40   "
"Cyclin-dependent kinase 1/cyclin B","N/A","P06493&P14635&Q8WWL7&O95067","CHEMBL2094127","Kinase","0.9776991307534263","37 /  13   "
"Solute carrier organic anion transporter family member 2B1","SLCO2B1","O94956","CHEMBL1743124","Electrochemical transporter","0.9765546784509145","7 /  6   "
"Inositol hexakisphosphate kinase 2","IP6K2","Q9UHH9","CHEMBL4523488","Transferase","0.9752712491257641","10 /  10   "
"Receptor-type tyrosine-protein phosphatase S","PTPRS","Q13332","CHEMBL2396508","Phosphatase","0.9746129566547209","8 /  8   "
"Poly [ADP-ribose] polymerase tankyrase-2","TNKS2","Q9H2K2","CHEMBL6154","Transferase","0.9733674627139428","17 /  12   "
"Poly [ADP-ribose] polymerase tankyrase-1","TNKS","O95271","CHEMBL6164","Transferase","0.9733674627139428","13 /  28   "
"Aldo-keto reductase family 1 member B1","AKR1B1","P15121","CHEMBL1900","Oxidoreductase","0.9666683366164825","90 /  26   "
