"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Lysine-specific histone demethylase 1A","KDM1A","O60341","CHEMBL6136","Eraser","0.972858297856862","183 /  9   "
"Serine/threonine-protein kinase PLK1","PLK1","P53350","CHEMBL3024","Kinase","0.9067517140833332","41 /  5   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.7853378443395183","162 /  60   "
"Xanthine dehydrogenase/oxidase","XDH","P47989","CHEMBL1929","Oxidoreductase","0.5793176352236155","176 /  28   "
"Carbonic anhydrase 7","CA7","P43166","CHEMBL2326","Lyase","0.48693030495478523","113 /  17   "
"Carbonic anhydrase 4","CA4","P22748","CHEMBL3729","Lyase","0.48693030495478523","80 /  12   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.48693030495478523","553 /  17   "
"Carbonic anhydrase 12","CA12","O43570","CHEMBL3242","Lyase","0.48693030495478523","422 /  54   "
"2-5A-dependent ribonuclease","RNASEL","Q05823","CHEMBL3575","Hydrolase","0.45687251469554235","1 /  1   "
"Aldo-keto reductase family 1 member B1","AKR1B1","P15121","CHEMBL1900","Oxidoreductase","0.45687251469554235","149 /  19   "
"Pyruvate kinase PKM","PKM","P14618","CHEMBL1075189","Enzyme","0.45687251469554235","21 /  10   "
"Protein disulfide-isomerase","P4HB","P07237","CHEMBL5422","Isomerase","0.45687251469554235","102 /  2   "
"NADPH oxidase 4","NOX4","Q9NPH5","CHEMBL1250375","Oxidoreductase","0.4553661469749143","36 /  7   "
"Alpha-2C adrenergic receptor","ADRA2C","P18825","CHEMBL1916","Family A G protein-coupled receptor","0.4553661469749143","24 /  2   "
"Ribosomal protein S6 kinase alpha-3","RPS6KA3","P51812","CHEMBL2345","Kinase","0.4346831481325651","49 /  26   "
"Matrix metalloproteinase-9","MMP9","P14780","CHEMBL321","Protease","0.4211227629610164","138 /  5   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.41932579285310967","161 /  119   "
"Ribosyldihydronicotinamide dehydrogenase [quinone]","NQO2","P16083","CHEMBL3959","Oxidoreductase","0.4016947458760143","24 /  1   "
"Nicotinamide phosphoribosyltransferase","NAMPT","P43490","CHEMBL1744525","Enzyme","0.3575870946310046","5 /  1   "
"Synaptojanin-2","SYNJ2","O15056","CHEMBL4523129","Hydrolase","0.3395915624138848","16 /  7   "
"Amine oxidase [flavin-containing] A","MAOA","P21397","CHEMBL1951","Oxidoreductase","0.3357679575117477","220 /  24   "
