"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.15639707397177302","2874 /  195   "
"5-hydroxytryptamine receptor 7","HTR7","P34969","CHEMBL3155","Family A G protein-coupled receptor","0.1307811112977396","2413 /  55   "
"Muscarinic acetylcholine receptor M4","CHRM4","P08173","CHEMBL1821","Family A G protein-coupled receptor","0.1307811112977396","648 /  14   "
"Histone acetyltransferase p300","EP300","Q09472","CHEMBL3784","Writer","0.12285166255335894","428 /  3   "
"D(1A) dopamine receptor","DRD1","P21728","CHEMBL2056","Family A G protein-coupled receptor","0.07613257210677836","727 /  193   "
"Sigma non-opioid intracellular receptor 1","SIGMAR1","Q99720","CHEMBL287","Membrane receptor","0.0667363066364366","1938 /  96   "
"D(4) dopamine receptor","DRD4","P21917","CHEMBL219","Family A G protein-coupled receptor","0.06429399963079145","2240 /  52   "
"Voltage-gated inwardly rectifying potassium channel KCNH2","KCNH2","Q12809","CHEMBL240","Voltage-gated ion channel","0.06282000458423666","4443 /  84   "
"D(3) dopamine receptor","DRD3","P35462","CHEMBL234","Family A G protein-coupled receptor","0.06128653461707809","3972 /  148   "
"D(2) dopamine receptor","DRD2","P14416","CHEMBL217","Family A G protein-coupled receptor","0.06128653461707809","6152 /  200   "
"5-hydroxytryptamine receptor 1A","HTR1A","P08908","CHEMBL214","Family A G protein-coupled receptor","0.061179287406570325","4402 /  76   "
"Tissue factor","F3","P13726","CHEMBL4081","Surface antigen","0.05841096722983244","71 /  21   "
"D(1B) dopamine receptor","DRD5","P21918","CHEMBL1850","Family A G protein-coupled receptor","0.05448016471147644","165 /  19   "
"Alpha-1A adrenergic receptor","ADRA1A","P35348","CHEMBL229","Family A G protein-coupled receptor","0.02645935348979686","1259 /  8   "
"5-hydroxytryptamine receptor 2B","HTR2B","P41595","CHEMBL1833","Family A G protein-coupled receptor","0.02483917682580947","1157 /  87   "
"Alpha-1B adrenergic receptor","ADRA1B","P35368","CHEMBL232","Family A G protein-coupled receptor","0.023424309595744992","1056 /  9   "
"Alpha-1D adrenergic receptor","ADRA1D","P25100","CHEMBL223","Family A G protein-coupled receptor","0.023424309595744992","966 /  8   "
"Sigma intracellular receptor 2","TMEM97","Q5BJF2","CHEMBL4105907","Membrane receptor","0.02265054756048372","443 /  90   "
"Cocaine esterase","CES2","O00748","CHEMBL3180","Hydrolase","0.019862074698817244","49 /  4   "
"Nischarin","NISCH","Q9Y2I1","CHEMBL3923","Other cytosolic protein","0.019729847383746838","91 /  7   "
"5-hydroxytryptamine receptor 2A","HTR2A","P28223","CHEMBL224","Family A G protein-coupled receptor","0.01965301303124897","4380 /  125   "
"Alpha-2C adrenergic receptor","ADRA2C","P18825","CHEMBL1916","Family A G protein-coupled receptor","0.019006364403699794","501 /  11   "
"Alpha-2B adrenergic receptor","ADRA2B","P18089","CHEMBL1942","Family A G protein-coupled receptor","0.019006364403699794","406 /  9   "
"Sodium-dependent dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","0.018976379345767957","2148 /  54   "
"Lysine-specific histone demethylase 1A","KDM1A","O60341","CHEMBL6136","Eraser","0.018347434192209387","2331 /  44   "
"Amine oxidase [flavin-containing] A","MAOA","P21397","CHEMBL1951","Oxidoreductase","0.017546761247505774","808 /  53   "
"Melanin-concentrating hormone receptor 1","MCHR1","Q99705","CHEMBL344","Family A G protein-coupled receptor","0.015958096976046585","1641 /  66   "
"Cholinesterase","BCHE","P06276","CHEMBL1914","Hydrolase","0.014774738886255617","1602 /  122   "
"Sodium-dependent serotonin transporter","SLC6A4","P31645","CHEMBL228","Electrochemical transporter","0.012751553360659218","4043 /  87   "
"Protein O-GlcNAcase","OGA","O60502","CHEMBL5921","Hydrolase","0.01247437214745002","658 /  75   "
"Sodium-dependent noradrenaline transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.011921459265144967","2643 /  47   "
"Orexin/Hypocretin receptor type 1","HCRTR1","O43613","CHEMBL5113","Family A G protein-coupled receptor","0.01162407223880682","2606 /  46   "
"Endothelin-1 receptor","EDNRA","P25101","CHEMBL252","Family A G protein-coupled receptor","0.011277776859829365","963 /  65   "
"Melatonin receptor type 1B","MTNR1B","P49286","CHEMBL1946","Family A G protein-coupled receptor","0.010732153255472414","814 /  38   "
"Angiotensin-converting enzyme 2","ACE2","Q9BYF1","CHEMBL3736","Protease","0.010407130960907519","66 /  1   "
