"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Toll-like receptor 9","TLR9","Q9NR96","CHEMBL5804","Toll-like and Il-1 receptors","1.0","24 /  8   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","1.0","258 /  125   "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","1.0","325 /  17   "
"Amine oxidase [flavin-containing] B","MAOB","P27338","CHEMBL2039","Oxidoreductase","1.0","611 /  257   "
"Aldo-keto reductase family 1 member B1","AKR1B1","P15121","CHEMBL1900","Oxidoreductase","1.0","152 /  19   "
"Aldo-keto reductase family 1 member B10","AKR1B10","O60218","CHEMBL5983","Oxidoreductase","1.0","54 /  19   "
"Protein kinase C theta type","PRKCQ","Q04759","CHEMBL3920","Kinase","0.9711815346694739","19 /  3   "
"Transcription factor AP1","N/A","P05412&P01100","CHEMBL2111421","Transcription factor","0.8878160676665705","3 /  3   "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Oxidoreductase","0.8824365149020454","243 /  12   "
"Tissue factor","F3","P13726","CHEMBL4081","Surface antigen","0.8824365149020454","55 /  10   "
"17-beta-hydroxysteroid dehydrogenase type 2","HSD17B2","P37059","CHEMBL2789","Oxidoreductase","0.8663320174742087","396 /  6   "
"Nuclear factor NF-kappa-B p105 subunit","NFKB1","P19838","CHEMBL3251","Transcription factor","0.8663320174742087","9 /  11   "
"Transcription factor Jun","JUN","P05412","CHEMBL4977","Transcription factor","0.8663320174742087","6 /  8   "
"Amine oxidase [flavin-containing] A","MAOA","P21397","CHEMBL1951","Oxidoreductase","0.8603646126100017","315 /  78   "
"ATP-dependent translocase ABCB1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.8603646126100017","132 /  23   "
"Matrix metalloproteinase-9","MMP9","P14780","CHEMBL321","Protease","0.8524730770988039","170 /  64   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 1B","DYRK1B","Q9Y463","CHEMBL5543","Kinase","0.8448364027943404","87 /  8   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 2","DYRK2","Q92630","CHEMBL4376","Kinase","0.8448364027943404","62 /  8   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 1A","DYRK1A","Q13627","CHEMBL2292","Kinase","0.8448364027943404","176 /  9   "
"Broad substrate specificity ATP-binding cassette transporter ABCG2","ABCG2","Q9UNQ0","CHEMBL5393","Primary active transporter","0.8440981489765714","117 /  64   "
"Histone acetyltransferase p300","EP300","Q09472","CHEMBL3784","Writer","0.8440981489765714","56 /  15   "
"Amyloid-beta precursor protein","APP","P05067","CHEMBL2487","Membrane receptor","0.8396083699927315","293 /  112   "
"Collagenase 3","MMP13","P45452","CHEMBL280","Protease","0.8392901200724424","82 /  4   "
"Microtubule-associated protein tau","MAPT","P10636","CHEMBL1293224","Other cytosolic protein","0.8388499864203278","51 /  22   "
"Polyunsaturated fatty acid 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.8350145636514971","533 /  132   "
"Nuclear factor erythroid 2-related factor 2","NFE2L2","Q16236","CHEMBL1075094","Transcription factor","0.8279267369721539","11 /  32   "
"Prostaglandin G/H synthase 1","PTGS1","P23219","CHEMBL221","Oxidoreductase","0.8279267369721539","124 /  83   "
