"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.992019193319714","177 /  15   "
"Tyrosinase","TYR","P14679","CHEMBL1973","Oxidoreductase","0.9856237747842376","120 /  31   "
"Amine oxidase [flavin-containing] A","MAOA","P21397","CHEMBL1951","Oxidoreductase","0.9411422804659518","224 /  164   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.741325702608653","462 /  20   "
"Induced myeloid leukemia cell differentiation protein Mcl-1","MCL1","Q07820","CHEMBL4361","Other cytosolic protein","0.7160689254352718","214 /  33   "
"Carbonic anhydrase 12","CA12","O43570","CHEMBL3242","Lyase","0.7049173608831986","397 /  149   "
"Maltase-glucoamylase","MGAM","O43451","CHEMBL2074","Hydrolase","0.7013842239892139","27 /  6   "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","0.6694824063243116","460 /  143   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.6541112347934795","174 /  259   "
"Carbonic anhydrase 7","CA7","P43166","CHEMBL2326","Lyase","0.6500051020418618","106 /  56   "
"Carbonic anhydrase 13","CA13","Q8N1Q1","CHEMBL3912","Lyase","0.6047696227826007","19 /  17   "
"Polyunsaturated fatty acid 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.4672326339900325","400 /  51   "
"Carbonic anhydrase 4","CA4","P22748","CHEMBL3729","Lyase","0.46599536207609993","78 /  45   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","0.42391840485983595","445 /  71   "
"Carbonyl reductase [NADPH] 1","CBR1","P16152","CHEMBL5586","Oxidoreductase","0.4104199077979948","20 /  3   "
"Carbonic anhydrase 14","CA14","Q9ULX7","CHEMBL3510","Lyase","0.37515043693456074","86 /  16   "
"Carbonic anhydrase 5A, mitochondrial","CA5A","P35218","CHEMBL4789","Lyase","0.37515043693456074","35 /  30   "
"Carbonic anhydrase 6","CA6","P23280","CHEMBL3025","Lyase","0.37515043693456074","35 /  10   "
"Cyclin-dependent kinase 5/CDK5 activator 1","N/A","Q00535&Q15078","CHEMBL1907600","Kinase","0.3731523648959347","161 /  12   "
"Epidermal growth factor receptor","EGFR","P00533","CHEMBL203","Kinase","0.35370382929649025","391 /  33   "
"Carbonic anhydrase 5B, mitochondrial","CA5B","Q9Y2D0","CHEMBL3969","Lyase","0.2779847689957339","20 /  29   "
"Pyruvate kinase PKLR","PKLR","P30613","CHEMBL1075126","Enzyme","0.27603472485313385","28 /  3   "
"Transcription factor p65","RELA","Q04206","CHEMBL5533","Transcription factor","0.2695842640479092","12 /  4   "
"Aurora kinase B","AURKB","Q96GD4","CHEMBL2185","Kinase","0.2588713514705977","72 /  5   "
"Serine/threonine-protein kinase pim-1","PIM1","P11309","CHEMBL2147","Kinase","0.2588713514705977","166 /  10   "
"Phosphoglycerate mutase 1","PGAM1","P18669","CHEMBL3334418","Enzyme","0.2462335357267896","59 /  21   "
"Xanthine dehydrogenase/oxidase","XDH","P47989","CHEMBL1929","Oxidoreductase","0.2417181425305094","171 /  23   "
