"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Prostaglandin G/H synthase 1","PTGS1","P23219","CHEMBL221","Oxidoreductase","0.9104632977192801","78 /  43   "
"GABA-A receptor; alpha-1/beta-2/gamma-2","N/A","P14867&P47870&P18507","CHEMBL2095172","Ligand-gated ion channel","0.8679886412275073","10 /  5   "
"Transient receptor potential cation channel subfamily A member 1","TRPA1","O75762","CHEMBL6007","Voltage-gated ion channel","0.7997757091328656","11 /  24   "
"Transient receptor potential cation channel subfamily V member 1","TRPV1","Q8NER1","CHEMBL4794","Voltage-gated ion channel","0.7772047969501271","63 /  5   "
"5-hydroxytryptamine receptor 2B","HTR2B","P41595","CHEMBL1833","Family A G protein-coupled receptor","0.7755006027002124","54 /  22   "
"5-hydroxytryptamine receptor 2C","HTR2C","P28335","CHEMBL225","Family A G protein-coupled receptor","0.7755006027002124","41 /  34   "
"Sodium-dependent noradrenaline transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.7755006027002124","30 /  73   "
"GABA-A receptor; alpha-1/beta-3/gamma-2","N/A","P14867&P18507&P28472","CHEMBL2094121","Ligand-gated ion channel","0.7755006027002124","2 /  1   "
"Tyrosinase","TYR","P14679","CHEMBL1973","Oxidoreductase","0.7675658011947675","48 /  23   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.7649287943062064","210 /  98   "
"Macrophage migration inhibitory factor","MIF","P14174","CHEMBL2085","Enzyme","0.6655253687641499","64 /  11   "
"Estrogen receptor","ESR1","P03372","CHEMBL206","Nuclear receptor","0.6370876967137163","776 /  231   "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.6106087031153595","639 /  240   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 3","ATP2A3","Q93084","CHEMBL2401","Primary active transporter","0.4654415297028195","3 /  1   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2","ATP2A2","P16615","CHEMBL3901","Primary active transporter","0.4654415297028195","3 /  1   "
"Polyunsaturated fatty acid 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.4608640733419419","341 /  132   "
"5-hydroxytryptamine receptor 6","HTR6","P50406","CHEMBL3371","Family A G protein-coupled receptor","0.4172119299208423","13 /  10   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.41585746368966064","100 /  45   "
"Androgen receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.4076979879992104","204 /  23   "
"Estrogen-related receptor gamma","ESRRG","P62508","CHEMBL4245","Nuclear receptor","0.3323909849262461","32 /  7   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.2954911658044423","131 /  59   "
"Programmed cell death 1 ligand 1","CD274","Q9NZQ7","CHEMBL3580522","Unclassified protein","0.2933909572247616","1 /  1   "
"Programmed cell death protein 1/Programmed cell death 1 ligand 1","N/A","Q15116&Q9NZQ7","CHEMBL4523993","Unclassified protein","0.2933909572247616","1 /  1   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.29200391478595533","85 /  7   "
"Carbonic anhydrase 4","CA4","P22748","CHEMBL3729","Lyase","0.26007480553031886","28 /  12   "
"Sodium-dependent dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","0.25352717651819234","24 /  65   "
"Sodium-dependent serotonin transporter","SLC6A4","P31645","CHEMBL228","Electrochemical transporter","0.25352717651819234","32 /  109   "
"Substance-K receptor","TACR2","P21452","CHEMBL2327","Family A G protein-coupled receptor","0.25352717651819234","7 /  4   "
"Muscarinic acetylcholine receptor M3","CHRM3","P20309","CHEMBL245","Family A G protein-coupled receptor","0.25352717651819234","3 /  13   "
