"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Broad substrate specificity ATP-binding cassette transporter ABCG2","ABCG2","Q9UNQ0","CHEMBL5393","Primary active transporter","1.0","95 /  147   "
"Histone deacetylase 6","HDAC6","Q9UBN7","CHEMBL1865","Eraser","1.0","122 /  31   "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","1.0","430 /  122   "
"Cytochrome P450 1B1","CYP1B1","Q16678","CHEMBL4878","Cytochrome P450","1.0","69 /  153   "
"Cyclin-dependent kinase 5/CDK5 activator 1","N/A","Q00535&Q15078","CHEMBL1907600","Kinase","1.0","156 /  25   "
"Cyclin-dependent kinase 6","CDK6","Q00534","CHEMBL2508","Kinase","1.0","10 /  6   "
"Xanthine dehydrogenase/oxidase","XDH","P47989","CHEMBL1929","Oxidoreductase","1.0","168 /  43   "
"Carbonic anhydrase 7","CA7","P43166","CHEMBL2326","Lyase","1.0","101 /  50   "
"Peroxisome proliferator-activated receptor gamma","PPARG","P37231","CHEMBL235","Nuclear receptor","1.0","111 /  16   "
"Proteasome Macropain subunit MB1","PSMB5","P28074","CHEMBL4662","Protease","1.0","10 /  6   "
"Carbonic anhydrase 4","CA4","P22748","CHEMBL3729","Lyase","1.0","73 /  38   "
"Carbonyl reductase [NADPH] 1","CBR1","P16152","CHEMBL5586","Oxidoreductase","1.0","20 /  3   "
"Aldo-keto reductase family 1 member B1","AKR1B1","P15121","CHEMBL1900","Oxidoreductase","1.0","148 /  25   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","1.0","158 /  51   "
"ATP-dependent translocase ABCB1","ABCB1","P08183","CHEMBL4302","Primary active transporter","1.0","71 /  112   "
"Cyclin-dependent kinase 1/cyclin B","N/A","P06493&P14635&Q8WWL7&O95067","CHEMBL2094127","Kinase","1.0","65 /  13   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","1.0","496 /  68   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","1.0","419 /  65   "
"Carbonic anhydrase 12","CA12","O43570","CHEMBL3242","Lyase","1.0","377 /  120   "
"Poly [ADP-ribose] polymerase tankyrase-2","TNKS2","Q9H2K2","CHEMBL6154","Transferase","0.9857492236169162","34 /  12   "
"Poly [ADP-ribose] polymerase tankyrase-1","TNKS","O95271","CHEMBL6164","Transferase","0.9857492236169162","27 /  28   "
"Polyunsaturated fatty acid lipoxygenase ALOX12","ALOX12","P18054","CHEMBL3687","Enzyme","0.9833854758270679","79 /  14   "
"Polyunsaturated fatty acid lipoxygenase ALOX15","ALOX15","P16050","CHEMBL2903","Oxidoreductase","0.9833854758270679","96 /  13   "
