"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Cholinesterase","BCHE","P06276","CHEMBL1914","Hydrolase","0.9921966463362285","1707 /  14   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.9920169785925917","2952 /  8   "
"Neuronal acetylcholine receptor subunit alpha-7","CHRNA7","P36544","CHEMBL2492","Ligand-gated ion channel","0.9843240201600937","932 /  8   "
"Neuronal acetylcholine receptor; alpha4/beta2","N/A","P17787&P43681","CHEMBL1907589","Ligand-gated ion channel","0.9738609723089783","726 /  26   "
"Neuronal acetylcholine receptor; alpha3/beta4","N/A","P30926&P32297","CHEMBL1907594","Ligand-gated ion channel","0.9729704329474371","357 /  13   "
"Acetylcholine receptor; alpha1/beta1/delta/gamma","N/A","P02708&P07510&P11230&Q07001","CHEMBL1907588","Ligand-gated ion channel","0.9723604241732309","18 /  2   "
"Neuronal acetylcholine receptor; alpha3/beta2","N/A","P17787&P32297","CHEMBL2109234","Ligand-gated ion channel","0.9720504242528333","46 /  1   "
"Histamine H3 receptor","HRH3","Q9Y5N1","CHEMBL264","Family A G protein-coupled receptor","0.9587008555605159","3242 /  8   "
"Neuronal acetylcholine receptor; alpha2/beta4","N/A","P30926&Q15822","CHEMBL2109230","Ligand-gated ion channel","0.9519772535484042","11 /  1   "
"Sigma non-opioid intracellular receptor 1","SIGMAR1","Q99720","CHEMBL287","Membrane receptor","0.9500429430596532","2680 /  52   "
"UDP-glucuronosyltransferase 2B7","UGT2B7","P16662","CHEMBL4370","Transferase","0.8934075899195716","7 /  1   "
"Dynamin-1","DNM1","Q05193","CHEMBL4958","Hydrolase","0.825754654743082","23 /  11   "
"Alpha-2C adrenergic receptor","ADRA2C","P18825","CHEMBL1916","Family A G protein-coupled receptor","0.7244404192710823","499 /  7   "
"Kappa-type opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.5747373742670443","2922 /  6   "
"Voltage-gated inwardly rectifying potassium channel KCNH2","KCNH2","Q12809","CHEMBL240","Voltage-gated ion channel","0.5160751301728255","5158 /  5   "
"D(3) dopamine receptor","DRD3","P35462","CHEMBL234","Family A G protein-coupled receptor","0.510768605949176","4530 /  5   "
"Histamine H1 receptor","HRH1","P35367","CHEMBL231","Family A G protein-coupled receptor","0.5036000650612691","967 /  1   "
"D(2) dopamine receptor","DRD2","P14416","CHEMBL217","Family A G protein-coupled receptor","0.5036000650612691","6811 /  4   "
"Muscarinic acetylcholine receptor M3","CHRM3","P20309","CHEMBL245","Family A G protein-coupled receptor","0.5007320690916758","1431 /  5   "
"Sodium-dependent dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","0.49069494225554","2894 /  28   "
"Muscarinic acetylcholine receptor M1","CHRM1","P11229","CHEMBL216","Family A G protein-coupled receptor","0.4892614905227518","1336 /  6   "
"Muscarinic acetylcholine receptor M2","CHRM2","P08172","CHEMBL211","Family A G protein-coupled receptor","0.44502805964122805","1266 /  9   "
"5-hydroxytryptamine receptor 5A","HTR5A","P47898","CHEMBL3426","Family A G protein-coupled receptor","0.4436118153208399","319 /  1   "
