"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Pyruvate kinase PKM","PKM","P14618","CHEMBL1075189","Enzyme","0.941544350533831","112 /  4   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.9116793921479456","1740 /  411   "
"NACHT, LRR and PYD domains-containing protein 3","NLRP3","Q96P20","CHEMBL1741208","Unclassified protein","0.880480543418967","391 /  41   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.7934476268873089","2150 /  23   "
"Serine protease 1","PRSS1","P07477","CHEMBL209","Protease","0.6396696172067433","297 /  12   "
"Prothrombin","F2","P00734","CHEMBL204","Protease","0.6396696172067433","1540 /  16   "
"Lysine-specific histone demethylase 1A","KDM1A","O60341","CHEMBL6136","Eraser","0.5372715891368786","1508 /  2   "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.5054890671227312","1094 /  60   "
"Androgen receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.4873312930682423","1489 /  121   "
"Steroid 17-alpha-hydroxylase/17,20 lyase","CYP17A1","P05093","CHEMBL3522","Cytochrome P450","0.48085198330345275","487 /  27   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.4788568541564195","408 /  103   "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.47324533017964193","2512 /  1   "
"Prostaglandin E synthase","PTGES","O14684","CHEMBL5658","Isomerase","0.47139459280652923","756 /  9   "
"Neuronal acetylcholine receptor; alpha3/beta4","N/A","P30926&P32297","CHEMBL1907594","Ligand-gated ion channel","0.47121155257341624","296 /  2   "
"Neuronal acetylcholine receptor; alpha4/beta2","N/A","P17787&P43681","CHEMBL1907589","Ligand-gated ion channel","0.47121155257341624","577 /  4   "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Oxidoreductase","0.4710933487760262","1976 /  51   "
"Peroxisome proliferator-activated receptor gamma","PPARG","P37231","CHEMBL235","Nuclear receptor","0.47101399712806924","579 /  45   "
"Ubiquitin carboxyl-terminal hydrolase 7","USP7","Q93009","CHEMBL2157850","Protease","0.468328152763878","181 /  1   "
"Toll-like receptor 4","TLR4","O00206","CHEMBL5255","Toll-like and Il-1 receptors","0.468328152763878","82 /  9   "
"Mineralocorticoid receptor","NR3C2","P08235","CHEMBL1994","Nuclear receptor","0.4575952429196568","552 /  37   "
"Ubiquitin-conjugating enzyme E2 D3","UBE2D3","P61077","CHEMBL4105911","Transferase","0.4510116771952371","5 /  4   "
"Bile acid receptor","NR1H4","Q96RI1","CHEMBL2047","Nuclear receptor","0.44629137360531557","1038 /  44   "
"Tubulin--tyrosine ligase","TTL","Q8NG68","CHEMBL5549","Ligase","0.43479584561767665","14 /  17   "
"TGF-beta receptor type-1","TGFBR1","P36897","CHEMBL4439","Kinase","0.4044773461108948","1846 /  1   "
"Neuronal acetylcholine receptor subunit alpha-7","CHRNA7","P36544","CHEMBL2492","Ligand-gated ion channel","0.3924595604840946","914 /  2   "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Transferase","0.38349624439583124","203 /  6   "
"Protein farnesyltransferase","N/A","P49354&P49356","CHEMBL2094108","Transferase","0.383478222773899","943 /  14   "
"Chymotrypsin-C","CTRC","Q99895","CHEMBL2386","Protease","0.3808518532408372","37 /  3   "
"Fatty-acid amide hydrolase 1","FAAH","O00519","CHEMBL2243","Hydrolase","0.3471998012225443","836 /  25   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.347101032974419","2572 /  20   "
"ATP-dependent translocase ABCB1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.3404855805921083","779 /  39   "
"Cocaine esterase","CES2","O00748","CHEMBL3180","Hydrolase","0.3367044135910217","96 /  22   "
"11-beta-hydroxysteroid dehydrogenase type 2","HSD11B2","P80365","CHEMBL3746","Oxidoreductase","0.3174566703816832","53 /  17   "
"Interleukin-1 beta","IL1B","P01584","CHEMBL1909490","Secreted protein","0.3167771998956389","149 /  4   "
"Vascular endothelial growth factor receptor 2","KDR","P35968","CHEMBL279","Kinase","0.3122577040221184","3904 /  3   "
"17-beta-hydroxysteroid dehydrogenase type 2","HSD17B2","P37059","CHEMBL2789","Oxidoreductase","0.30302405055583315","138 /  4   "
"D(2) dopamine receptor","DRD2","P14416","CHEMBL217","Family A G protein-coupled receptor","0.2968723044686629","4576 /  1   "
"Phospholipase A2, membrane associated","PLA2G2A","P14555","CHEMBL3474","Hydrolase","0.27465924501461436","69 /  11   "
"Gamma-secretase","N/A","Q96BI3&Q9NZ42&Q8WW43&P49768&Q92542&P49810","CHEMBL2094135","Protease","0.2659518407242117","1551 /  7   "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.26568779535889114","2094 /  75   "
"Sodium-dependent dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","0.2642957368190238","2733 /  35   "
"Aldo-keto reductase family 1 member C1","AKR1C1","Q04828","CHEMBL5905","Oxidoreductase","0.24786897069386798","6 /  1   "
"Aldo-keto reductase family 1 member C2","AKR1C2","P52895","CHEMBL5847","Oxidoreductase","0.24786897069386798","8 /  1   "
"Aldo-keto reductase family 1 member C3","AKR1C3","P42330","CHEMBL4681","Oxidoreductase","0.24786897069386798","232 /  15   "
"Sex hormone-binding globulin","SHBG","P04278","CHEMBL3305","Secreted protein","0.24786897069386798","63 /  42   "
"Endothelial PAS domain-containing protein 1","EPAS1","Q99814","CHEMBL1744522","Transcription factor","0.24567235945868615","295 /  4   "
"Coagulation factor X","F10","P00742","CHEMBL244","Protease","0.24425468956433355","2301 /  18   "
"3',5'-cyclic-AMP phosphodiesterase 4D","PDE4D","Q08499","CHEMBL288","Phosphodiesterase","0.2361059990349926","742 /  9   "
"Transient receptor potential cation channel subfamily M member 2","TRPM2","O94759","CHEMBL1250402","Voltage-gated ion channel","0.23529298984250013","8 /  1   "
"5-hydroxytryptamine receptor 1A","HTR1A","P08908","CHEMBL214","Family A G protein-coupled receptor","0.2352767366054278","3472 /  1   "
"Exportin-1","XPO1","O14980","CHEMBL5661","Unclassified protein","0.23375763501431407","52 /  6   "
"Delta(24)-sterol reductase","DHCR24","Q15392","CHEMBL2331059","Oxidoreductase","0.23352681740541645","11 /  11   "
"Short transient receptor potential channel 6","TRPC6","Q9Y210","CHEMBL2417347","Voltage-gated ion channel","0.2322248555853674","64 /  4   "
"3-hydroxy-3-methylglutaryl-coenzyme A reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.22835437056088612","81 /  26   "
"Toll-like receptor 9","TLR9","Q9NR96","CHEMBL5804","Toll-like and Il-1 receptors","0.22806044452685884","1327 /  2   "
"Geranylgeranyl transferase type I","N/A","P49354&P53609","CHEMBL2095164","Transferase","0.22568866784586009","210 /  1   "
"Protein kinase C beta type","PRKCB","P05771","CHEMBL3045","Kinase","0.21598841604314767","215 /  13   "
"Thromboxane A2 receptor","TBXA2R","P21731","CHEMBL2069","Family A G protein-coupled receptor","0.21378639602155233","92 /  17   "
"Protein kinase C alpha type","PRKCA","P17252","CHEMBL299","Kinase","0.21336411065787375","678 /  273   "
"Transcription factor Jun","JUN","P05412","CHEMBL4977","Transcription factor","0.21261225285748836","59 /  5   "
"3-oxo-5-alpha-steroid 4-dehydrogenase 2","SRD5A2","P31213","CHEMBL1856","Oxidoreductase","0.2074732252965567","262 /  29   "
"Signal transducer and activator of transcription 3","STAT3","P40763","CHEMBL4026","Transcription factor","0.202269240148864","290 /  20   "
"Protein kinase C delta type","PRKCD","Q05655","CHEMBL2996","Kinase","0.202261506882539","455 /  52   "
"Potassium-transporting ATPase alpha chain 2","ATP12A","P54707","CHEMBL2933","Primary active transporter","0.18690179022775702","10 /  10   "
"Sodium-dependent noradrenaline transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.18537130034985783","2833 /  4   "
"Receptor-interacting serine/threonine-protein kinase 3","RIPK3","Q9Y572","CHEMBL1795199","Kinase","0.17824140729212967","198 /  1   "
"M-phase inducer phosphatase 3","CDC25C","P30307","CHEMBL2378","Phosphatase","0.16601914993668762","40 /  5   "
"M-phase inducer phosphatase 2","CDC25B","P30305","CHEMBL4804","Phosphatase","0.16601914993668762","121 /  24   "
"M-phase inducer phosphatase 1","CDC25A","P30304","CHEMBL3775","Phosphatase","0.16601914993668762","81 /  21   "
"Cytochrome P450 2C19","CYP2C19","P33261","CHEMBL3622","Cytochrome P450","0.16520985362179585","93 /  6   "
"Oxysterols receptor LXR-alpha","NR1H3","Q13133","CHEMBL2808","Nuclear receptor","0.16119273577273338","492 /  33   "
"Oxysterols receptor LXR-beta","NR1H2","P55055","CHEMBL4093","Nuclear receptor","0.16119273577273338","557 /  14   "
"Prostaglandin E2 receptor EP3 subtype","PTGER3","P43115","CHEMBL3710","Family A G protein-coupled receptor","0.16082575998706333","388 /  15   "
"Heat shock protein HSP 90-alpha","HSP90AA1","P07900","CHEMBL3880","Other cytosolic protein","0.1548006283027341","585 /  13   "
"Glutathione S-transferase P","GSTP1","P09211","CHEMBL3902","Transferase","0.154429952938192","72 /  3   "
"Bcl-2-like protein 1","BCL2L1","Q07817","CHEMBL4625","Other ion channel","0.15393342618324646","84 /  7   "
"Inhibitor of nuclear factor kappa-B kinase subunit beta","IKBKB","O14920","CHEMBL1991","Kinase","0.15393342618324646","551 /  7   "
"Phosphatidylserine lipase ABHD16A","ABHD16A","O95870","CHEMBL6168","Hydrolase","0.1415270227413507","5 /  2   "
"Nuclear receptor subfamily 4 group A member 2","NR4A2","P43354","CHEMBL5002","Nuclear receptor","0.1409690845485901","44 /  3   "
"Protein kinase C theta type","PRKCQ","Q04759","CHEMBL3920","Kinase","0.1390446675915372","658 /  8   "
"Pancreatic triacylglycerol lipase","PNLIP","P16233","CHEMBL1812","Hydrolase","0.1377734724847651","17 /  6   "
"Prostaglandin E2 receptor EP4 subtype","PTGER4","P35408","CHEMBL1836","Family A G protein-coupled receptor","0.13353879538466976","165 /  19   "
