"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Dual specificity tyrosine-phosphorylation-regulated kinase 1B","DYRK1B","Q9Y463","CHEMBL5543","Kinase","1.0","87 /  8   "
"Carbonic anhydrase 5B, mitochondrial","CA5B","Q9Y2D0","CHEMBL3969","Lyase","1.0","21 /  17   "
"Broad substrate specificity ATP-binding cassette transporter ABCG2","ABCG2","Q9UNQ0","CHEMBL5393","Primary active transporter","1.0","118 /  118   "
"CDGSH iron-sulfur domain-containing protein 1","CISD1","Q9NZ45","CHEMBL1795168","Unclassified protein","1.0","25 /  8   "
"Toll-like receptor 9","TLR9","Q9NR96","CHEMBL5804","Toll-like and Il-1 receptors","1.0","24 /  7   "
"Dual specificity protein kinase CLK4","CLK4","Q9HAZ1","CHEMBL4203","Kinase","1.0","31 /  1   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 3","ATP2A3","Q93084","CHEMBL2401","Primary active transporter","1.0","3 /  1   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 2","DYRK2","Q92630","CHEMBL4376","Kinase","1.0","62 /  10   "
"Carbonic anhydrase 13","CA13","Q8N1Q1","CHEMBL3912","Lyase","1.0","20 /  10   "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","1.0","532 /  78   "
"Nuclear factor erythroid 2-related factor 2","NFE2L2","Q16236","CHEMBL1075094","Transcription factor","1.0","11 /  36   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 1A","DYRK1A","Q13627","CHEMBL2292","Kinase","1.0","176 /  14   "
"Histone acetyltransferase p300","EP300","Q09472","CHEMBL3784","Writer","1.0","56 /  17   "
"Lactoylglutathione lyase","GLO1","Q04760","CHEMBL2424","Lyase","1.0","32 /  8   "
"Protein kinase C epsilon type","PRKCE","Q02156","CHEMBL3582","Kinase","1.0","108 /  10   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","1.0","263 /  133   "
"Dual specificity protein kinase CLK1","CLK1","P49759","CHEMBL4224","Kinase","1.0","73 /  4   "
"Carbonic anhydrase 7","CA7","P43166","CHEMBL2326","Lyase","1.0","94 /  28   "
"Alpha-synuclein","SNCA","P37840","CHEMBL6152","Unclassified protein","1.0","54 /  19   "
"17-beta-hydroxysteroid dehydrogenase type 2","HSD17B2","P37059","CHEMBL2789","Oxidoreductase","1.0","400 /  8   "
"Nitric oxide synthase, inducible","NOS2","P35228","CHEMBL4481","Enzyme","1.0","9 /  1   "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Oxidoreductase","1.0","244 /  12   "
"Glutathione S-transferase Mu 2","GSTM2","P28161","CHEMBL4589","Transferase","1.0","1 /  1   "
"Amine oxidase [flavin-containing] B","MAOB","P27338","CHEMBL2039","Oxidoreductase","1.0","620 /  357   "
"Carbonic anhydrase 6","CA6","P23280","CHEMBL3025","Lyase","1.0","31 /  20   "
"Prostaglandin G/H synthase 1","PTGS1","P23219","CHEMBL221","Oxidoreductase","1.0","124 /  88   "
"Carbonic anhydrase 4","CA4","P22748","CHEMBL3729","Lyase","1.0","74 /  18   "
"Amine oxidase [flavin-containing] A","MAOA","P21397","CHEMBL1951","Oxidoreductase","1.0","316 /  96   "
"Nuclear factor NF-kappa-B p105 subunit","NFKB1","P19838","CHEMBL3251","Transcription factor","1.0","9 /  9   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2","ATP2A2","P16615","CHEMBL3901","Primary active transporter","1.0","3 /  1   "
"Polyunsaturated fatty acid lipoxygenase ALOX15","ALOX15","P16050","CHEMBL2903","Oxidoreductase","1.0","107 /  14   "
"Matrix metalloproteinase-9","MMP9","P14780","CHEMBL321","Protease","1.0","175 /  64   "
"Tyrosinase","TYR","P14679","CHEMBL1973","Oxidoreductase","1.0","119 /  21   "
"Tissue factor","F3","P13726","CHEMBL4081","Surface antigen","1.0","59 /  10   "
"HSP60/HSP10","N/A","P10809&P61604","CHEMBL4106131","Unclassified protein","1.0","20 /  3   "
"Microtubule-associated protein tau","MAPT","P10636","CHEMBL1293224","Other cytosolic protein","1.0","52 /  22   "
"Polyunsaturated fatty acid 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","1.0","545 /  191   "
"Transcription factor AP1","N/A","P05412&P01100","CHEMBL2111421","Transcription factor","1.0","3 /  4   "
"Amyloid-beta precursor protein","APP","P05067","CHEMBL2487","Membrane receptor","1.0","308 /  166   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","1.0","622 /  62   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","1.0","540 /  62   "
"Epidermal growth factor receptor","EGFR","P00533","CHEMBL203","Kinase","1.0","588 /  118   "
"Lysine-specific histone demethylase 1A","KDM1A","O60341","CHEMBL6136","Eraser","1.0","216 /  56   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 3","DYRK3","O43781","CHEMBL4575","Kinase","1.0","27 /  1   "
"Carbonic anhydrase 12","CA12","O43570","CHEMBL3242","Lyase","1.0","435 /  68   "
"Prostaglandin E synthase","PTGES","O14684","CHEMBL5658","Isomerase","1.0","113 /  38   "
"ATP-dependent translocase ABCB1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.9973801551825184","139 /  108   "
"Transcription factor Jun","JUN","P05412","CHEMBL4977","Transcription factor","0.9970905009896555","7 /  6   "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.9944203011201467","326 /  24   "
"Tyrosine-protein kinase ABL1","ABL1","P00519","CHEMBL1862","Kinase","0.9896412051984388","193 /  2   "
"DNA topoisomerase 2-alpha","TOP2A","P11388","CHEMBL1806","Isomerase","0.9851325099548257","44 /  20   "
"Inhibitor of NF-kappa-B kinase (IKK)","N/A","O14920&O15111&Q9Y6K9","CHEMBL2111328","Kinase","0.9825364703631038","2 /  3   "
"Protein kinase C theta type","PRKCQ","Q04759","CHEMBL3920","Kinase","0.9771718147823616","20 /  5   "
"5-hydroxytryptamine receptor 1A","HTR1A","P08908","CHEMBL214","Family A G protein-coupled receptor","0.9554081281927849","277 /  11   "
"Histone deacetylase 1","HDAC1","Q13547","CHEMBL325","Eraser","0.9505160883820261","316 /  39   "
"Histone deacetylase 8","HDAC8","Q9BY41","CHEMBL3192","Eraser","0.9441087304341107","139 /  26   "
"Histone deacetylase 2","HDAC2","Q92769","CHEMBL1937","Eraser","0.9441087304341107","111 /  22   "
"RAC-alpha serine/threonine-protein kinase","AKT1","P31749","CHEMBL4282","Kinase","0.8448921170154976","154 /  4   "
"Aldo-keto reductase family 1 member B1","AKR1B1","P15121","CHEMBL1900","Oxidoreductase","0.837650760145406","153 /  20   "
"Aldo-keto reductase family 1 member B10","AKR1B10","O60218","CHEMBL5983","Oxidoreductase","0.8295485723545839","54 /  19   "
"17-beta-hydroxysteroid dehydrogenase type 3","HSD17B3","P37058","CHEMBL4234","Oxidoreductase","0.7631027481150137","98 /  4   "
"Signal transducer and activator of transcription 3","STAT3","P40763","CHEMBL4026","Transcription factor","0.7557230017378546","278 /  6   "
"Histone deacetylase 6","HDAC6","Q9UBN7","CHEMBL1865","Eraser","0.745774053050204","332 /  30   "
"Islet amyloid polypeptide","IAPP","P10997","CHEMBL1914266","Secreted protein","0.7150745586957171","16 /  9   "
"Histone deacetylase 3","HDAC3","O15379","CHEMBL1829","Eraser","0.6039362664670079","111 /  12   "
"Protein kinase C delta type","PRKCD","Q05655","CHEMBL2996","Kinase","0.5512540760032749","123 /  4   "
"Xanthine dehydrogenase/oxidase","XDH","P47989","CHEMBL1929","Oxidoreductase","0.4408525264051592","163 /  13   "
"Collagenase 3","MMP13","P45452","CHEMBL280","Protease","0.4293165665388873","87 /  7   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.3608960388702483","318 /  122   "
"Fibroblast growth factor receptor 1","FGFR1","P11362","CHEMBL3650","Kinase","0.27841792772683344","345 /  9   "
"Tumor necrosis factor","TNF","P01375","CHEMBL1825","Secreted protein","0.2693659240321193","49 /  4   "
"Carbonic anhydrase 14","CA14","Q9ULX7","CHEMBL3510","Lyase","0.2650962928608","66 /  25   "
"Carbonic anhydrase 5A, mitochondrial","CA5A","P35218","CHEMBL4789","Lyase","0.2650962928608","33 /  26   "
"Stromal cell-derived factor 1","CXCL12","P48061","CHEMBL3286074","Secreted protein","0.21951385333051968","28 /  26   "
"Neutrophil elastase","ELANE","P08246","CHEMBL248","Protease","0.16455567589788458","63 /  15   "
"Estrogen receptor","ESR1","P03372","CHEMBL206","Nuclear receptor","0.16370405874579433","2406 /  378   "
"Interleukin-6","IL6","P05231","CHEMBL1795129","Secreted protein","0.16003203769143806","4 /  2   "
"Farnesyl pyrophosphate synthase","FDPS","P14324","CHEMBL1782","Transferase","0.15607470526206094","145 /  4   "
"Cytochrome P450 2C9","CYP2C9","P11712","CHEMBL3397","Cytochrome P450","0.14867676679640676","15 /  4   "
"Bifunctional epoxide hydrolase 2","EPHX2","P34913","CHEMBL2409","Protease","0.13317936891854953","45 /  20   "
"Thioredoxin reductase 1, cytoplasmic","TXNRD1","Q16881","CHEMBL1927","Oxidoreductase","0.12173650513195214","6 /  5   "
"5-hydroxytryptamine receptor 2C","HTR2C","P28335","CHEMBL225","Family A G protein-coupled receptor","0.10566214834794548","94 /  6   "
"Transthyretin","TTR","P02766","CHEMBL3194","Secreted protein","0.10493298413384829","71 /  23   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.10465599427260808","298 /  210   "
"Peroxisome proliferator-activated receptor gamma","PPARG","P37231","CHEMBL235","Nuclear receptor","0.10301573636723592","259 /  76   "
"Ribosyldihydronicotinamide dehydrogenase [quinone]","NQO2","P16083","CHEMBL3959","Oxidoreductase","0.09698289056046307","38 /  24   "
"Cytochrome P450 2C19","CYP2C19","P33261","CHEMBL3622","Cytochrome P450","0.08826056519504759","9 /  4   "
"Cytochrome P450 2D6","CYP2D6","P10635","CHEMBL289","Cytochrome P450","0.08826056519504759","10 /  1   "
