"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.775694764798998","1765 /  19   "
"Toll-like receptor 4","TLR4","O00206","CHEMBL5255","Toll-like and Il-1 receptors","0.6347581843793241","80 /  9   "
"Solute carrier family 2, facilitated glucose transporter member 1","SLC2A1","P11166","CHEMBL2535","Electrochemical transporter","0.5702082922440054","80 /  12   "
"Adenylate cyclase type 1","ADCY1","Q08828","CHEMBL2899","Lyase","0.566070975552032","71 /  45   "
"Adenylate cyclase type 8","ADCY8","P40145","CHEMBL2960","Lyase","0.5508261326414101","11 /  1   "
"NACHT, LRR and PYD domains-containing protein 3","NLRP3","Q96P20","CHEMBL1741208","Unclassified protein","0.4920297619658754","378 /  41   "
"Geranylgeranyl transferase type I","N/A","P49354&P53609","CHEMBL2095164","Transferase","0.48683349315474866","234 /  1   "
"Kelch-like ECH-associated protein 1","KEAP1","Q14145","CHEMBL2069156","Unclassified protein","0.4849473062278169","167 /  3   "
"Protein farnesyltransferase","N/A","P49354&P49356","CHEMBL2094108","Transferase","0.4686040554170387","1050 /  4   "
"Protein kinase C alpha type","PRKCA","P17252","CHEMBL299","Kinase","0.42716091539076484","753 /  349   "
"Kir3.1/Kir3.4","N/A","P48549&P48544","CHEMBL3038488","Voltage-gated ion channel","0.343495298022487","192 /  11   "
"Toll-like receptor 9","TLR9","Q9NR96","CHEMBL5804","Toll-like and Il-1 receptors","0.32641826133883856","1558 /  2   "
"Ubiquitin carboxyl-terminal hydrolase 7","USP7","Q93009","CHEMBL2157850","Protease","0.29655248282231367","223 /  1   "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Transferase","0.28629835519753694","213 /  5   "
"Pyruvate kinase PKM","PKM","P14618","CHEMBL1075189","Enzyme","0.27368265385722995","76 /  5   "
"Protein kinase C delta type","PRKCD","Q05655","CHEMBL2996","Kinase","0.262164146227281","499 /  88   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.2573578572377775","6657 /  7   "
"ATP-dependent translocase ABCB1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.24059368969911582","1059 /  123   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.23119661266141875","798 /  64   "
"Transcription factor Jun","JUN","P05412","CHEMBL4977","Transcription factor","0.20009734652667074","54 /  5   "
"Nuclear factor erythroid 2-related factor 2","NFE2L2","Q16236","CHEMBL1075094","Transcription factor","0.19051973589420562","306 /  4   "
"Potassium voltage-gated channel subfamily A member 3","KCNA3","P22001","CHEMBL4633","Voltage-gated ion channel","0.16487859226953466","245 /  6   "
"Protein kinase C epsilon type","PRKCE","Q02156","CHEMBL3582","Kinase","0.14654466416924627","247 /  83   "
"Signal transducer and activator of transcription 3","STAT3","P40763","CHEMBL4026","Transcription factor","0.1447018367574913","285 /  21   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2","ATP2A2","P16615","CHEMBL3901","Primary active transporter","0.1369915339605617","6 /  4   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 3","ATP2A3","Q93084","CHEMBL2401","Primary active transporter","0.12984446122046145","2 /  1   "
"Bromodomain-containing protein 4","BRD4","O60885","CHEMBL1163125","Reader","0.12592867410981112","5777 /  10   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1","ATP2A1","O14983","CHEMBL3136","Primary active transporter","0.12423505839541477","5 /  7   "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","0.12157679676654902","3530 /  26   "
"Carbonic anhydrase 12","CA12","O43570","CHEMBL3242","Lyase","0.12157679676654902","2889 /  25   "
"Protein kinase C theta type","PRKCQ","Q04759","CHEMBL3920","Kinase","0.10974702697131625","757 /  16   "
"Carbonic anhydrase 14","CA14","Q9ULX7","CHEMBL3510","Lyase","0.10897626182533099","421 /  8   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.10593074080115542","909 /  65   "
"DNA polymerase beta","POLB","P06746","CHEMBL2392","Enzyme","0.10535676303489636","3 /  3   "
"Heat shock protein HSP 90-alpha","HSP90AA1","P07900","CHEMBL3880","Other cytosolic protein","0.10154203160491126","624 /  21   "
"Serine-protein kinase ATM","ATM","Q13315","CHEMBL3797","Kinase","0.10093220285760304","427 /  1   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.09953371931197934","4814 /  20   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","0.09953371931197934","4026 /  24   "
"Bromodomain-containing protein 3","BRD3","Q15059","CHEMBL1795186","Reader","0.09810244218404304","619 /  9   "
"Carbonic anhydrase 5B, mitochondrial","CA5B","Q9Y2D0","CHEMBL3969","Lyase","0.08584782352691715","292 /  4   "
"Carbonic anhydrase 7","CA7","P43166","CHEMBL2326","Lyase","0.08584782352691715","890 /  8   "
"Carbonic anhydrase 6","CA6","P23280","CHEMBL3025","Lyase","0.08584782352691715","213 /  5   "
"Carbonic anhydrase 5A, mitochondrial","CA5A","P35218","CHEMBL4789","Lyase","0.08153815513955705","327 /  8   "
"Carbonic anhydrase 4","CA4","P22748","CHEMBL3729","Lyase","0.08153815513955705","872 /  10   "
"Proteasome Macropain subunit MB1","PSMB5","P28074","CHEMBL4662","Protease","0.06778049472011821","461 /  9   "
"Protein kinase C eta type","PRKCH","P24723","CHEMBL3616","Kinase","0.06328336233856396","129 /  12   "
"Protein kinase C beta type","PRKCB","P05771","CHEMBL3045","Kinase","0.06328336233856396","230 /  22   "
"Methionine aminopeptidase 2","METAP2","P50579","CHEMBL3922","Protease","0.06285311325945517","639 /  58   "
"Ras guanyl-releasing protein 3","RASGRP3","Q8IV61","CHEMBL3638","Other cytosolic protein","0.06217286703426913","87 /  70   "
"D-3-phosphoglycerate dehydrogenase","PHGDH","O43175","CHEMBL2311243","Oxidoreductase","0.06061868413125652","293 /  1   "
"Glycine receptor subunit alpha-1","GLRA1","P23415","CHEMBL5845","Ligand-gated ion channel","0.05910351840194922","39 /  7   "
"Platelet-activating factor receptor","PTAFR","P25105","CHEMBL250","Family A G protein-coupled receptor","0.05477361651369948","217 /  11   "
"Glycine receptor subunit alpha-2","GLRA2","P23416","CHEMBL5871","Ligand-gated ion channel","0.05477361651369948","5 /  5   "
"Beta-glucuronidase","GUSB","P08236","CHEMBL2728","Hydrolase","0.05477361651369948","105 /  1   "
"Carbonic anhydrase 13","CA13","Q8N1Q1","CHEMBL3912","Lyase","0.05027105076336668","227 /  7   "
"Kappa-type opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.0502553264957145","2572 /  44   "
"Proteasome component C5","PSMB1","P20618","CHEMBL4208","Protease","0.04601784546607454","38 /  4   "
"dCTP pyrophosphatase 1","DCTPP1","Q9H773","CHEMBL3769292","Hydrolase","0.043259104474964734","85 /  1   "
"Bromodomain-containing protein 2","BRD2","P25440","CHEMBL1293289","Reader","0.04269511897954175","580 /  1   "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Oxidoreductase","0.04237156821550015","1530 /  23   "
"Nuclear factor NF-kappa-B p105 subunit","NFKB1","P19838","CHEMBL3251","Transcription factor","0.04163211853847402","10 /  1   "
"Bromodomain testis-specific protein","BRDT","Q58F21","CHEMBL1795185","Reader","0.03832941810044291","138 /  1   "
"Androgen receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.03694493608956281","1065 /  52   "
"Protein kinase C gamma type","PRKCG","P05129","CHEMBL2938","Kinase","0.03582612631556692","93 /  17   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.035406238791469154","2831 /  16   "
"Gamma-secretase","N/A","Q96BI3&Q9NZ42&Q8WW43&P49768&Q92542&P49810","CHEMBL2094135","Protease","0.0348760379549424","1471 /  17   "
"Serine/threonine-protein phosphatase 5","PPP5C","P53041","CHEMBL3425389","Phosphatase","0.03448091780740303","8 /  5   "
"C-X-C chemokine receptor type 1","CXCR1","P25024","CHEMBL4029","Family A G protein-coupled receptor","0.03343212182918066","28 /  2   "
"Isocitrate dehydrogenase [NADP] cytoplasmic","IDH1","O75874","CHEMBL2007625","Oxidoreductase","0.03255449155352979","1833 /  2   "
"Inhibitor of nuclear factor kappa-B kinase subunit beta","IKBKB","O14920","CHEMBL1991","Kinase","0.03236216149291838","585 /  10   "
"3',5'-cyclic-AMP phosphodiesterase 4D","PDE4D","Q08499","CHEMBL288","Phosphodiesterase","0.03210865386879952","863 /  8   "
"Zinc finger protein GLI1","GLI1","P08151","CHEMBL5461","Transcription factor","0.031680891303650933","12 /  5   "
"Proto-oncogene vav","VAV1","P15498","CHEMBL3259472","Unclassified protein","0.03127640280977656","1 /  1   "
"3-hydroxy-3-methylglutaryl-coenzyme A reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.03042485334696321","178 /  21   "
"Nuclear receptor subfamily 4 group A member 2","NR4A2","P43354","CHEMBL5002","Nuclear receptor","0.029994979003815005","70 /  1   "
"Peroxisome proliferator-activated receptor gamma","PPARG","P37231","CHEMBL235","Nuclear receptor","0.028809191903555798","2000 /  22   "
"Tyrosine-protein phosphatase non-receptor type 11","PTPN11","Q06124","CHEMBL3864","Phosphatase","0.028694683483837045","1311 /  3   "
"Mineralocorticoid receptor","NR3C2","P08235","CHEMBL1994","Nuclear receptor","0.028168633768549056","467 /  23   "
"Delta-type opioid receptor","OPRD1","P41143","CHEMBL236","Family A G protein-coupled receptor","0.027572122619605916","1304 /  6   "
"Bile acid receptor","NR1H4","Q96RI1","CHEMBL2047","Nuclear receptor","0.026280706303008078","1712 /  22   "
"Prothrombin","F2","P00734","CHEMBL204","Protease","0.026048250345015025","2675 /  9   "
"Endothelin-1 receptor","EDNRA","P25101","CHEMBL252","Family A G protein-coupled receptor","0.025956584605969127","978 /  3   "
"Prostaglandin E synthase","PTGES","O14684","CHEMBL5658","Isomerase","0.025914614139626965","829 /  3   "
"Nicotinamide N-methyltransferase","NNMT","P40261","CHEMBL2346486","Transferase","0.025894519781030072","112 /  1   "
"Sodium-dependent dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","0.0255988457284343","2130 /  28   "
