"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"NACHT, LRR and PYD domains-containing protein 3","NLRP3","Q96P20","CHEMBL1741208","Unclassified protein","0.9751881689235353","404 /  40   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.8146383800098081","2354 /  21   "
"Pyruvate kinase PKM","PKM","P14618","CHEMBL1075189","Enzyme","0.7915629610460373","115 /  4   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.668246612772084","1782 /  198   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.5055730094369115","427 /  88   "
"Serine protease 1","PRSS1","P07477","CHEMBL209","Protease","0.42559313904505797","328 /  11   "
"Prothrombin","F2","P00734","CHEMBL204","Protease","0.42559313904505797","1636 /  14   "
"Short transient receptor potential channel 6","TRPC6","Q9Y210","CHEMBL2417347","Voltage-gated ion channel","0.37692946383943204","60 /  5   "
"Lysine-specific histone demethylase 1A","KDM1A","O60341","CHEMBL6136","Eraser","0.3712241309863295","1582 /  1   "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Oxidoreductase","0.3066715905612658","2278 /  54   "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.2900500216147661","1158 /  47   "
"Chymotrypsin-C","CTRC","Q99895","CHEMBL2386","Protease","0.28126616040822927","40 /  3   "
"D(2) dopamine receptor","DRD2","P14416","CHEMBL217","Family A G protein-coupled receptor","0.273563425394079","4688 /  1   "
"Androgen receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.26762665013881","1703 /  76   "
"Bile acid receptor","NR1H4","Q96RI1","CHEMBL2047","Nuclear receptor","0.2542774345451076","1074 /  55   "
"Mineralocorticoid receptor","NR3C2","P08235","CHEMBL1994","Nuclear receptor","0.2453504051212897","557 /  28   "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.2391044873554615","2696 /  1   "
"Neuronal acetylcholine receptor; alpha3/beta4","N/A","P30926&P32297","CHEMBL1907594","Ligand-gated ion channel","0.2368829240299127","298 /  2   "
"Neuronal acetylcholine receptor; alpha4/beta2","N/A","P17787&P43681","CHEMBL1907589","Ligand-gated ion channel","0.2368829240299127","569 /  5   "
"Steroid 17-alpha-hydroxylase/17,20 lyase","CYP17A1","P05093","CHEMBL3522","Cytochrome P450","0.2243603258174859","544 /  24   "
