"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Toll-like receptor 9","TLR9","Q9NR96","CHEMBL5804","Toll-like and Il-1 receptors","1.0","24 /  7   "
"Amine oxidase [flavin-containing] B","MAOB","P27338","CHEMBL2039","Oxidoreductase","1.0","618 /  357   "
"Amine oxidase [flavin-containing] A","MAOA","P21397","CHEMBL1951","Oxidoreductase","1.0","315 /  96   "
"ATP-dependent translocase ABCB1","ABCB1","P08183","CHEMBL4302","Primary active transporter","1.0","135 /  108   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.9974838065585475","261 /  133   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 1B","DYRK1B","Q9Y463","CHEMBL5543","Kinase","0.9968907276262304","87 /  8   "
"Carbonic anhydrase 5B, mitochondrial","CA5B","Q9Y2D0","CHEMBL3969","Lyase","0.9968907276262304","21 /  17   "
"Broad substrate specificity ATP-binding cassette transporter ABCG2","ABCG2","Q9UNQ0","CHEMBL5393","Primary active transporter","0.9968907276262304","118 /  118   "
"CDGSH iron-sulfur domain-containing protein 1","CISD1","Q9NZ45","CHEMBL1795168","Unclassified protein","0.9968907276262304","24 /  8   "
"Dual specificity protein kinase CLK4","CLK4","Q9HAZ1","CHEMBL4203","Kinase","0.9968907276262304","31 /  1   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 3","ATP2A3","Q93084","CHEMBL2401","Primary active transporter","0.9968907276262304","3 /  1   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 2","DYRK2","Q92630","CHEMBL4376","Kinase","0.9968907276262304","62 /  10   "
"Carbonic anhydrase 13","CA13","Q8N1Q1","CHEMBL3912","Lyase","0.9968907276262304","20 /  10   "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","0.9968907276262304","528 /  78   "
"Nuclear factor erythroid 2-related factor 2","NFE2L2","Q16236","CHEMBL1075094","Transcription factor","0.9968907276262304","11 /  36   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 1A","DYRK1A","Q13627","CHEMBL2292","Kinase","0.9968907276262304","176 /  14   "
"Histone acetyltransferase p300","EP300","Q09472","CHEMBL3784","Writer","0.9968907276262304","57 /  17   "
"Lactoylglutathione lyase","GLO1","Q04760","CHEMBL2424","Lyase","0.9968907276262304","31 /  8   "
"Protein kinase C epsilon type","PRKCE","Q02156","CHEMBL3582","Kinase","0.9968907276262304","107 /  10   "
"Dual specificity protein kinase CLK1","CLK1","P49759","CHEMBL4224","Kinase","0.9968907276262304","73 /  4   "
"Carbonic anhydrase 7","CA7","P43166","CHEMBL2326","Lyase","0.9968907276262304","92 /  28   "
"Alpha-synuclein","SNCA","P37840","CHEMBL6152","Unclassified protein","0.9968907276262304","51 /  19   "
"17-beta-hydroxysteroid dehydrogenase type 2","HSD17B2","P37059","CHEMBL2789","Oxidoreductase","0.9968907276262304","396 /  8   "
"Nitric oxide synthase, inducible","NOS2","P35228","CHEMBL4481","Enzyme","0.9968907276262304","8 /  1   "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Oxidoreductase","0.9968907276262304","244 /  12   "
"Glutathione S-transferase Mu 2","GSTM2","P28161","CHEMBL4589","Transferase","0.9968907276262304","1 /  1   "
"Carbonic anhydrase 6","CA6","P23280","CHEMBL3025","Lyase","0.9968907276262304","31 /  20   "
"Prostaglandin G/H synthase 1","PTGS1","P23219","CHEMBL221","Oxidoreductase","0.9968907276262304","124 /  88   "
"Carbonic anhydrase 4","CA4","P22748","CHEMBL3729","Lyase","0.9968907276262304","72 /  18   "
"Nuclear factor NF-kappa-B p105 subunit","NFKB1","P19838","CHEMBL3251","Transcription factor","0.9968907276262304","9 /  9   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2","ATP2A2","P16615","CHEMBL3901","Primary active transporter","0.9968907276262304","3 /  1   "
"Polyunsaturated fatty acid lipoxygenase ALOX15","ALOX15","P16050","CHEMBL2903","Oxidoreductase","0.9968907276262304","107 /  14   "
"Matrix metalloproteinase-9","MMP9","P14780","CHEMBL321","Protease","0.9968907276262304","174 /  64   "
"Tyrosinase","TYR","P14679","CHEMBL1973","Oxidoreductase","0.9968907276262304","116 /  21   "
"Tissue factor","F3","P13726","CHEMBL4081","Surface antigen","0.9968907276262304","57 /  10   "
"HSP60/HSP10","N/A","P10809&P61604","CHEMBL4106131","Unclassified protein","0.9968907276262304","20 /  3   "
"Microtubule-associated protein tau","MAPT","P10636","CHEMBL1293224","Other cytosolic protein","0.9968907276262304","52 /  22   "
"Polyunsaturated fatty acid 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.9968907276262304","542 /  191   "
"Transcription factor AP1","N/A","P05412&P01100","CHEMBL2111421","Transcription factor","0.9968907276262304","3 /  4   "
"Amyloid-beta precursor protein","APP","P05067","CHEMBL2487","Membrane receptor","0.9968907276262304","306 /  166   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.9968907276262304","621 /  62   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","0.9968907276262304","537 /  62   "
"Epidermal growth factor receptor","EGFR","P00533","CHEMBL203","Kinase","0.9968907276262304","583 /  118   "
"Lysine-specific histone demethylase 1A","KDM1A","O60341","CHEMBL6136","Eraser","0.9968907276262304","216 /  56   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 3","DYRK3","O43781","CHEMBL4575","Kinase","0.9968907276262304","27 /  1   "
"Carbonic anhydrase 12","CA12","O43570","CHEMBL3242","Lyase","0.9968907276262304","432 /  68   "
"Prostaglandin E synthase","PTGES","O14684","CHEMBL5658","Isomerase","0.9968907276262304","112 /  38   "
"Transcription factor Jun","JUN","P05412","CHEMBL4977","Transcription factor","0.9966508132908695","6 /  6   "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.9941109378733578","326 /  24   "
