"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.5691032016633142","183 /  63   "
"Prostaglandin G/H synthase 1","PTGS1","P23219","CHEMBL221","Oxidoreductase","0.5561538878640251","91 /  45   "
"Polyunsaturated fatty acid lipoxygenase ALOX15","ALOX15","P16050","CHEMBL2903","Oxidoreductase","0.5344699590819466","91 /  29   "
"Polyunsaturated fatty acid 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.5338101664741883","410 /  187   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.5137299968063899","360 /  47   "
"Transthyretin","TTR","P02766","CHEMBL3194","Secreted protein","0.4102884211216226","59 /  24   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.40643663562364096","142 /  202   "
"Insulin-like growth factor 1 receptor","IGF1R","P08069","CHEMBL1957","Kinase","0.40352709831350625","34 /  15   "
"Tyrosinase","TYR","P14679","CHEMBL1973","Oxidoreductase","0.38980219733337584","87 /  24   "
"Transient receptor potential cation channel subfamily A member 1","TRPA1","O75762","CHEMBL6007","Voltage-gated ion channel","0.38471946040397675","13 /  15   "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.37320499379911765","101 /  49   "
"Ribosyldihydronicotinamide dehydrogenase [quinone]","NQO2","P16083","CHEMBL3959","Oxidoreductase","0.36551119684901456","28 /  54   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.36364474876052283","377 /  101   "
"Polyunsaturated fatty acid lipoxygenase ALOX12","ALOX12","P18054","CHEMBL3687","Enzyme","0.3454632312788935","71 /  12   "
"3-hydroxy-3-methylglutaryl-coenzyme A reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.33024925214575274","5 /  5   "
"17-beta-hydroxysteroid dehydrogenase type 2","HSD17B2","P37059","CHEMBL2789","Oxidoreductase","0.3285233364082437","290 /  17   "
"17-beta-hydroxysteroid dehydrogenase type 1","HSD17B1","P14061","CHEMBL3181","Oxidoreductase","0.3285233364082437","316 /  36   "
"Cholinesterase","BCHE","P06276","CHEMBL1914","Hydrolase","0.29018918442173314","60 /  142   "
"Muscarinic acetylcholine receptor M3","CHRM3","P20309","CHEMBL245","Family A G protein-coupled receptor","0.2877688935344341","5 /  26   "
"Muscarinic acetylcholine receptor M1","CHRM1","P11229","CHEMBL216","Family A G protein-coupled receptor","0.2877688935344341","6 /  25   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.27987214559860973","122 /  43   "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","0.27757852500661784","313 /  51   "
"Transcription factor AP1","N/A","P05412&P01100","CHEMBL2111421","Transcription factor","0.27730511222928417","3 /  5   "
"Macrophage migration inhibitory factor","MIF","P14174","CHEMBL2085","Enzyme","0.2664130254320338","99 /  12   "
"Sodium-dependent noradrenaline transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.25454030839514147","48 /  108   "
