"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Melatonin receptor type 1A","MTNR1A","P48039","CHEMBL1945","Family A G protein-coupled receptor","0.9871269729124035","944 /  7   "
"3-oxo-5-alpha-steroid 4-dehydrogenase 1","SRD5A1","P18405","CHEMBL1787","Oxidoreductase","0.9708590409824088","309 /  6   "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","0.965710037448616","4225 /  232   "
"Carbonic anhydrase 12","CA12","O43570","CHEMBL3242","Lyase","0.965710037448616","3438 /  244   "
"Carbonic anhydrase 14","CA14","Q9ULX7","CHEMBL3510","Lyase","0.9018463417366582","477 /  20   "
"Carbonic anhydrase 7","CA7","P43166","CHEMBL2326","Lyase","0.9018463417366582","1073 /  81   "
"Cytochrome P450 1B1","CYP1B1","Q16678","CHEMBL4878","Cytochrome P450","0.8981288853478584","224 /  56   "
"Carbonic anhydrase 5B, mitochondrial","CA5B","Q9Y2D0","CHEMBL3969","Lyase","0.8956368767727497","362 /  54   "
"Amine oxidase [flavin-containing] B","MAOB","P27338","CHEMBL2039","Oxidoreductase","0.880617799456739","2352 /  493   "
"Carbonic anhydrase 4","CA4","P22748","CHEMBL3729","Lyase","0.7962647135560027","1013 /  70   "
"Carbonic anhydrase 3","CA3","P07451","CHEMBL2885","Lyase","0.7815853552658405","103 /  10   "
"Carbonic anhydrase 6","CA6","P23280","CHEMBL3025","Lyase","0.7813787962675273","255 /  10   "
"Carbonic anhydrase 13","CA13","Q8N1Q1","CHEMBL3912","Lyase","0.7420990179750272","296 /  19   "
"Polyunsaturated fatty acid lipoxygenase ALOX15","ALOX15","P16050","CHEMBL2903","Oxidoreductase","0.7246436105685155","191 /  10   "
"Kappa-type opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.6997602294951689","2926 /  1   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","0.6789602439534337","4675 /  105   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.6474170473178938","8292 /  23   "
"Carbonic anhydrase 5A, mitochondrial","CA5A","P35218","CHEMBL4789","Lyase","0.6412961942652091","387 /  54   "
"Potassium voltage-gated channel subfamily A member 3","KCNA3","P22001","CHEMBL4633","Voltage-gated ion channel","0.6294020343880157","267 /  66   "
"Amine oxidase [flavin-containing] A","MAOA","P21397","CHEMBL1951","Oxidoreductase","0.6055415892466279","1135 /  183   "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.5157843990184311","3289 /  5   "
"Aldo-keto reductase family 1 member C3","AKR1C3","P42330","CHEMBL4681","Oxidoreductase","0.4772540714809737","539 /  1   "
"Induced myeloid leukemia cell differentiation protein Mcl-1","MCL1","Q07820","CHEMBL4361","Other cytosolic protein","0.4479675023357299","1473 /  31   "
"Potassium voltage-gated channel subfamily A member 5","KCNA5","P22460","CHEMBL4306","Voltage-gated ion channel","0.4330494084712814","492 /  35   "
"Cytochrome P450 1A1","CYP1A1","P04798","CHEMBL2231","Cytochrome P450","0.3800688171081004","52 /  13   "
"Tyrosyl-DNA phosphodiesterase 1","TDP1","Q9NUW8","CHEMBL1075138","Phosphodiesterase","0.3645383481096453","76 /  18   "
"Potassium voltage-gated channel subfamily A member 1","KCNA1","Q09470","CHEMBL2309","Voltage-gated ion channel","0.3483211295520633","6 /  3   "
"Aldehyde dehydrogenase, mitochondrial","ALDH2","P05091","CHEMBL1935","Oxidoreductase","0.3154902069193151","85 /  44   "
"Androgen receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.3097476401357388","1710 /  35   "
"Immunoglobulin lambda variable 6-57","IGLV6-57","P01721","CHEMBL4739844","Unclassified protein","0.2888345129227502","31 /  9   "
"Aldehyde dehydrogenase 1A1","ALDH1A1","P00352","CHEMBL3577","Oxidoreductase","0.28677931893726344","202 /  3   "
"Voltage-gated inwardly rectifying potassium channel KCNH2","KCNH2","Q12809","CHEMBL240","Voltage-gated ion channel","0.2853242834004742","5288 /  9   "
"Potassium voltage-gated channel subfamily A member 4","KCNA4","P22459","CHEMBL4205","Voltage-gated ion channel","0.27534246805588525","8 /  2   "
"Aldo-keto reductase family 1 member C1","AKR1C1","Q04828","CHEMBL5905","Oxidoreductase","0.2690763772188644","25 /  1   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.24484198554647035","5598 /  79   "
"Xanthine dehydrogenase/oxidase","XDH","P47989","CHEMBL1929","Oxidoreductase","0.24235220563667942","184 /  20   "
"Lysine-specific demethylase 5B","KDM5B","Q9UGL1","CHEMBL3774295","Eraser","0.2394719214422723","426 /  1   "
"Small conductance calcium-activated potassium channel protein 2","KCNN2","Q9H2S1","CHEMBL4469","Voltage-gated ion channel","0.23681751878807655","8 /  1   "
"Potassium voltage-gated channel subfamily A member 7","KCNA7","Q96RP8","CHEMBL2773","Voltage-gated ion channel","0.23681751878807655","1 /  1   "
"Small conductance calcium-activated potassium channel protein 1","KCNN1","Q92952","CHEMBL2369","Voltage-gated ion channel","0.23681751878807655","5 /  1   "
"Calcium-activated potassium channel subunit alpha-1","KCNMA1","Q12791","CHEMBL4304","Voltage-gated ion channel","0.23681751878807655","8 /  1   "
"Potassium voltage-gated channel subfamily A member 6","KCNA6","P17658","CHEMBL5279","Voltage-gated ion channel","0.23681751878807655","5 /  1   "
"Potassium voltage-gated channel subfamily A member 2","KCNA2","P16389","CHEMBL2086","Voltage-gated ion channel","0.23681751878807655","2 /  1   "
"Advanced glycosylation end product-specific receptor","AGER","Q15109","CHEMBL2176846","Membrane receptor","0.2233372872822173","35 /  1   "
"DNA repair nuclease/redox regulator APEX1","APEX1","P27695","CHEMBL5619","Enzyme","0.22068326659292223","59 /  2   "
"Polyunsaturated fatty acid 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.20663668569083093","983 /  13   "
"Cytochrome P450 1A2","CYP1A2","P05177","CHEMBL3356","Cytochrome P450","0.18718324431280037","64 /  11   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.18645611513025334","3478 /  286   "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.18305363060092525","250 /  79   "
"Pyruvate kinase PKLR","PKLR","P30613","CHEMBL1075126","Enzyme","0.17204742265001513","2 /  3   "
"3',5'-cyclic-AMP phosphodiesterase 4D","PDE4D","Q08499","CHEMBL288","Phosphodiesterase","0.15474728334508805","966 /  42   "
"Cholinesterase","BCHE","P06276","CHEMBL1914","Hydrolase","0.15347357513545182","2007 /  94   "
"Exportin-1","XPO1","O14980","CHEMBL5661","Unclassified protein","0.14577581949618165","44 /  2   "
"Histone deacetylase 1","HDAC1","Q13547","CHEMBL325","Eraser","0.14293577163373516","5811 /  10   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.14181383537764494","2304 /  14   "
"NAD-dependent protein deacetylase sirtuin-1","SIRT1","Q96EB6","CHEMBL4506","Eraser","0.13429578394061265","245 /  2   "
"Epidermal growth factor receptor","EGFR","P00533","CHEMBL203","Kinase","0.13403517569934764","7616 /  35   "
"Estrogen receptor","ESR1","P03372","CHEMBL206","Nuclear receptor","0.13310247993625277","735 /  102   "
"Polycomb protein EED","EED","O75530","CHEMBL2189117","Unclassified protein","0.12696322970557666","514 /  1   "
"Tyrosinase","TYR","P14679","CHEMBL1973","Oxidoreductase","0.11624880272383922","18 /  31   "
"Orexin/Hypocretin receptor type 1","HCRTR1","O43613","CHEMBL5113","Family A G protein-coupled receptor","0.1110685117731126","4939 /  1   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.09769016127709515","1088 /  61   "
"Glucose-6-phosphate 1-dehydrogenase","G6PD","P11413","CHEMBL5347","Oxidoreductase","0.09324966337069678","14 /  1   "
"Transcription factor p65","RELA","Q04206","CHEMBL5533","Transcription factor","0.08951412850593178","36 /  4   "
"Bromodomain-containing protein 4","BRD4","O60885","CHEMBL1163125","Reader","0.08653229405423639","6564 /  4   "
"D-amino-acid oxidase","DAO","P14920","CHEMBL5485","Oxidoreductase","0.08469066019634522","189 /  1   "
"Tyrosine-protein kinase Lck","LCK","P06239","CHEMBL258","Kinase","0.08006408357152013","1155 /  4   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 1A","DYRK1A","Q13627","CHEMBL2292","Kinase","0.07628014529827698","2705 /  7   "
