"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Adenosine receptor A1","ADORA1","P30542","CHEMBL226","Family A G protein-coupled receptor","0.4563162823465029","0 /  1   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.12228687721967206","0 /  76   "
"Histone-lysine N-methyltransferase, H3 lysine-79 specific","DOT1L","Q8TEK3","CHEMBL1795117","Writer","0.10929783210448882","0 /  1   "
"Histone deacetylase 1","HDAC1","Q13547","CHEMBL325","Eraser","0.10929783210448882","0 /  30   "
"Tyrosyl-DNA phosphodiesterase 1","TDP1","Q9NUW8","CHEMBL1075138","Phosphodiesterase","0.052185350754330645","0 /  2   "
"Induced myeloid leukemia cell differentiation protein Mcl-1","MCL1","Q07820","CHEMBL4361","Other cytosolic protein","0.04606168596520796","0 /  3   "
"Lysine-specific histone demethylase 1A","KDM1A","O60341","CHEMBL6136","Eraser","0.040463614626933375","0 /  16   "
"Tyrosinase","TYR","P14679","CHEMBL1973","Oxidoreductase","0.037408230946208876","0 /  20   "
"Synaptojanin-2","SYNJ2","O15056","CHEMBL4523129","Hydrolase","0.03673549342472786","0 /  18   "
"Solute carrier organic anion transporter family member 2B1","SLCO2B1","O94956","CHEMBL1743124","Electrochemical transporter","0.0361466907051741","0 /  1   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.03486863670380941","0 /  91   "
"Pyruvate kinase PKM","PKM","P14618","CHEMBL1075189","Enzyme","0.03423740232550272","0 /  7   "
"3-oxo-5-alpha-steroid 4-dehydrogenase 1","SRD5A1","P18405","CHEMBL1787","Oxidoreductase","0.027431634686013933","0 /  1   "
"Heparanase","HPSE","Q9Y251","CHEMBL3921","Hydrolase","0.025858045698263527","0 /  3   "
"Hypoxia-inducible factor 1-alpha","HIF1A","Q16665","CHEMBL4261","Transcription factor","0.024422996043687046","0 /  12   "
"Sterol O-acyltransferase 1","SOAT1","P35610","CHEMBL2782","Transferase","0.024422996043687046","0 /  2   "
"Sterol O-acyltransferase 2","SOAT2","O75908","CHEMBL4465","Transferase","0.024422996043687046","0 /  2   "
"Sodium/glucose cotransporter 2","SLC5A2","P31639","CHEMBL3884","Electrochemical transporter","0.023168887236553835","0 /  837   "
"Sodium/glucose cotransporter 1","SLC5A1","P13866","CHEMBL4979","Electrochemical transporter","0.023168887236553835","0 /  443   "
"Bifunctional epoxide hydrolase 2","EPHX2","P34913","CHEMBL2409","Protease","0.021852415861813114","0 /  13   "
"Transient receptor potential cation channel subfamily V member 1","TRPV1","Q8NER1","CHEMBL4794","Voltage-gated ion channel","0.02104271992317577","0 /  27   "
"Tyrosine-protein phosphatase non-receptor type 2","PTPN2","P17706","CHEMBL3807","Phosphatase","0.019980614929895266","0 /  3   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.019311616464497538","0 /  70   "
"DNA topoisomerase 2-beta","TOP2B","Q02880","CHEMBL3396","Isomerase","0.019179492014700202","0 /  2   "
"DNA topoisomerase 2-alpha","TOP2A","P11388","CHEMBL1806","Isomerase","0.019179492014700202","0 /  8   "
"Transient receptor potential cation channel subfamily M member 8","TRPM8","Q7Z2W7","CHEMBL1075319","Voltage-gated ion channel","0.019029290510059513","0 /  20   "
"Mitogen-activated protein kinase 9","MAPK9","P45984","CHEMBL4179","Kinase","0.016277226072372693","0 /  3   "
"Estrogen receptor","ESR1","P03372","CHEMBL206","Nuclear receptor","0.014829566879014336","0 /  126   "
