"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Neuronal acetylcholine receptor; alpha4/beta2","N/A","P17787&P43681","CHEMBL1907589","Ligand-gated ion channel","0.9835650925653602","34 /  21   "
"5-hydroxytryptamine receptor 1A","HTR1A","P08908","CHEMBL214","Family A G protein-coupled receptor","0.9736725291373465","210 /  451   "
"5-hydroxytryptamine receptor 7","HTR7","P34969","CHEMBL3155","Family A G protein-coupled receptor","0.9683519069478532","112 /  232   "
"D(3) dopamine receptor","DRD3","P35462","CHEMBL234","Family A G protein-coupled receptor","0.9680250112026167","317 /  471   "
"D(1A) dopamine receptor","DRD1","P21728","CHEMBL2056","Family A G protein-coupled receptor","0.9680250112026167","359 /  392   "
"Tyrosyl-DNA phosphodiesterase 2","TDP2","O95551","CHEMBL2169736","Phosphodiesterase","0.9668489823165585","33 /  3   "
"D(2) dopamine receptor","DRD2","P14416","CHEMBL217","Family A G protein-coupled receptor","0.9632542634175743","476 /  719   "
"5-hydroxytryptamine receptor 2B","HTR2B","P41595","CHEMBL1833","Family A G protein-coupled receptor","0.9625570306635245","94 /  208   "
"5-hydroxytryptamine receptor 2C","HTR2C","P28335","CHEMBL225","Family A G protein-coupled receptor","0.9553497957177043","81 /  215   "
"5-hydroxytryptamine receptor 6","HTR6","P50406","CHEMBL3371","Family A G protein-coupled receptor","0.9384735705900601","77 /  50   "
"5-hydroxytryptamine receptor 2A","HTR2A","P28223","CHEMBL224","Family A G protein-coupled receptor","0.9384735705900601","168 /  361   "
"5-hydroxytryptamine receptor 5A","HTR5A","P47898","CHEMBL3426","Family A G protein-coupled receptor","0.9221840780035632","9 /  66   "
"E3 ubiquitin-protein ligase Mdm2","MDM2","Q00987","CHEMBL5023","Other nuclear protein","0.898667665674348","32 /  113   "
"Sclerostin","SOST","Q9BQB4","CHEMBL3580487","Unclassified protein","0.8985895153372733","1 /  5   "
"Alpha-2C adrenergic receptor","ADRA2C","P18825","CHEMBL1916","Family A G protein-coupled receptor","0.8933233761929625","27 /  39   "
"D(4) dopamine receptor","DRD4","P21917","CHEMBL219","Family A G protein-coupled receptor","0.871987417700318","154 /  174   "
"Alpha-1D adrenergic receptor","ADRA1D","P25100","CHEMBL223","Family A G protein-coupled receptor","0.8713457543586826","24 /  22   "
"Alpha-2B adrenergic receptor","ADRA2B","P18089","CHEMBL1942","Family A G protein-coupled receptor","0.8713457543586826","24 /  35   "
"Voltage-gated inwardly rectifying potassium channel KCNH2","KCNH2","Q12809","CHEMBL240","Voltage-gated ion channel","0.868096208626835","102 /  286   "
"Disabled homolog 2-interacting protein","DAB2IP","Q5VWQ8","CHEMBL4523330","Unclassified protein","0.8551085468653732","2 /  1   "
"Mu-type opioid receptor","OPRM1","P35372","CHEMBL233","Family A G protein-coupled receptor","0.8463906713751341","829 /  819   "
"5-hydroxytryptamine receptor 1D","HTR1D","P28221","CHEMBL1983","Family A G protein-coupled receptor","0.8340754421614665","25 /  39   "
"Sodium-dependent serotonin transporter","SLC6A4","P31645","CHEMBL228","Electrochemical transporter","0.8332800785477251","91 /  386   "
"Alpha-2A adrenergic receptor","ADRA2A","P08913","CHEMBL1867","Family A G protein-coupled receptor","0.8332800785477251","56 /  43   "
"D(1B) dopamine receptor","DRD5","P21918","CHEMBL1850","Family A G protein-coupled receptor","0.807069012401909","91 /  78   "
"Patatin-like phospholipase domain-containing protein 2","PNPLA2","Q96AD5","CHEMBL3822353","Hydrolase","0.805971184356138","0 /  1   "
"Protein tyrosine phosphatase receptor type C-associated protein","PTPRCAP","Q14761","CHEMBL4806","Phosphatase","0.798623136793278","2 /  1   "
"5-hydroxytryptamine receptor 1B","HTR1B","P28222","CHEMBL1898","Family A G protein-coupled receptor","0.7980053031066551","17 /  29   "
"Tyrosine 3-monooxygenase","TH","P07101","CHEMBL1969","Oxidoreductase","0.7798391542789418","3 /  2   "
"Alpha-1B adrenergic receptor","ADRA1B","P35368","CHEMBL232","Family A G protein-coupled receptor","0.7667979528790607","22 /  31   "
"Alpha-1A adrenergic receptor","ADRA1A","P35348","CHEMBL229","Family A G protein-coupled receptor","0.7626699621006839","30 /  27   "
"Beta-1 adrenergic receptor","ADRB1","P08588","CHEMBL213","Family A G protein-coupled receptor","0.7521314407319002","117 /  34   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 1A","DYRK1A","Q13627","CHEMBL2292","Kinase","0.7209464858338863","130 /  13   "
"Histamine H2 receptor","HRH2","P25021","CHEMBL1941","Family A G protein-coupled receptor","0.5789412374051929","0 /  15   "
"Beta-2 adrenergic receptor","ADRB2","P07550","CHEMBL210","Family A G protein-coupled receptor","0.45281152456605095","198 /  82   "
"Beta-3 adrenergic receptor","ADRB3","P13945","CHEMBL246","Family A G protein-coupled receptor","0.4301853005593399","111 /  50   "
"Polyunsaturated fatty acid lipoxygenase ALOX12","ALOX12","P18054","CHEMBL3687","Enzyme","0.37827724247577715","96 /  1   "
"Polyunsaturated fatty acid lipoxygenase ALOX15","ALOX15","P16050","CHEMBL2903","Oxidoreductase","0.37827724247577715","104 /  1   "
"Translocator protein","TSPO","P30536","CHEMBL5742","Membrane receptor","0.3348222474588159","2 /  2   "
"ATP-dependent translocase ABCB1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.3297437612799404","98 /  359   "
"Tissue factor","F3","P13726","CHEMBL4081","Surface antigen","0.16619609016143927","37 /  29   "
"Cholinesterase","BCHE","P06276","CHEMBL1914","Hydrolase","0.15472323943031724","118 /  209   "
"Dihydrofolate reductase","DHFR","P00374","CHEMBL202","Oxidoreductase","0.1193420629607353","25 /  8   "
"Thromboxane A2 receptor","TBXA2R","P21731","CHEMBL2069","Family A G protein-coupled receptor","0.1151861016743995","21 /  10   "
"Sigma non-opioid intracellular receptor 1","SIGMAR1","Q99720","CHEMBL287","Membrane receptor","0.0999379996548189","169 /  295   "
"Poly [ADP-ribose] polymerase 1","PARP1","P09874","CHEMBL3105","Transferase","0.09260756563064275","210 /  54   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.08250903606072342","227 /  321   "
"Lysine-specific histone demethylase 1A","KDM1A","O60341","CHEMBL6136","Eraser","0.07416987355952656","182 /  153   "
"Amine oxidase [flavin-containing] A","MAOA","P21397","CHEMBL1951","Oxidoreductase","0.06805172267314814","273 /  67   "
"Neuronal acetylcholine receptor subunit alpha-7","CHRNA7","P36544","CHEMBL2492","Ligand-gated ion channel","0.06487351203537044","29 /  23   "
"Sodium-dependent dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","0.05264363217821611","46 /  174   "
"Histone acetyltransferase p300","EP300","Q09472","CHEMBL3784","Writer","0.05218897192703105","36 /  14   "
"Programmed cell death 1 ligand 1","CD274","Q9NZQ7","CHEMBL3580522","Unclassified protein","0.04786993662335317","4 /  279   "
"Tubulin beta-1 chain","TUBB1","Q9H4B7","CHEMBL1915","Structural protein","0.04085783629514785","19 /  5   "
"Multidrug resistance-associated protein 1","ABCC1","P33527","CHEMBL3004","Primary active transporter","0.03968927193668883","13 /  13   "
"Dipeptidyl peptidase 4","DPP4","P27487","CHEMBL284","Protease","0.037701814800542154","49 /  73   "
"Muscarinic acetylcholine receptor M3","CHRM3","P20309","CHEMBL245","Family A G protein-coupled receptor","0.03768669064211291","18 /  14   "
"Melatonin receptor type 1B","MTNR1B","P49286","CHEMBL1946","Family A G protein-coupled receptor","0.03386953957806373","13 /  153   "
"Histone deacetylase 6","HDAC6","Q9UBN7","CHEMBL1865","Eraser","0.031590898479695505","201 /  42   "
"Small conductance calcium-activated potassium channel protein 3","KCNN3","Q9UGI6","CHEMBL3381","Voltage-gated ion channel","0.02924044392671483","1 /  7   "
"Small conductance calcium-activated potassium channel protein 2","KCNN2","Q9H2S1","CHEMBL4469","Voltage-gated ion channel","0.02924044392671483","1 /  7   "
"Small conductance calcium-activated potassium channel protein 1","KCNN1","Q92952","CHEMBL2369","Voltage-gated ion channel","0.02924044392671483","1 /  1   "
"Muscarinic acetylcholine receptor M4","CHRM4","P08173","CHEMBL1821","Family A G protein-coupled receptor","0.02861723436131566","8 /  24   "
"Cyclin-dependent kinase 1/cyclin B","N/A","P06493&P14635&Q8WWL7&O95067","CHEMBL2094127","Kinase","0.026421065757295567","77 /  1   "
"Serine/threonine-protein kinase pim-1","PIM1","P11309","CHEMBL2147","Kinase","0.026397104799480195","195 /  2   "
"Orexin/Hypocretin receptor type 1","HCRTR1","O43613","CHEMBL5113","Family A G protein-coupled receptor","0.02548694066132135","9 /  62   "
"Melatonin receptor type 1A","MTNR1A","P48039","CHEMBL1945","Family A G protein-coupled receptor","0.02436475611097208","14 /  131   "
"Sigma intracellular receptor 2","TMEM97","Q5BJF2","CHEMBL4105907","Membrane receptor","0.023617492657386514","44 /  116   "
"Muscarinic acetylcholine receptor M2","CHRM2","P08172","CHEMBL211","Family A G protein-coupled receptor","0.023617492657386514","8 /  31   "
"Kallikrein-7","KLK7","P49862","CHEMBL2443","Protease","0.02275471055076813","4 /  1   "
