"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Heat shock protein HSP 90-alpha","HSP90AA1","P07900","CHEMBL3880","Other cytosolic protein","0.9650080353252665","764 /  17   "
"Nitric oxide synthase, inducible","NOS2","P35228","CHEMBL4481","Enzyme","0.26974624773318157","517 /  1   "
"Interleukin-1 beta","IL1B","P01584","CHEMBL1909490","Secreted protein","0.26974624773318157","163 /  3   "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Oxidoreductase","0.15642744865791658","1981 /  10   "
"Kappa-type opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.029791734375239413","2970 /  184   "
"Delta-type opioid receptor","OPRD1","P41143","CHEMBL236","Family A G protein-coupled receptor","0.029791734375239413","1661 /  50   "
"Mu-type opioid receptor","OPRM1","P35372","CHEMBL233","Family A G protein-coupled receptor","0.029791734375239413","3778 /  67   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.029353300993097207","1097 /  48   "
"Macrophage migration inhibitory factor","MIF","P14174","CHEMBL2085","Enzyme","0.02822449280864758","43 /  1   "
"Protein kinase C alpha type","PRKCA","P17252","CHEMBL299","Kinase","0.023808219887972472","799 /  288   "
"Endoplasmic reticulum aminopeptidase 1","ERAP1","Q9NZ08","CHEMBL5939","Protease","0.017213004750507802","83 /  1   "
"Protein kinase C delta type","PRKCD","Q05655","CHEMBL2996","Kinase","0.017022820892419948","544 /  71   "
"Dual specificity protein phosphatase 3","DUSP3","P51452","CHEMBL2635","Phosphatase","0.016850520589277516","82 /  3   "
"Bromodomain-containing protein 2","BRD2","P25440","CHEMBL1293289","Reader","0.016540861195354303","715 /  1   "
"Bromodomain-containing protein 4","BRD4","O60885","CHEMBL1163125","Reader","0.016540861195354303","6652 /  9   "
"Serine/threonine-protein kinase mTOR","MTOR","P42345","CHEMBL2842","Kinase","0.016139592535187985","3864 /  35   "
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform","PIK3CA","P42336","CHEMBL4005","Transferase","0.016139592535187985","6027 /  49   "
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform","PIK3CG","P48736","CHEMBL3267","Transferase","0.015382033865290155","2978 /  3   "
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform","PIK3CD","O00329","CHEMBL3130","Transferase","0.015382033865290155","6142 /  3   "
"Phosphatidylinositol 3-kinase catalytic subunit type 3","PIK3C3","Q8NEB9","CHEMBL1075165","Transferase","0.015289834831297013","617 /  11   "
"Transcription factor Jun","JUN","P05412","CHEMBL4977","Transcription factor","0.01511732010173988","66 /  3   "
"DNA-dependent protein kinase catalytic subunit","PRKDC","P78527","CHEMBL3142","Kinase","0.014571571274577097","1130 /  2   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.01440465088669838","2139 /  15   "
"Kir3.1/Kir3.4","N/A","P48549&P48544","CHEMBL3038488","Voltage-gated ion channel","0.013476657471511307","200 /  9   "
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform","PIK3CB","P42338","CHEMBL3145","Transferase","0.013474674703057708","2147 /  2   "
"PI3-kinase p110-alpha/p85-alpha","N/A","P27986&P42336","CHEMBL2111367","Transferase","0.013153852376120505","1335 /  5   "
"Myosin light chain kinase, smooth muscle","MYLK","Q15746","CHEMBL2428","Kinase","0.01261045042623016","80 /  1   "
"Bromodomain-containing protein 3","BRD3","Q15059","CHEMBL1795186","Reader","0.012541385529665825","753 /  9   "
"RAC-alpha serine/threonine-protein kinase","AKT1","P31749","CHEMBL4282","Kinase","0.012258816129531669","2797 /  18   "
"Protein kinase C epsilon type","PRKCE","Q02156","CHEMBL3582","Kinase","0.011895648091666914","264 /  62   "
"Signal transducer and activator of transcription 3","STAT3","P40763","CHEMBL4026","Transcription factor","0.011133221250443052","348 /  9   "
"Protein kinase C beta type","PRKCB","P05771","CHEMBL3045","Kinase","0.01083636582003535","411 /  14   "
"Serine/threonine-protein kinase PLK3","PLK3","Q9H4B4","CHEMBL4897","Kinase","0.010779354402054611","149 /  1   "
"Serine/threonine-protein kinase PLK1","PLK1","P53350","CHEMBL3024","Kinase","0.010779354402054611","857 /  1   "
"Solute carrier family 2, facilitated glucose transporter member 1","SLC2A1","P11166","CHEMBL2535","Electrochemical transporter","0.010681372306920239","142 /  4   "
"Bromodomain testis-specific protein","BRDT","Q58F21","CHEMBL1795185","Reader","0.010214384101093425","194 /  1   "
"Phosphatidylinositol 4-kinase beta","PI4KB","Q9UBF8","CHEMBL3268","Transferase","0.009494501077843451","308 /  1   "
"Phosphatidylinositol 4-kinase alpha","PI4KA","P42356","CHEMBL3667","Transferase","0.009494501077843451","78 /  1   "
"Proteasome Macropain subunit MB1","PSMB5","P28074","CHEMBL4662","Protease","0.009157456619790014","594 /  2   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2","ATP2A2","P16615","CHEMBL3901","Primary active transporter","0.009005903730576366","8 /  3   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.008534742306449324","3487 /  20   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1","ATP2A1","O14983","CHEMBL3136","Primary active transporter","0.008528482568081874","5 /  6   "
"Phospholipase A2, membrane associated","PLA2G2A","P14555","CHEMBL3474","Hydrolase","0.008445829795660215","192 /  8   "
"Proteasome component C5","PSMB1","P20618","CHEMBL4208","Protease","0.00772955546494294","73 /  2   "
"Androgen receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.007648778061622623","1337 /  46   "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Transferase","0.007408555675217854","274 /  2   "
"Protein farnesyltransferase","N/A","P49354&P49356","CHEMBL2094108","Transferase","0.007203233675994145","1349 /  6   "
"Geranylgeranyl transferase type I","N/A","P49354&P53609","CHEMBL2095164","Transferase","0.007030665708108805","282 /  1   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.0067794816385496354","7904 /  4   "
"Serine/threonine-protein kinase SIK3","SIK3","Q9Y2K2","CHEMBL6149","Kinase","0.0067375092689575715","115 /  1   "
