"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Heat shock protein HSP 90-alpha","HSP90AA1","P07900","CHEMBL3880","Other cytosolic protein","0.9619476274438318","759 /  17   "
"Nitric oxide synthase, inducible","NOS2","P35228","CHEMBL4481","Enzyme","0.22116924826069861","576 /  1   "
"Interleukin-1 beta","IL1B","P01584","CHEMBL1909490","Secreted protein","0.22116924826069861","158 /  3   "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Oxidoreductase","0.168724514142905","1977 /  10   "
"Macrophage migration inhibitory factor","MIF","P14174","CHEMBL2085","Enzyme","0.033405237728261615","43 /  1   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.03196483071318183","990 /  53   "
"Dual specificity protein phosphatase 3","DUSP3","P51452","CHEMBL2635","Phosphatase","0.02463226391839834","78 /  3   "
"Protein kinase C alpha type","PRKCA","P17252","CHEMBL299","Kinase","0.024594843638813046","799 /  290   "
"Kappa-type opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.02449091036610372","2958 /  184   "
"Mu-type opioid receptor","OPRM1","P35372","CHEMBL233","Family A G protein-coupled receptor","0.021612661532489124","3709 /  67   "
"Delta-type opioid receptor","OPRD1","P41143","CHEMBL236","Family A G protein-coupled receptor","0.018727145260074414","1656 /  50   "
"Transcription factor Jun","JUN","P05412","CHEMBL4977","Transcription factor","0.013978955076874673","65 /  3   "
"Endoplasmic reticulum aminopeptidase 1","ERAP1","Q9NZ08","CHEMBL5939","Protease","0.013765413332239016","79 /  1   "
"Bromodomain-containing protein 2","BRD2","P25440","CHEMBL1293289","Reader","0.01321753470823182","722 /  1   "
"Bromodomain-containing protein 4","BRD4","O60885","CHEMBL1163125","Reader","0.01321753470823182","6650 /  9   "
"Protein kinase C delta type","PRKCD","Q05655","CHEMBL2996","Kinase","0.013018649365378564","540 /  71   "
"RAC-alpha serine/threonine-protein kinase","AKT1","P31749","CHEMBL4282","Kinase","0.012753744320925355","2737 /  18   "
"DNA-dependent protein kinase catalytic subunit","PRKDC","P78527","CHEMBL3142","Kinase","0.012618114419596333","1142 /  2   "
"Phosphatidylinositol 3-kinase catalytic subunit type 3","PIK3C3","Q8NEB9","CHEMBL1075165","Transferase","0.012050772740945825","620 /  11   "
"Protein kinase C epsilon type","PRKCE","Q02156","CHEMBL3582","Kinase","0.011966791893152928","266 /  63   "
"Serine/threonine-protein kinase mTOR","MTOR","P42345","CHEMBL2842","Kinase","0.011835054434876861","3777 /  34   "
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform","PIK3CA","P42336","CHEMBL4005","Transferase","0.011835054434876861","5970 /  49   "
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit delta isoform","PIK3CD","O00329","CHEMBL3130","Transferase","0.01141500021810267","6091 /  3   "
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit gamma isoform","PIK3CG","P48736","CHEMBL3267","Transferase","0.011210533598612234","2964 /  3   "
"Solute carrier family 2, facilitated glucose transporter member 1","SLC2A1","P11166","CHEMBL2535","Electrochemical transporter","0.011192020216458293","131 /  4   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.010874173294098937","2140 /  15   "
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform","PIK3CB","P42338","CHEMBL3145","Transferase","0.010682825241590642","2132 /  2   "
"Bromodomain-containing protein 3","BRD3","Q15059","CHEMBL1795186","Reader","0.010263518149476685","760 /  9   "
"PI3-kinase p110-alpha/p85-alpha","N/A","P27986&P42336","CHEMBL2111367","Transferase","0.010118483491707127","1318 /  5   "
"Protein kinase C beta type","PRKCB","P05771","CHEMBL3045","Kinase","0.009999633840368794","319 /  14   "
"Myosin light chain kinase, smooth muscle","MYLK","Q15746","CHEMBL2428","Kinase","0.009937006773684793","81 /  1   "
"Kir3.1/Kir3.4","N/A","P48549&P48544","CHEMBL3038488","Voltage-gated ion channel","0.009375062353733246","201 /  9   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.00889200334131714","3456 /  20   "
"Signal transducer and activator of transcription 3","STAT3","P40763","CHEMBL4026","Transcription factor","0.008780835689203868","349 /  9   "
"Phosphatidylinositol 4-kinase beta","PI4KB","Q9UBF8","CHEMBL3268","Transferase","0.008340789294882623","309 /  1   "
"Serine/threonine-protein kinase PLK3","PLK3","Q9H4B4","CHEMBL4897","Kinase","0.008340789294882623","145 /  1   "
"Serine/threonine-protein kinase PLK1","PLK1","P53350","CHEMBL3024","Kinase","0.008340789294882623","843 /  1   "
"Phosphatidylinositol 4-kinase alpha","PI4KA","P42356","CHEMBL3667","Transferase","0.008340789294882623","79 /  1   "
"Bromodomain testis-specific protein","BRDT","Q58F21","CHEMBL1795185","Reader","0.007821225252495524","187 /  1   "
"Proteasome Macropain subunit MB1","PSMB5","P28074","CHEMBL4662","Protease","0.007142659466240573","591 /  2   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2","ATP2A2","P16615","CHEMBL3901","Primary active transporter","0.006788560613963552","8 /  3   "
"Phospholipase A2, membrane associated","PLA2G2A","P14555","CHEMBL3474","Hydrolase","0.0067649890344161434","190 /  8   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 1","ATP2A1","O14983","CHEMBL3136","Primary active transporter","0.006666404422080659","5 /  6   "
"D-3-phosphoglycerate dehydrogenase","PHGDH","O43175","CHEMBL2311243","Oxidoreductase","0.006437456753422926","325 /  1   "
"Androgen receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.0063096189295942925","1364 /  49   "
"Proteasome component C5","PSMB1","P20618","CHEMBL4208","Protease","0.006139547794688916","73 /  2   "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Transferase","0.006139547794688916","263 /  2   "
"Sodium-dependent dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","0.005720233407621018","2886 /  29   "
"Sodium-dependent serotonin transporter","SLC6A4","P31645","CHEMBL228","Electrochemical transporter","0.005720233407621018","4841 /  9   "
"Inhibitor of nuclear factor kappa-B kinase subunit beta","IKBKB","O14920","CHEMBL1991","Kinase","0.005600295601319327","688 /  10   "
"Histone-lysine N-methyltransferase EZH2","EZH2","Q15910","CHEMBL2189110","Writer","0.005466175655747584","792 /  2   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.005284992164340692","7782 /  4   "
"Protein farnesyltransferase","N/A","P49354&P49356","CHEMBL2094108","Transferase","0.005241238049726914","1324 /  7   "
"M-phase inducer phosphatase 2","CDC25B","P30305","CHEMBL4804","Phosphatase","0.005164372438943897","150 /  5   "
"Tumor necrosis factor","TNF","P01375","CHEMBL1825","Secreted protein","0.005144688695131573","1258 /  6   "
"Geranylgeranyl transferase type I","N/A","P49354&P53609","CHEMBL2095164","Transferase","0.005054017092812291","285 /  1   "
"Neuronal acetylcholine receptor subunit alpha-7","CHRNA7","P36544","CHEMBL2492","Ligand-gated ion channel","0.004916923659436592","1015 /  1   "
"Bile acid receptor","NR1H4","Q96RI1","CHEMBL2047","Nuclear receptor","0.004743755642470976","2281 /  15   "
"Potassium voltage-gated channel subfamily A member 3","KCNA3","P22001","CHEMBL4633","Voltage-gated ion channel","0.004658766530182287","262 /  7   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 3","ATP2A3","Q93084","CHEMBL2401","Primary active transporter","0.004634363452679046","2 /  2   "
"Serine/threonine-protein kinase SIK3","SIK3","Q9Y2K2","CHEMBL6149","Kinase","0.004576631127000518","108 /  1   "
"cAMP-dependent protein kinase catalytic subunit gamma","PRKACG","P22612","CHEMBL2743","Kinase","0.004576631127000518","11 /  1   "
"Neuronal acetylcholine receptor; alpha3/beta4","N/A","P30926&P32297","CHEMBL1907594","Ligand-gated ion channel","0.00425077841532939","414 /  2   "
"ATP-dependent translocase ABCB1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.0037990066853072083","1198 /  41   "
"Endothelin-1 receptor","EDNRA","P25101","CHEMBL252","Family A G protein-coupled receptor","0.0036041407974477285","1050 /  6   "
"Toll-like receptor 4","TLR4","O00206","CHEMBL5255","Toll-like and Il-1 receptors","0.003561136411473683","89 /  4   "
"Neuronal acetylcholine receptor; alpha4/beta2","N/A","P17787&P43681","CHEMBL1907589","Ligand-gated ion channel","0.0034791318818153854","757 /  4   "
"Squalene synthase","FDFT1","P37268","CHEMBL3338","Transferase","0.0034748076116388285","121 /  24   "
"cAMP-dependent protein kinase catalytic subunit alpha","PRKACA","P17612","CHEMBL4101","Kinase","0.0034352801605076724","77 /  1   "
"Tubulin--tyrosine ligase","TTL","Q8NG68","CHEMBL5549","Ligase","0.003408032491497625","17 /  12   "
"Kelch-like ECH-associated protein 1","KEAP1","Q14145","CHEMBL2069156","Unclassified protein","0.003345221905339299","169 /  3   "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.003309581517061679","1948 /  7   "
"Mineralocorticoid receptor","NR3C2","P08235","CHEMBL1994","Nuclear receptor","0.0032895411988265767","540 /  20   "
"Pyruvate kinase PKM","PKM","P14618","CHEMBL1075189","Enzyme","0.0032825103774274168","98 /  4   "
"Peroxisome proliferator-activated receptor gamma","PPARG","P37231","CHEMBL235","Nuclear receptor","0.0032068299817352704","2319 /  19   "
"Ras guanyl-releasing protein 3","RASGRP3","Q8IV61","CHEMBL3638","Other cytosolic protein","0.0031448418131006","87 /  47   "
"NACHT, LRR and PYD domains-containing protein 3","NLRP3","Q96P20","CHEMBL1741208","Unclassified protein","0.003059462179330018","410 /  16   "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.00303877162591685","3073 /  1   "
"Protein kinase C theta type","PRKCQ","Q04759","CHEMBL3920","Kinase","0.0030050108448706286","831 /  7   "
"dCTP pyrophosphatase 1","DCTPP1","Q9H773","CHEMBL3769292","Hydrolase","0.0029727729799930123","102 /  1   "
"Prothrombin","F2","P00734","CHEMBL204","Protease","0.002938810735122289","3204 /  6   "
"Transient receptor potential cation channel subfamily V member 1","TRPV1","Q8NER1","CHEMBL4794","Voltage-gated ion channel","0.002840473150974872","1689 /  17   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.002794168376127903","1049 /  70   "
"ATP-dependent Clp protease ATP-binding subunit clpX-like, mitochondrial","CLPX","O76031","CHEMBL3797014","Enzyme","0.002700344832069334","1 /  1   "
"Ubiquitin carboxyl-terminal hydrolase 7","USP7","Q93009","CHEMBL2157850","Protease","0.0026766350586555207","288 /  4   "
"Proteinase-activated receptor 2","F2RL1","P55085","CHEMBL5963","Family A G protein-coupled receptor","0.0026325717253905053","70 /  1   "
"Amyloid-beta precursor protein","APP","P05067","CHEMBL2487","Membrane receptor","0.0025910617750467585","901 /  6   "
"TGF-beta receptor type-1","TGFBR1","P36897","CHEMBL4439","Kinase","0.0025553933057932457","1835 /  1   "
"Induced myeloid leukemia cell differentiation protein Mcl-1","MCL1","Q07820","CHEMBL4361","Other cytosolic protein","0.002553436337910603","1552 /  6   "
"3',5'-cyclic-AMP phosphodiesterase 4D","PDE4D","Q08499","CHEMBL288","Phosphodiesterase","0.0025344483974953282","969 /  7   "
"Apoptosis regulator Bcl-2","BCL2","P10415","CHEMBL4860","Other ion channel","0.002476999338470225","696 /  1   "
"Protein kinase C eta type","PRKCH","P24723","CHEMBL3616","Kinase","0.002473943656617089","131 /  4   "
"Protein kinase C gamma type","PRKCG","P05129","CHEMBL2938","Kinase","0.002463917476131026","100 /  9   "
"Toll-like receptor 9","TLR9","Q9NR96","CHEMBL5804","Toll-like and Il-1 receptors","0.002420757302596827","2582 /  2   "
"Proto-oncogene vav","VAV1","P15498","CHEMBL3259472","Unclassified protein","0.0023469573499792923","1 /  1   "
"Transient receptor potential cation channel subfamily M member 8","TRPM8","Q7Z2W7","CHEMBL1075319","Voltage-gated ion channel","0.0023242426591626396","370 /  1   "
"Zinc finger protein GLI1","GLI1","P08151","CHEMBL5461","Transcription factor","0.0022852484492969956","14 /  4   "
"Tyrosine-protein phosphatase non-receptor type 2","PTPN2","P17706","CHEMBL3807","Phosphatase","0.002232449058511369","189 /  10   "
"3-hydroxy-3-methylglutaryl-coenzyme A reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.0021250963035685","188 /  18   "
"Epidermal growth factor receptor","EGFR","P00533","CHEMBL203","Kinase","0.002042126359456105","7445 /  13   "
