"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Receptor-type tyrosine-protein kinase FLT3","FLT3","P36888","CHEMBL1974","Kinase","1.0","146 /  16   "
"Solute carrier organic anion transporter family member 2B1","SLCO2B1","O94956","CHEMBL1743124","Electrochemical transporter","1.0","6 /  6   "
"Mast/stem cell growth factor receptor Kit","KIT","P10721","CHEMBL1936","Kinase","0.9839920691902517","59 /  3   "
"Serine/threonine-protein kinase pim-1","PIM1","P11309","CHEMBL2147","Kinase","0.983089245605433","178 /  20   "
"MAP kinase-interacting serine/threonine-protein kinase 2","MKNK2","Q9HBH9","CHEMBL4204","Kinase","0.9805404767456221","36 /  9   "
"MAP kinase-interacting serine/threonine-protein kinase 1","MKNK1","Q9BUB5","CHEMBL4718","Kinase","0.9805404767456221","24 /  2   "
"Delta-type opioid receptor","OPRD1","P41143","CHEMBL236","Family A G protein-coupled receptor","0.9802384821826666","378 /  3   "
"Polyunsaturated fatty acid lipoxygenase ALOX15","ALOX15","P16050","CHEMBL2903","Oxidoreductase","0.9682914567856322","97 /  17   "
"Histone deacetylase 6","HDAC6","Q9UBN7","CHEMBL1865","Eraser","0.9622202031395244","151 /  30   "
"Xanthine dehydrogenase/oxidase","XDH","P47989","CHEMBL1929","Oxidoreductase","0.9622202031395244","169 /  40   "
"ATP-dependent translocase ABCB1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.9614224794052503","77 /  131   "
"Broad substrate specificity ATP-binding cassette transporter ABCG2","ABCG2","Q9UNQ0","CHEMBL5393","Primary active transporter","0.9573546954719907","100 /  177   "
"Receptor-type tyrosine-protein phosphatase S","PTPRS","Q13332","CHEMBL2396508","Phosphatase","0.9567945259147064","6 /  8   "
"Cyclin-dependent kinase 9","CDK9","P50750","CHEMBL3116","Kinase","0.9562829405862026","16 /  11   "
"CDK8/Cyclin C","N/A","P49336&P24863","CHEMBL3038474","Kinase","0.9562829405862026","10 /  12   "
"CDK2/Cyclin A2","N/A","P24941&P20248","CHEMBL3038469","Kinase","0.9562829405862026","86 /  35   "
"Cyclin-dependent kinase 2","CDK2","P24941","CHEMBL301","Kinase","0.9562829405862026","253 /  26   "
"Pyruvate kinase PKM","PKM","P14618","CHEMBL1075189","Enzyme","0.9562829405862026","21 /  9   "
"CDK9/cyclin T1","N/A","O60563&P50750","CHEMBL2111389","Kinase","0.9562829405862026","95 /  45   "
"Lysine-specific histone demethylase 1A","KDM1A","O60341","CHEMBL6136","Eraser","0.9562829405862026","170 /  9   "
"Amyloid-beta precursor protein","APP","P05067","CHEMBL2487","Membrane receptor","0.9532317535451671","229 /  61   "
"Adenosine receptor A3","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.9511827003357037","79 /  42   "
"Cytochrome P450 1B1","CYP1B1","Q16678","CHEMBL4878","Cytochrome P450","0.9506352831816197","72 /  153   "
"Polyunsaturated fatty acid lipoxygenase ALOX12","ALOX12","P18054","CHEMBL3687","Enzyme","0.9490204893066451","87 /  14   "
"A-type voltage-gated potassium channel KCND3","KCND3","Q9UK17","CHEMBL1964","Voltage-gated ion channel","0.9487971184909196","1 /  1   "
"Inositol hexakisphosphate kinase 2","IP6K2","Q9UHH9","CHEMBL4523488","Transferase","0.9487971184909196","8 /  10   "
"Transient receptor potential cation channel subfamily V member 3","TRPV3","Q8NET8","CHEMBL5522","Voltage-gated ion channel","0.9487971184909196","4 /  1   "
"Amine oxidase [flavin-containing] B","MAOB","P27338","CHEMBL2039","Oxidoreductase","0.9487971184909196","454 /  425   "
"Potassium voltage-gated channel subfamily A member 5","KCNA5","P22460","CHEMBL4306","Voltage-gated ion channel","0.9487971184909196","12 /  29   "
"Amine oxidase [flavin-containing] A","MAOA","P21397","CHEMBL1951","Oxidoreductase","0.9487971184909196","237 /  152   "
"Alpha-synuclein","SNCA","P37840","CHEMBL6152","Unclassified protein","0.948753770103168","78 /  8   "
"17-beta-hydroxysteroid dehydrogenase type 2","HSD17B2","P37059","CHEMBL2789","Oxidoreductase","0.9418236564171439","322 /  6   "
"G protein-coupled receptor kinase 6","GRK6","P43250","CHEMBL6144","Kinase","0.9407284888986636","26 /  4   "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","0.937395966217161","474 /  143   "
"Cyclin-dependent kinase 5/CDK5 activator 1","N/A","Q00535&Q15078","CHEMBL1907600","Kinase","0.937395966217161","186 /  26   "
"Cyclin-dependent kinase 6","CDK6","Q00534","CHEMBL2508","Kinase","0.937395966217161","10 /  6   "
"Carbonic anhydrase 7","CA7","P43166","CHEMBL2326","Lyase","0.937395966217161","106 /  49   "
"Peroxisome proliferator-activated receptor gamma","PPARG","P37231","CHEMBL235","Nuclear receptor","0.937395966217161","142 /  19   "
"Proteasome Macropain subunit MB1","PSMB5","P28074","CHEMBL4662","Protease","0.937395966217161","10 /  6   "
"Carbonic anhydrase 4","CA4","P22748","CHEMBL3729","Lyase","0.937395966217161","77 /  41   "
"Carbonyl reductase [NADPH] 1","CBR1","P16152","CHEMBL5586","Oxidoreductase","0.937395966217161","20 /  3   "
"Aldo-keto reductase family 1 member B1","AKR1B1","P15121","CHEMBL1900","Oxidoreductase","0.937395966217161","153 /  25   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.937395966217161","184 /  77   "
"Cyclin-dependent kinase 1/cyclin B","N/A","P06493&P14635&Q8WWL7&O95067","CHEMBL2094127","Kinase","0.937395966217161","70 /  13   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.937395966217161","543 /  61   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","0.937395966217161","464 /  61   "
"Carbonic anhydrase 12","CA12","O43570","CHEMBL3242","Lyase","0.937395966217161","400 /  139   "
"Cyclin-dependent kinase 1/cyclin B1","N/A","P06493&P14635","CHEMBL1907602","Kinase","0.9218362452054082","76 /  19   "
"Poly [ADP-ribose] polymerase tankyrase-1","TNKS","O95271","CHEMBL6164","Transferase","0.9106777393966656","32 /  28   "
