"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Histone deacetylase 6","HDAC6","Q9UBN7","CHEMBL1865","Eraser","1.0","4905 /  46   "
"Dihydroorotate dehydrogenase (quinone), mitochondrial","DHODH","Q02127","CHEMBL1966","Oxidoreductase","1.0","1243 /  5   "
"Amine oxidase [flavin-containing] B","MAOB","P27338","CHEMBL2039","Oxidoreductase","1.0","1972 /  158   "
"GABA-A receptor; alpha-1/beta-2/gamma-2","N/A","P14867&P47870&P18507","CHEMBL2095172","Ligand-gated ion channel","1.0","91 /  1   "
"Sigma non-opioid intracellular receptor 1","SIGMAR1","Q99720","CHEMBL287","Membrane receptor","0.9713548335332808","2522 /  163   "
"Transient receptor potential cation channel subfamily M member 8","TRPM8","Q7Z2W7","CHEMBL1075319","Voltage-gated ion channel","0.901808342084648","443 /  45   "
"Polyunsaturated fatty acid 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.8561839406602733","875 /  129   "
"Sterol O-acyltransferase 1","SOAT1","P35610","CHEMBL2782","Transferase","0.7137912974645579","228 /  2   "
"Sodium-dependent serotonin transporter","SLC6A4","P31645","CHEMBL228","Electrochemical transporter","0.46656912469447603","4891 /  92   "
"5-hydroxytryptamine receptor 2A","HTR2A","P28223","CHEMBL224","Family A G protein-coupled receptor","0.45700180088221115","4929 /  212   "
"5-hydroxytryptamine receptor 1A","HTR1A","P08908","CHEMBL214","Family A G protein-coupled receptor","0.45700180088221115","4824 /  43   "
"5-hydroxytryptamine receptor 2C","HTR2C","P28335","CHEMBL225","Family A G protein-coupled receptor","0.4474660931023774","2947 /  79   "
"5-hydroxytryptamine receptor 7","HTR7","P34969","CHEMBL3155","Family A G protein-coupled receptor","0.4258255681257086","2736 /  7   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.411605741414246","3401 /  224   "
"5-hydroxytryptamine receptor 6","HTR6","P50406","CHEMBL3371","Family A G protein-coupled receptor","0.3939144134768112","3569 /  11   "
"Cholinesterase","BCHE","P06276","CHEMBL1914","Hydrolase","0.32854168029244313","1945 /  146   "
"D(2) dopamine receptor","DRD2","P14416","CHEMBL217","Family A G protein-coupled receptor","0.29426433772354504","7225 /  294   "
"D(3) dopamine receptor","DRD3","P35462","CHEMBL234","Family A G protein-coupled receptor","0.27853241443267357","4918 /  289   "
"C-C chemokine receptor type 2","CCR2","P41597","CHEMBL4015","Family A G protein-coupled receptor","0.2229472408853583","1441 /  83   "
"Amine oxidase [flavin-containing] A","MAOA","P21397","CHEMBL1951","Oxidoreductase","0.2029895156043611","1019 /  36   "
"Epidermal growth factor receptor","EGFR","P00533","CHEMBL203","Kinase","0.18293014609274472","7498 /  84   "
"Dynamin-1","DNM1","Q05193","CHEMBL4958","Hydrolase","0.17097662145298426","23 /  17   "
"Glutamate NMDA receptor; GRIN1/GRIN2A","N/A","Q05586&Q12879","CHEMBL1907604","Ligand-gated ion channel","0.16865117335570354","81 /  5   "
"T1R1/T1R3","N/A","Q7RTX0&Q7RTX1","CHEMBL3832641","Family C G protein-coupled receptor","0.16325413254533458","113 /  37   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.1557903006758526","1835 /  62   "
"Platelet-activating factor receptor","PTAFR","P25105","CHEMBL250","Family A G protein-coupled receptor","0.1461371131540726","204 /  55   "
"ATP-dependent translocase ABCB1","ABCB1","P08183","CHEMBL4302","Primary active transporter","0.12289556804069425","1332 /  101   "
"Amyloid-beta precursor protein","APP","P05067","CHEMBL2487","Membrane receptor","0.11871480546860619","768 /  126   "
