"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Carbonic anhydrase 5B, mitochondrial","CA5B","Q9Y2D0","CHEMBL3969","Lyase","1.0","17 /  16   "
"Carbonic anhydrase 14","CA14","Q9ULX7","CHEMBL3510","Lyase","1.0","70 /  28   "
"Histone deacetylase 6","HDAC6","Q9UBN7","CHEMBL1865","Eraser","1.0","69 /  20   "
"Carbonic anhydrase 13","CA13","Q8N1Q1","CHEMBL3912","Lyase","1.0","15 /  3   "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","1.0","280 /  37   "
"Cytochrome P450 1B1","CYP1B1","Q16678","CHEMBL4878","Cytochrome P450","1.0","62 /  67   "
"Nuclear factor erythroid 2-related factor 2","NFE2L2","Q16236","CHEMBL1075094","Transcription factor","1.0","8 /  58   "
"Carbonic anhydrase 7","CA7","P43166","CHEMBL2326","Lyase","1.0","85 /  29   "
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit beta isoform","PIK3CB","P42338","CHEMBL3145","Transferase","1.0","36 /  1   "
"Phosphatidylinositol 4,5-bisphosphate 3-kinase catalytic subunit alpha isoform","PIK3CA","P42336","CHEMBL4005","Transferase","1.0","143 /  2   "
"Receptor-type tyrosine-protein kinase FLT3","FLT3","P36888","CHEMBL1974","Kinase","1.0","64 /  1   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","1.0","134 /  73   "
"Carbonic anhydrase 5A, mitochondrial","CA5A","P35218","CHEMBL4789","Lyase","1.0","28 /  18   "
"Cytochrome P450 2C19","CYP2C19","P33261","CHEMBL3622","Cytochrome P450","1.0","7 /  4   "
"Dipeptidyl peptidase 4","DPP4","P27487","CHEMBL284","Protease","1.0","24 /  7   "
"Amine oxidase [flavin-containing] B","MAOB","P27338","CHEMBL2039","Oxidoreductase","1.0","264 /  128   "
"Sodium-dependent noradrenaline transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","1.0","14 /  8   "
"Carbonic anhydrase 6","CA6","P23280","CHEMBL3025","Lyase","1.0","31 /  20   "
"Prostaglandin G/H synthase 1","PTGS1","P23219","CHEMBL221","Oxidoreductase","1.0","57 /  34   "
"Carbonic anhydrase 4","CA4","P22748","CHEMBL3729","Lyase","1.0","54 /  9   "
