"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Alpha-synuclein","SNCA","P37840","CHEMBL6152","Unclassified protein","1.0","70 /  18   "
"17-beta-hydroxysteroid dehydrogenase type 2","HSD17B2","P37059","CHEMBL2789","Oxidoreductase","1.0","77 /  11   "
"Ectonucleotide pyrophosphatase/phosphodiesterase family member 1","ENPP1","P22413","CHEMBL5925","Enzyme","1.0","34 /  1   "
"Aldo-keto reductase family 1 member B1","AKR1B1","P15121","CHEMBL1900","Oxidoreductase","1.0","78 /  27   "
"Tyrosine-protein kinase Fyn","FYN","P06241","CHEMBL1841","Kinase","1.0","14 /  7   "
"Interstitial collagenase","MMP1","P03956","CHEMBL332","Protease","1.0","39 /  19   "
"Transthyretin","TTR","P02766","CHEMBL3194","Secreted protein","1.0","34 /  11   "
"Macrophage metalloelastase","MMP12","P39900","CHEMBL4393","Protease","0.9866840843050415","14 /  8   "
"Matrix metalloproteinase-9","MMP9","P14780","CHEMBL321","Protease","0.9866840843050415","46 /  16   "
"72 kDa type IV collagenase","MMP2","P08253","CHEMBL333","Protease","0.9866840843050415","76 /  17   "
"Carbonic anhydrase 7","CA7","P43166","CHEMBL2326","Lyase","0.9578419893016709","76 /  36   "
"Carbonic anhydrase 4","CA4","P22748","CHEMBL3729","Lyase","0.9578419893016709","40 /  23   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.9578419893016709","198 /  56   "
"Carbonic anhydrase 12","CA12","O43570","CHEMBL3242","Lyase","0.9578419893016709","192 /  60   "
"Stromelysin-1","MMP3","P08254","CHEMBL283","Protease","0.5986674229416027","7 /  4   "
"Estrogen receptor","ESR1","P03372","CHEMBL206","Nuclear receptor","0.5334318150004076","309 /  288   "
"Polyunsaturated fatty acid 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.5305484587909076","92 /  114   "
"Amyloid-beta precursor protein","APP","P05067","CHEMBL2487","Membrane receptor","0.526219657744886","63 /  90   "
"Epidermal growth factor receptor","EGFR","P00533","CHEMBL203","Kinase","0.49873918313439664","140 /  50   "
"Collagenase 3","MMP13","P45452","CHEMBL280","Protease","0.4812838413303935","7 /  6   "
"Tyrosine-protein kinase Lck","LCK","P06239","CHEMBL258","Kinase","0.4683816612988711","39 /  25   "
"Prostaglandin G/H synthase 1","PTGS1","P23219","CHEMBL221","Oxidoreductase","0.4311419438791735","28 /  82   "
"Bifunctional epoxide hydrolase 2","EPHX2","P34913","CHEMBL2409","Protease","0.4070280891896652","9 /  10   "
"Aldo-keto reductase family 1 member B10","AKR1B10","O60218","CHEMBL5983","Oxidoreductase","0.40438868972143294","20 /  19   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","0.39074068249786903","169 /  63   "
"Polyunsaturated fatty acid lipoxygenase ALOX15","ALOX15","P16050","CHEMBL2903","Oxidoreductase","0.38914525429520064","47 /  17   "
"Carbonic anhydrase 14","CA14","Q9ULX7","CHEMBL3510","Lyase","0.3770463064572509","73 /  26   "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","0.3770463064572509","205 /  69   "
"Aldo-keto reductase family 1 member C3","AKR1C3","P42330","CHEMBL4681","Oxidoreductase","0.35666310382939376","17 /  77   "
"Receptor tyrosine-protein kinase erbB-2","ERBB2","P04626","CHEMBL1824","Kinase","0.34348971309873355","29 /  4   "
"Carbonic anhydrase 5B, mitochondrial","CA5B","Q9Y2D0","CHEMBL3969","Lyase","0.33590260580716336","12 /  19   "
"Carbonic anhydrase 5A, mitochondrial","CA5A","P35218","CHEMBL4789","Lyase","0.33590260580716336","21 /  24   "
"Carbonic anhydrase 6","CA6","P23280","CHEMBL3025","Lyase","0.33590260580716336","21 /  19   "
"Hepatocyte growth factor receptor","MET","P08581","CHEMBL3717","Kinase","0.32150414383342407","98 /  32   "
"Sodium-dependent noradrenaline transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.22775454765296343","10 /  18   "
"Mitogen-activated protein kinase 1","MAPK1","P28482","CHEMBL4040","Kinase","0.21970995842078378","12 /  2   "
"Aldo-keto reductase family 1 member C2","AKR1C2","P52895","CHEMBL5847","Oxidoreductase","0.2061282400652348","3 /  8   "
"Aldo-keto reductase family 1 member C4","AKR1C4","P17516","CHEMBL4999","Oxidoreductase","0.2061282400652348","2 /  1   "
