"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.8454220799377141","1522 /  395   "
"Ubiquitin-conjugating enzyme E2 D3","UBE2D3","P61077","CHEMBL4105911","Transferase","0.8393695240721435","5 /  4   "
"NACHT, LRR and PYD domains-containing protein 3","NLRP3","Q96P20","CHEMBL1741208","Unclassified protein","0.8056137416729648","398 /  39   "
"Pyruvate kinase PKM","PKM","P14618","CHEMBL1075189","Enzyme","0.7980171529536884","111 /  5   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.7909498412780147","2098 /  23   "
"Mineralocorticoid receptor","NR3C2","P08235","CHEMBL1994","Nuclear receptor","0.7754233696892584","564 /  39   "
"Glucocorticoid receptor","NR3C1","P04150","CHEMBL2034","Nuclear receptor","0.7554023273990482","2061 /  100   "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Transferase","0.7442224687638532","222 /  6   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.6908532181459085","2905 /  23   "
"Vascular endothelial growth factor receptor 2","KDR","P35968","CHEMBL279","Kinase","0.6752060048632039","4578 /  4   "
"Sodium-dependent dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","0.6423161778330865","2829 /  24   "
"Androgen receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.6389374890684095","1449 /  131   "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.6332298599770758","2600 /  1   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.6331037989881652","508 /  104   "
"Toll-like receptor 9","TLR9","Q9NR96","CHEMBL5804","Toll-like and Il-1 receptors","0.6049583526774966","1545 /  2   "
"Steroid 17-alpha-hydroxylase/17,20 lyase","CYP17A1","P05093","CHEMBL3522","Cytochrome P450","0.5925155124587543","452 /  50   "
"Progesterone receptor","PGR","P06401","CHEMBL208","Nuclear receptor","0.5864851674061194","1068 /  64   "
"Sodium-dependent noradrenaline transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.5818676994408384","3103 /  2   "
"TGF-beta receptor type-1","TGFBR1","P36897","CHEMBL4439","Kinase","0.5785103471842808","1888 /  1   "
"3-hydroxy-3-methylglutaryl-coenzyme A reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.5703396760039287","121 /  24   "
"Phospholipase A2, membrane associated","PLA2G2A","P14555","CHEMBL3474","Hydrolase","0.551079007147459","88 /  11   "
"Cocaine esterase","CES2","O00748","CHEMBL3180","Hydrolase","0.5352625537961567","90 /  21   "
"Serine protease 1","PRSS1","P07477","CHEMBL209","Protease","0.5302639964817591","391 /  9   "
"Prothrombin","F2","P00734","CHEMBL204","Protease","0.5302639964817591","1939 /  15   "
"Tumor necrosis factor","TNF","P01375","CHEMBL1825","Secreted protein","0.5234542270664615","1027 /  9   "
