"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Amine oxidase [flavin-containing] A","MAOA","P21397","CHEMBL1951","Oxidoreductase","0.08827742278240011","551 /  84   "
"Tyrosinase","TYR","P14679","CHEMBL1973","Oxidoreductase","0.06860905772128648","15 /  29   "
"Maltase-glucoamylase","MGAM","O43451","CHEMBL2074","Hydrolase","0.05598817099194551","89 /  5   "
"Cytochrome P450 1A1","CYP1A1","P04798","CHEMBL2231","Cytochrome P450","0.0555600528688439","51 /  10   "
"Macrophage colony-stimulating factor 1 receptor","CSF1R","P07333","CHEMBL1844","Kinase","0.0534788312923545","778 /  13   "
"Cytochrome P450 1B1","CYP1B1","Q16678","CHEMBL4878","Cytochrome P450","0.04935859761505787","164 /  90   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.045577538355554226","1095 /  5   "
"Amine oxidase [flavin-containing] B","MAOB","P27338","CHEMBL2039","Oxidoreductase","0.037081876241624644","1310 /  215   "
"Epidermal growth factor receptor","EGFR","P00533","CHEMBL203","Kinase","0.033349282901875006","3033 /  16   "
"Potassium voltage-gated channel subfamily A member 3","KCNA3","P22001","CHEMBL4633","Voltage-gated ion channel","0.03325344017866102","152 /  56   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.032740915100544554","1264 /  140   "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","0.029196454630881274","1514 /  65   "
"Carbonic anhydrase 7","CA7","P43166","CHEMBL2326","Lyase","0.029196454630881274","395 /  16   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.029196454630881274","2092 /  14   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","0.029196454630881274","1755 /  20   "
"Carbonic anhydrase 12","CA12","O43570","CHEMBL3242","Lyase","0.029196454630881274","1243 /  61   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 1A","DYRK1A","Q13627","CHEMBL2292","Kinase","0.02778496534246346","1050 /  14   "
"Dual specificity protein kinase CLK1","CLK1","P49759","CHEMBL4224","Kinase","0.025197044656942388","356 /  13   "
"Cyclin-dependent kinase 5/CDK5 activator 1","N/A","Q00535&Q15078","CHEMBL1907600","Kinase","0.025155497931136358","426 /  19   "
"Aurora kinase A","AURKA","O14965","CHEMBL4722","Kinase","0.02364418018679425","919 /  7   "
"Androgen receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.023434906124931706","447 /  26   "
"Toll-like receptor 9","TLR9","Q9NR96","CHEMBL5804","Toll-like and Il-1 receptors","0.02296836029463852","137 /  1   "
"Carbonic anhydrase 13","CA13","Q8N1Q1","CHEMBL3912","Lyase","0.017917012354081188","118 /  7   "
"Telomerase reverse transcriptase","TERT","O14746","CHEMBL2916","Transferase","0.01778157536705756","127 /  17   "
"Broad substrate specificity ATP-binding cassette transporter ABCG2","ABCG2","Q9UNQ0","CHEMBL5393","Primary active transporter","0.017291830551685768","355 /  53   "
"Vascular endothelial growth factor receptor 2","KDR","P35968","CHEMBL279","Kinase","0.016815806450837075","2694 /  21   "
"Dual specificity protein kinase CLK4","CLK4","Q9HAZ1","CHEMBL4203","Kinase","0.016064937852165385","199 /  7   "
"Dual specificity protein kinase CLK2","CLK2","P49760","CHEMBL4225","Kinase","0.016064937852165385","416 /  8   "
"Lysine-specific histone demethylase 1A","KDM1A","O60341","CHEMBL6136","Eraser","0.01605284392774","494 /  8   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.01578822327287839","613 /  69   "
"Cyclin-dependent kinase 5","CDK5","Q00535","CHEMBL4036","Kinase","0.015009874081284668","61 /  2   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 1B","DYRK1B","Q9Y463","CHEMBL5543","Kinase","0.014917847037137172","292 /  6   "
"Dual specificity tyrosine-phosphorylation-regulated kinase 2","DYRK2","Q92630","CHEMBL4376","Kinase","0.014917847037137172","176 /  3   "
"Dual specificity protein kinase CLK3","CLK3","P49761","CHEMBL4226","Kinase","0.014605187535392687","282 /  6   "
"Cathepsin L2","CTSV","O60911","CHEMBL3272","Protease","0.014586205592122838","30 /  6   "
"CDK2/Cyclin A2","N/A","P24941&P20248","CHEMBL3038469","Kinase","0.0145170828015726","249 /  7   "
"CDK9/cyclin T1","N/A","O60563&P50750","CHEMBL2111389","Kinase","0.0145170828015726","862 /  8   "
"DNA-dependent protein kinase catalytic subunit","PRKDC","P78527","CHEMBL3142","Kinase","0.01397703935467552","642 /  39   "
"Carbonic anhydrase 5A, mitochondrial","CA5A","P35218","CHEMBL4789","Lyase","0.013875496171540849","174 /  3   "
"Mannose-6-phosphate isomerase","MPI","P34949","CHEMBL2758","Isomerase","0.013783623263603582","34 /  1   "
"Carbonic anhydrase 14","CA14","Q9ULX7","CHEMBL3510","Lyase","0.013729178137672644","245 /  6   "
"Cytochrome P450 11B2, mitochondrial","CYP11B2","P19099","CHEMBL2722","Cytochrome P450","0.01340592178960182","523 /  38   "
"Cytochrome P450 11B1, mitochondrial","CYP11B1","P15538","CHEMBL1908","Cytochrome P450","0.01340592178960182","415 /  39   "
"Cyclin-dependent kinase 2","CDK2","P24941","CHEMBL301","Kinase","0.013266265689825033","518 /  4   "
"Adenosine receptor A3","ADORA3","P0DMS8","CHEMBL256","Family A G protein-coupled receptor","0.012342357386513783","2034 /  15   "
"Induced myeloid leukemia cell differentiation protein Mcl-1","MCL1","Q07820","CHEMBL4361","Other cytosolic protein","0.01191687342090296","726 /  17   "
"Peroxisome proliferator-activated receptor gamma","PPARG","P37231","CHEMBL235","Nuclear receptor","0.011701005137835395","1248 /  11   "
"3',5'-cyclic-AMP phosphodiesterase 4B","PDE4B","Q07343","CHEMBL275","Phosphodiesterase","0.010775483648885224","948 /  14   "
"5-hydroxytryptamine receptor 7","HTR7","P34969","CHEMBL3155","Family A G protein-coupled receptor","0.010727472920256246","916 /  3   "
"5-hydroxytryptamine receptor 1A","HTR1A","P08908","CHEMBL214","Family A G protein-coupled receptor","0.010727472920256246","2064 /  25   "
"Rho-associated protein kinase 2","ROCK2","O75116","CHEMBL2973","Kinase","0.010717979281719494","1820 /  46   "
"cAMP and cAMP-inhibited cGMP 3',5'-cyclic phosphodiesterase 10A","PDE10A","Q9Y233","CHEMBL4409","Phosphodiesterase","0.010636988080503283","2581 /  17   "
"Ubiquitin carboxyl-terminal hydrolase 8","USP8","P40818","CHEMBL2157854","Protease","0.01026312038531265","12 /  4   "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.010136675205339207","154 /  23   "
"Polyunsaturated fatty acid 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.010062494448882542","574 /  22   "
"Neutrophil elastase","ELANE","P08246","CHEMBL248","Protease","0.009844054760522053","291 /  12   "
"Cyclin-dependent kinase 9","CDK9","P50750","CHEMBL3116","Kinase","0.009799903833314085","429 /  3   "
"Ribosyldihydronicotinamide dehydrogenase [quinone]","NQO2","P16083","CHEMBL3959","Oxidoreductase","0.00970932910384212","161 /  16   "
"Carbonic anhydrase 6","CA6","P23280","CHEMBL3025","Lyase","0.009566378824582335","132 /  2   "
"Carbonic anhydrase 4","CA4","P22748","CHEMBL3729","Lyase","0.009566378824582335","382 /  7   "
"Melatonin receptor type 1A","MTNR1A","P48039","CHEMBL1945","Family A G protein-coupled receptor","0.009422834775360973","804 /  8   "
"Mast/stem cell growth factor receptor Kit","KIT","P10721","CHEMBL1936","Kinase","0.009383569500788997","513 /  2   "
"Transthyretin","TTR","P02766","CHEMBL3194","Secreted protein","0.009029495395763787","66 /  1   "
"Cytochrome P450 1A2","CYP1A2","P05177","CHEMBL3356","Cytochrome P450","0.008893906661235188","45 /  4   "
"Pyruvate kinase PKM","PKM","P14618","CHEMBL1075189","Enzyme","0.00867022192843588","38 /  2   "
"Melatonin receptor type 1B","MTNR1B","P49286","CHEMBL1946","Family A G protein-coupled receptor","0.008561371697113008","747 /  3   "
"CDK8/Cyclin C","N/A","P49336&P24863","CHEMBL3038474","Kinase","0.008532726418488134","295 /  3   "
"Transient receptor potential cation channel subfamily A member 1","TRPA1","O75762","CHEMBL6007","Voltage-gated ion channel","0.008357311320872047","168 /  2   "
"Tryptophan 2,3-dioxygenase","TDO2","P48775","CHEMBL2140","Oxidoreductase","0.008332218508950625","276 /  5   "
"Indoleamine 2,3-dioxygenase 1","IDO1","P14902","CHEMBL4685","Oxidoreductase","0.008332218508950625","956 /  3   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.008287498526387936","2586 /  8   "
"Aldehyde dehydrogenase 1A1","ALDH1A1","P00352","CHEMBL3577","Oxidoreductase","0.008264215341764065","69 /  1   "
"Poly [ADP-ribose] polymerase tankyrase-1","TNKS","O95271","CHEMBL6164","Transferase","0.00809732766283517","291 /  2   "
"Steroid 17-alpha-hydroxylase/17,20 lyase","CYP17A1","P05093","CHEMBL3522","Cytochrome P450","0.008040158346948382","137 /  3   "
"Poly [ADP-ribose] polymerase tankyrase-2","TNKS2","Q9H2K2","CHEMBL6154","Transferase","0.007862867909278074","267 /  1   "
"Transcription factor p65","RELA","Q04206","CHEMBL5533","Transcription factor","0.007679114288126608","31 /  1   "
"Serine/threonine-protein kinase pim-1","PIM1","P11309","CHEMBL2147","Kinase","0.007549230411832776","1961 /  9   "
"Cholinesterase","BCHE","P06276","CHEMBL1914","Hydrolase","0.00708929846584454","566 /  51   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.0070532195972442405","454 /  3   "
"Amyloid-beta precursor protein","APP","P05067","CHEMBL2487","Membrane receptor","0.006796815876794854","399 /  19   "
"D(2) dopamine receptor","DRD2","P14416","CHEMBL217","Family A G protein-coupled receptor","0.006773176659059351","2104 /  24   "
"DNA topoisomerase 1","TOP1","P11387","CHEMBL1781","Isomerase","0.006651399113724395","111 /  1   "
"Aurora kinase B","AURKB","Q96GD4","CHEMBL2185","Kinase","0.006501929573137689","553 /  5   "
"5-hydroxytryptamine receptor 6","HTR6","P50406","CHEMBL3371","Family A G protein-coupled receptor","0.006492590076017144","1381 /  3   "
"Proto-oncogene tyrosine-protein kinase Src","SRC","P12931","CHEMBL267","Kinase","0.006457791414064373","775 /  3   "
"Glycogen synthase kinase-3 beta","GSK3B","P49841","CHEMBL262","Kinase","0.006398597682592684","1237 /  9   "
"Cyclin-dependent kinase 1/cyclin B1","N/A","P06493&P14635","CHEMBL1907602","Kinase","0.006349244396788417","142 /  8   "
"Receptor-type tyrosine-protein kinase FLT3","FLT3","P36888","CHEMBL1974","Kinase","0.006269225154645045","843 /  8   "
"Carbonic anhydrase 5B, mitochondrial","CA5B","Q9Y2D0","CHEMBL3969","Lyase","0.006221703860035984","178 /  4   "
"Myeloperoxidase","MPO","P05164","CHEMBL2439","Oxidoreductase","0.0062089350943171214","368 /  2   "
"Methionine aminopeptidase 2","METAP2","P50579","CHEMBL3922","Protease","0.006201759079486891","347 /  2   "
"Rho-associated protein kinase 1","ROCK1","Q13464","CHEMBL3231","Kinase","0.006178198106382375","877 /  28   "
"Serine/threonine-protein kinase pim-3","PIM3","Q86V86","CHEMBL5407","Kinase","0.006135093487111777","581 /  3   "
"Cannabinoid receptor 2","CNR2","P34972","CHEMBL253","Family A G protein-coupled receptor","0.005897118245881049","1302 /  4   "
"Estrogen receptor","ESR1","P03372","CHEMBL206","Nuclear receptor","0.005790371203455346","304 /  15   "
"D(1A) dopamine receptor","DRD1","P21728","CHEMBL2056","Family A G protein-coupled receptor","0.0056260943518874635","419 /  10   "
"Protein mono-ADP-ribosyltransferase PARP10","PARP10","Q53GL7","CHEMBL2429708","Transferase","0.005608066039074179","79 /  0   "
"Protein mono-ADP-ribosyltransferase PARP15","PARP15","Q460N3","CHEMBL2176778","Transferase","0.005608066039074179","44 /  0   "
"5-hydroxytryptamine receptor 2A","HTR2A","P28223","CHEMBL224","Family A G protein-coupled receptor","0.005508161709372982","1563 /  14   "
"Tyrosine-protein kinase Lck","LCK","P06239","CHEMBL258","Kinase","0.005476469011238267","391 /  5   "
