"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Transient receptor potential cation channel subfamily A member 1","TRPA1","O75762","CHEMBL6007","Voltage-gated ion channel","1.0","11 /  24   "
"Prostaglandin G/H synthase 1","PTGS1","P23219","CHEMBL221","Oxidoreductase","0.9124913884905529","86 /  44   "
"Macrophage migration inhibitory factor","MIF","P14174","CHEMBL2085","Enzyme","0.7900434032923768","75 /  10   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 3","ATP2A3","Q93084","CHEMBL2401","Primary active transporter","0.7880916142379405","3 /  1   "
"Sarcoplasmic/endoplasmic reticulum calcium ATPase 2","ATP2A2","P16615","CHEMBL3901","Primary active transporter","0.7880916142379405","3 /  1   "
"GABA-A receptor; alpha-1/beta-2/gamma-2","N/A","P14867&P47870&P18507","CHEMBL2095172","Ligand-gated ion channel","0.7229274687045911","12 /  4   "
"Transient receptor potential cation channel subfamily V member 1","TRPV1","Q8NER1","CHEMBL4794","Voltage-gated ion channel","0.606547137654771","65 /  11   "
"5-hydroxytryptamine receptor 2B","HTR2B","P41595","CHEMBL1833","Family A G protein-coupled receptor","0.5900361817942198","60 /  15   "
"5-hydroxytryptamine receptor 2C","HTR2C","P28335","CHEMBL225","Family A G protein-coupled receptor","0.5900361817942198","49 /  29   "
"Sodium-dependent noradrenaline transporter","SLC6A2","P23975","CHEMBL222","Electrochemical transporter","0.5900361817942198","33 /  74   "
"GABA-A receptor; alpha-1/beta-3/gamma-2","N/A","P14867&P18507&P28472","CHEMBL2094121","Ligand-gated ion channel","0.5900361817942198","2 /  1   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.5186331909422317","233 /  98   "
"Tyrosinase","TYR","P14679","CHEMBL1973","Oxidoreductase","0.4804358588907928","48 /  17   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.44720959785464515","113 /  68   "
"Estrogen receptor","ESR1","P03372","CHEMBL206","Nuclear receptor","0.4241078447046483","811 /  207   "
"Estrogen receptor beta","ESR2","Q92731","CHEMBL242","Nuclear receptor","0.41812612913210623","668 /  218   "
"Polyunsaturated fatty acid 5-lipoxygenase","ALOX5","P09917","CHEMBL215","Oxidoreductase","0.4038960229914262","378 /  129   "
"Cannabinoid receptor 1","CNR1","P21554","CHEMBL218","Family A G protein-coupled receptor","0.3629819121825844","233 /  84   "
"5-hydroxytryptamine receptor 6","HTR6","P50406","CHEMBL3371","Family A G protein-coupled receptor","0.332136089848844","18 /  5   "
"Androgen receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.3256370267464263","213 /  34   "
"Carbonic anhydrase 4","CA4","P22748","CHEMBL3729","Lyase","0.3213637710028655","32 /  10   "
"Eukaryotic elongation factor 2 kinase","EEF2K","O00418","CHEMBL5026","Kinase","0.314051620657412","3 /  2   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.28923977599064793","147 /  54   "
"Sodium-dependent dopamine transporter","SLC6A3","Q01959","CHEMBL238","Electrochemical transporter","0.2864371682394568","29 /  72   "
"D(3) dopamine receptor","DRD3","P35462","CHEMBL234","Family A G protein-coupled receptor","0.2864371682394568","82 /  77   "
"D(1A) dopamine receptor","DRD1","P21728","CHEMBL2056","Family A G protein-coupled receptor","0.2864371682394568","115 /  75   "
"D(2) dopamine receptor","DRD2","P14416","CHEMBL217","Family A G protein-coupled receptor","0.2864371682394568","145 /  115   "
"Insulin-like growth factor 1 receptor","IGF1R","P08069","CHEMBL1957","Kinase","0.2853827116463773","27 /  16   "
"Cannabinoid receptor 2","CNR2","P34972","CHEMBL253","Family A G protein-coupled receptor","0.27774382652480284","278 /  146   "
"G-protein coupled receptor 55","GPR55","Q9Y2T6","CHEMBL1075322","Family A G protein-coupled receptor","0.272065282941307","8 /  3   "
"Histone deacetylase 6","HDAC6","Q9UBN7","CHEMBL1865","Eraser","0.26715791813561307","47 /  19   "
"Microtubule-associated protein tau","MAPT","P10636","CHEMBL1293224","Other cytosolic protein","0.25474208027994044","30 /  2   "
"Estrogen-related receptor gamma","ESRRG","P62508","CHEMBL4245","Nuclear receptor","0.24772606512639314","42 /  11   "
"Serine/threonine-protein kinase PLK1","PLK1","P53350","CHEMBL3024","Kinase","0.24151224586331338","23 /  1   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.23348427105606617","93 /  6   "
"Kappa-type opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.2308798887960634","186 /  121   "
"Delta-type opioid receptor","OPRD1","P41143","CHEMBL236","Family A G protein-coupled receptor","0.2308798887960634","205 /  101   "
"Mu-type opioid receptor","OPRM1","P35372","CHEMBL233","Family A G protein-coupled receptor","0.2308798887960634","229 /  126   "
"Indoleamine 2,3-dioxygenase 1","IDO1","P14902","CHEMBL4685","Oxidoreductase","0.23000021377120244","121 /  24   "
"5-hydroxytryptamine receptor 2A","HTR2A","P28223","CHEMBL224","Family A G protein-coupled receptor","0.2292331571417293","45 /  71   "
"Vascular endothelial growth factor receptor 2","KDR","P35968","CHEMBL279","Kinase","0.2200433308411546","289 /  5   "
"Histone deacetylase 8","HDAC8","Q9BY41","CHEMBL3192","Eraser","0.21901747497449744","39 /  17   "
