"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"3',5'-cyclic-AMP phosphodiesterase 4D","PDE4D","Q08499","CHEMBL288","Phosphodiesterase","0.9479773529413187","0 /  7   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.9479773529413187","0 /  89   "
"Tyrosine-protein phosphatase non-receptor type 2","PTPN2","P17706","CHEMBL3807","Phosphatase","0.9479773529413187","0 /  14   "
"Pancreatic triacylglycerol lipase","PNLIP","P16233","CHEMBL1812","Hydrolase","0.9479773529413187","0 /  4   "
"Tissue factor","F3","P13726","CHEMBL4081","Surface antigen","0.9479773529413187","0 /  4   "
"Aldo-keto reductase family 1 member B10","AKR1B10","O60218","CHEMBL5983","Oxidoreductase","0.9145614805317158","0 /  4   "
"CD81 antigen","CD81","P60033","CHEMBL1075180","Surface antigen","0.8659872689226429","0 /  3   "
"Replication protein A 70 kDa DNA-binding subunit","RPA1","P27694","CHEMBL1764940","Unclassified protein","0.6215139329635269","0 /  1   "
"Sentrin-specific protease 1","SENP1","Q9P0U3","CHEMBL1909484","Protease","0.5204421522796601","0 /  3   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.5204421522796601","0 /  16   "
"Nitric oxide synthase, inducible","NOS2","P35228","CHEMBL4481","Enzyme","0.5204421522796601","0 /  7   "
"M-phase inducer phosphatase 1","CDC25A","P30304","CHEMBL3775","Phosphatase","0.4860596714677727","0 /  22   "
"Cocaine esterase","CES2","O00748","CHEMBL3180","Hydrolase","0.44831114061120725","0 /  23   "
"Peroxisome proliferator-activated receptor alpha","PPARA","Q07869","CHEMBL239","Nuclear receptor","0.4071854600605972","0 /  23   "
"Peroxisome proliferator-activated receptor delta","PPARD","Q03181","CHEMBL3979","Nuclear receptor","0.4071854600605972","0 /  15   "
"Fatty acid-binding protein 5","FABP5","Q01469","CHEMBL3674","Fatty acid binding protein family","0.4071854600605972","0 /  2   "
"ATP-citrate synthase","ACLY","P53396","CHEMBL3720","Transferase","0.4071854600605972","0 /  5   "
