"Target","Common name","Uniprot ID","ChEMBL ID","Target Class","Probability*","Known actives (3D/2D)"
"Androgen receptor","AR","P10275","CHEMBL1871","Nuclear receptor","0.9647503673722938","1698 /  64   "
"Aromatase","CYP19A1","P11511","CHEMBL1978","Cytochrome P450","0.9552789228285993","1425 /  151   "
"3-hydroxy-3-methylglutaryl-coenzyme A reductase","HMGCR","P04035","CHEMBL402","Oxidoreductase","0.9412394858668327","203 /  23   "
"M-phase inducer phosphatase 1","CDC25A","P30304","CHEMBL3775","Phosphatase","0.9358785524446236","101 /  24   "
"Coagulation factor X","F10","P00742","CHEMBL244","Protease","0.8376431343457179","3910 /  28   "
"Tyrosine-protein phosphatase non-receptor type 1","PTPN1","P18031","CHEMBL335","Phosphatase","0.8316760572362528","819 /  66   "
"Vitamin D3 receptor","VDR","P11473","CHEMBL1977","Nuclear receptor","0.7699117895857202","315 /  11   "
"11-beta-hydroxysteroid dehydrogenase 1","HSD11B1","P28845","CHEMBL4235","Oxidoreductase","0.7477349964721397","2412 /  69   "
"NAD-dependent protein deacetylase sirtuin-2","SIRT2","Q8IXJ6","CHEMBL4462","Eraser","0.6506421070982972","444 /  1   "
"Kappa-type opioid receptor","OPRK1","P41145","CHEMBL237","Family A G protein-coupled receptor","0.634769116075176","2918 /  119   "
"11-beta-hydroxysteroid dehydrogenase type 2","HSD11B2","P80365","CHEMBL3746","Oxidoreductase","0.6252876749103654","65 /  7   "
"Ubiquitin carboxyl-terminal hydrolase 2","USP2","O75604","CHEMBL1293227","Protease","0.5835333376056218","25 /  1   "
"Protein kinase C alpha type","PRKCA","P17252","CHEMBL299","Kinase","0.5573231808733772","803 /  188   "
"Bromodomain-containing protein 4","BRD4","O60885","CHEMBL1163125","Reader","0.5367889957749713","6896 /  10   "
"Glutathione S-transferase Mu 1","GSTM1","P09488","CHEMBL2081","Transferase","0.49550755601170127","1 /  1   "
"Cytochrome P450 4A11","CYP4A11","Q02928","CHEMBL3978","Cytochrome P450","0.41460506427730837","185 /  7   "
"Mu-type opioid receptor","OPRM1","P35372","CHEMBL233","Family A G protein-coupled receptor","0.3674036925713397","3568 /  29   "
"UDP-glucuronosyltransferase 2B7","UGT2B7","P16662","CHEMBL4370","Transferase","0.32962240291921663","12 /  8   "
"M-phase inducer phosphatase 2","CDC25B","P30305","CHEMBL4804","Phosphatase","0.2626430237632925","152 /  22   "
"Bile acid receptor","NR1H4","Q96RI1","CHEMBL2047","Nuclear receptor","0.24809169164595168","1869 /  104   "
"Acetylcholinesterase","ACHE","P22303","CHEMBL220","Hydrolase","0.23918041784212177","3547 /  9   "
"Carbonic anhydrase 9","CA9","Q16790","CHEMBL3594","Lyase","0.2167751594921765","4211 /  19   "
"Carbonic anhydrase 1","CA1","P00915","CHEMBL261","Lyase","0.2167751594921765","4670 /  30   "
"Prostaglandin G/H synthase 2","PTGS2","P35354","CHEMBL230","Oxidoreductase","0.20059820834499337","2455 /  18   "
"Gamma-secretase","N/A","Q96BI3&Q9NZ42&Q8WW43&P49768&Q92542&P49810","CHEMBL2094135","Protease","0.20046686343329373","1910 /  17   "
"Serine/threonine-protein phosphatase PP1-alpha catalytic subunit","PPP1CA","P62136","CHEMBL2164","Phosphatase","0.18937005049016137","43 /  3   "
"Mitogen-activated protein kinase kinase kinase 5","MAP3K5","Q99683","CHEMBL5285","Kinase","0.18823952409120057","1002 /  3   "
"Cytochrome P450 4F2","CYP4F2","P78329","CHEMBL3379","Cytochrome P450","0.13969158350148675","161 /  4   "
"Serine/threonine-protein phosphatase","PPP5C","Q9BPW0","CHEMBL1293265","Phosphatase","0.13908988456727228","16 /  3   "
"Serine/threonine-protein phosphatase 5","PPP5C","P53041","CHEMBL3425389","Phosphatase","0.10496191295495862","6 /  5   "
"Carbonic anhydrase 2","CA2","P00918","CHEMBL205","Lyase","0.09393611322575739","5610 /  26   "
"Protein kinase C epsilon type","PRKCE","Q02156","CHEMBL3582","Kinase","0.09126613695524646","265 /  33   "
"Hypoxia-inducible factor 1-alpha","HIF1A","Q16665","CHEMBL4261","Transcription factor","0.08612235356802911","201 /  4   "
"Protein kinase C theta type","PRKCQ","Q04759","CHEMBL3920","Kinase","0.08495427362670964","846 /  15   "
"Prostaglandin E synthase","PTGES","O14684","CHEMBL5658","Isomerase","0.08416503125600908","1278 /  8   "
"17-beta-hydroxysteroid dehydrogenase type 3","HSD17B3","P37058","CHEMBL4234","Oxidoreductase","0.08229382068836606","57 /  18   "
"Prothrombin","F2","P00734","CHEMBL204","Protease","0.08089301757834845","2960 /  19   "
"Beta-secretase 1","BACE1","P56817","CHEMBL4822","Protease","0.07500406592091653","7827 /  5   "
"Serine protease 1","PRSS1","P07477","CHEMBL209","Protease","0.07034468768659073","633 /  14   "
"Prolyl endopeptidase","PREP","P48147","CHEMBL3202","Protease","0.06888373975855779","286 /  1   "
"Serine/threonine-protein phosphatase PP1-gamma catalytic subunit","PPP1CC","P36873","CHEMBL4438","Phosphatase","0.06720323306823703","4 /  6   "
"Protein phosphatase 1B","PPM1B","O75688","CHEMBL2845","Phosphatase","0.06720323306823703","3 /  4   "
"Intercellular adhesion molecule 1","ICAM1","P05362","CHEMBL3070","Adhesion","0.0646407551451731","122 /  1   "
"Chymotrypsin-C","CTRC","Q99895","CHEMBL2386","Protease","0.06319401318983797","47 /  3   "
"Serine/threonine-protein phosphatase 2A catalytic subunit alpha isoform","PPP2CA","P67775","CHEMBL4703","Phosphatase","0.05885745079201187","2 /  6   "
"Tissue factor pathway inhibitor 2","TFPI2","P48307","CHEMBL6066240","Unclassified protein","0.05885745079201187","8 /  5   "
