Rank,Compound ID,Compound Name,Vina Affinity (kcal/mol),DiffDock Confidence,Hydrogen Bonds,Hydrophobic Contacts,Validation Priority Score,Preclinical Decision,Evidence Strength
1,cynaropicrin,Cynaropicrin,-7.061,-0.63,18,2,60.5,Consider for wet-lab validation,Moderate preclinical plausibility
2,dehydrocostus_lactone,Dehydrocostus lactone,-6.715,-0.52,12,2,60.3,Consider for wet-lab validation,Moderate preclinical plausibility
3,costunolide,Costunolide,-6.324,-0.42,12,2,59.9,Review manually,Low preclinical plausibility
4,chrysin,Chrysin,-7.53,-0.99,15,3,58.9,Review manually,Low preclinical plausibility
5,imperatorin,Imperatorin,-7.262,-1.12,10,2,56.9,Review manually,Low preclinical plausibility
6,demethoxycurcumin,Demethoxycurcumin,-7.215,-1.14,19,3,56.5,Review manually,Low preclinical plausibility
7,aegeline,Aegeline,-7.318,-1.2,21,4,56.4,Review manually,Low preclinical plausibility
8,bisdemethoxycurcumin,Bisdemethoxycurcumin,-7.063,-1.1,16,5,56.4,Review manually,Low preclinical plausibility
9,conessine,Conessine,-8.076,-1.56,15,3,55.7,Review manually,Low preclinical plausibility
10,curcumin,Curcumin,-7.21,-1.4,22,3,54.3,Review manually,Low preclinical plausibility
11,skimmianine,Skimmianine,-6.544,-1.15,13,1,54.2,Review manually,Low preclinical plausibility
12,baicalein,Baicalein,-7.913,-1.75,18,2,53.6,Review manually,Low preclinical plausibility
13,baicalin,Baicalin,-7.993,-1.82,22,4,53.2,Review manually,Low preclinical plausibility
14,oroxylin_a,Oroxylin A,-7.814,-1.76,16,2,53.1,Review manually,Low preclinical plausibility
15,boeravinone_b,Boeravinone B,-8.228,-1.98,17,2,52.6,Review manually,Low preclinical plausibility
16,magnoflorine,Magnoflorine,-7.997,-1.91,18,3,52.5,Review manually,Low preclinical plausibility
17,rosmarinic_acid,Rosmarinic acid,-7.939,-2.67,26,1,51.5,Review manually,Low preclinical plausibility
18,eugenol,Eugenol,-5.266,-1.0,16,1,51.4,Review manually,Low preclinical plausibility
19,ursolic_acid,Ursolic acid,-7.561,-2.73,16,3,50.2,Review manually,Low preclinical plausibility
20,nimbolide,Nimbolide,-7.529,-2.43,18,3,50.1,Review manually,Low preclinical plausibility
21,liriodendrin,Liriodendrin,-7.222,-2.47,19,3,49.1,Review manually,Low preclinical plausibility
22,santamarine,Santamarine,-7.036,-2.14,16,3,48.5,Review manually,Low preclinical plausibility
23,nimbin,Nimbin,-6.752,-2.05,18,3,47.5,Review manually,Low preclinical plausibility
24,azadirachtin,Azadirachtin,-6.41,-3.24,18,3,46.4,Review manually,Low preclinical plausibility
