scenario_id,organism_key,target_label,gene_symbol,target_aliases,uniprot_accession,ncbi_protein_accession,protein_sequence_fasta_path,preferred_structure_source,structure_source_id,structure_source_url,evidence_level,source_traceability_id
secondary_kuth_staphylococcus,Staphylococcus aureus,AgrA,agrA,AGRA,P0A0I7,UnknownAccession,data/prepared/targets/agra/sequence.fasta,RCSB_PDB,4G4K,https://files.rcsb.org/download/4G4K.pdb,curated_literature,UNIPROT_ACC_P0A0I7
secondary_kuth_staphylococcus,Staphylococcus aureus,Sortase A,srtA,SRTA,Q2FV99,UnknownAccession,data/prepared/targets/srta/sequence.fasta,RCSB_PDB,1T2P,https://files.rcsb.org/download/1T2P.pdb,curated_literature,UNIPROT_ACC_Q2FV99
secondary_kuth_staphylococcus,Staphylococcus aureus,PBP2a,mecA,MECA,Q9KX75,UnknownAccession,data/prepared/targets/meca/sequence.fasta,RCSB_PDB,1VQQ,https://files.rcsb.org/download/1VQQ.pdb,curated_literature,UNIPROT_ACC_Q9KX75
secondary_kuth_staphylococcus,Staphylococcus aureus,MurJ,murJ,MURJ,Q2FZF4,UnknownAccession,data/prepared/targets/murj/sequence.fasta,RCSB_PDB,structure_pending,structure_pending,curated_literature,UNIPROT_ACC_Q2FZF4
primary_kuth_pseudomonas,Pseudomonas aeruginosa,LasR,lasR,LASR,P25084,UnknownAccession,data/prepared/targets/lasr/sequence.fasta,RCSB_PDB,2UV0,https://files.rcsb.org/download/2UV0.pdb,curated_literature,UNIPROT_ACC_P25084
primary_kuth_pseudomonas,Pseudomonas aeruginosa,PqsR (MvfR),pqsR,PQSR,Q9I147,UnknownAccession,data/prepared/targets/pqsr/sequence.fasta,RCSB_PDB,4JVC,https://files.rcsb.org/download/4JVC.pdb,curated_literature,UNIPROT_ACC_Q9I147
primary_kuth_pseudomonas,Pseudomonas aeruginosa,PelD,pelD,PELD,Q9I4I8,UnknownAccession,data/prepared/targets/peld/sequence.fasta,RCSB_PDB,4Q35,https://files.rcsb.org/download/4Q35.pdb,curated_literature,UNIPROT_ACC_Q9I4I8
primary_kuth_pseudomonas,Pseudomonas aeruginosa,MexB,mexB,MEXB,Q51547,UnknownAccession,data/prepared/targets/mexb/sequence.fasta,RCSB_PDB,2V50,https://files.rcsb.org/download/2V50.pdb,curated_literature,UNIPROT_ACC_Q51547
scenario_kuth_klebsiella,Klebsiella pneumoniae,MrkH,mrkH,MRKH,A0A0H3JXK0,UnknownAccession,data/prepared/targets/mrkh/sequence.fasta,RCSB_PDB,structure_pending,structure_pending,curated_literature,UNIPROT_ACC_A0A0H3JXK0
scenario_kuth_klebsiella,Klebsiella pneumoniae,Wzc,wzc,WZC,Q8ZIN0,UnknownAccession,data/prepared/targets/wzc/sequence.fasta,RCSB_PDB,structure_pending,structure_pending,curated_literature,UNIPROT_ACC_Q8ZIN0
scenario_kuth_klebsiella,Klebsiella pneumoniae,AcrB,acrB,ACRB,Q8ZKQ2,UnknownAccession,data/prepared/targets/acrb/sequence.fasta,RCSB_PDB,5YIL,https://files.rcsb.org/download/5YIL.pdb,curated_literature,UNIPROT_ACC_Q8ZKQ2
scenario_kuth_klebsiella,Klebsiella pneumoniae,OmpK36,ompK36,OMPK36,A6T5Y8,UnknownAccession,data/prepared/targets/ompk36/sequence.fasta,RCSB_PDB,5NXA,https://files.rcsb.org/download/5NXA.pdb,curated_literature,UNIPROT_ACC_A6T5Y8
