Rank,Compound ID,Compound Name,Vina Affinity (kcal/mol),DiffDock Confidence,Hydrogen Bonds,Hydrophobic Contacts,Validation Priority Score,Preclinical Decision,Evidence Strength
1,boeravinone_b,Boeravinone B,-8.793,-0.64,19,18,66.2,Consider for wet-lab validation,Moderate preclinical plausibility
2,curcumin,Curcumin,-8.61,-0.72,19,19,64.9,Consider for wet-lab validation,Moderate preclinical plausibility
3,bisdemethoxycurcumin,Bisdemethoxycurcumin,-8.459,-0.67,18,18,64.8,Consider for wet-lab validation,Moderate preclinical plausibility
4,baicalein,Baicalein,-8.456,-0.69,16,17,64.7,Consider for wet-lab validation,Moderate preclinical plausibility
5,demethoxycurcumin,Demethoxycurcumin,-8.286,-0.76,18,17,63.4,Consider for wet-lab validation,Moderate preclinical plausibility
6,dehydrocostus_lactone,Dehydrocostus lactone,-7.907,-0.72,11,21,62.6,Consider for wet-lab validation,Moderate preclinical plausibility
7,aegeline,Aegeline,-8.34,-0.9,12,19,62.4,Consider for wet-lab validation,Moderate preclinical plausibility
8,imperatorin,Imperatorin,-7.779,-0.85,8,16,61.0,Consider for wet-lab validation,Moderate preclinical plausibility
9,conessine,Conessine,-8.822,-1.32,17,15,60.3,Consider for wet-lab validation,Moderate preclinical plausibility
10,liriodendrin,Liriodendrin,-8.374,-1.22,23,20,59.7,Review manually,Low preclinical plausibility
11,oroxylin_a,Oroxylin A,-7.87,-1.16,15,18,58.6,Review manually,Low preclinical plausibility
12,nimbolide,Nimbolide,-9.111,-1.66,17,16,58.4,Review manually,Low preclinical plausibility
13,santamarine,Santamarine,-7.239,-0.95,13,16,58.3,Review manually,Low preclinical plausibility
14,chrysin,Chrysin,-8.005,-1.27,17,13,58.1,Review manually,Low preclinical plausibility
15,costunolide,Costunolide,-7.15,-0.97,10,14,57.8,Review manually,Low preclinical plausibility
16,rosmarinic_acid,Rosmarinic acid,-7.884,-1.26,26,18,57.8,Review manually,Low preclinical plausibility
17,baicalin,Baicalin,-9.335,-2.06,24,19,56.1,Review manually,Low preclinical plausibility
18,ursolic_acid,Ursolic acid,-9.302,-2.98,17,17,56.0,Review manually,Low preclinical plausibility
19,cynaropicrin,Cynaropicrin,-8.097,-1.55,17,15,55.9,Review manually,Low preclinical plausibility
20,nimbin,Nimbin,-7.536,-1.34,20,18,55.9,Review manually,Low preclinical plausibility
21,skimmianine,Skimmianine,-6.622,-1.21,9,13,54.0,Review manually,Low preclinical plausibility
22,magnoflorine,Magnoflorine,-8.066,-1.77,11,13,53.9,Review manually,Low preclinical plausibility
23,azadirachtin,Azadirachtin,-7.808,-1.72,19,19,53.5,Review manually,Low preclinical plausibility
24,eugenol,Eugenol,-5.643,-1.11,15,20,51.6,Review manually,Low preclinical plausibility
