Rank,Compound ID,Compound Name,Vina Affinity (kcal/mol),DiffDock Confidence,Hydrogen Bonds,Hydrophobic Contacts,Validation Priority Score,Preclinical Decision,Evidence Strength
1,eugenol,Eugenol,-3.973,-0.79,9,10,48.8,Review manually,Low preclinical plausibility
2,aegeline,Aegeline,0.0,0.0,4,5,42.5,Review manually,Low preclinical plausibility
3,baicalin,Baicalin,0.0,0.0,4,5,42.5,Review manually,Low preclinical plausibility
4,bisdemethoxycurcumin,Bisdemethoxycurcumin,0.0,0.0,4,5,42.5,Review manually,Low preclinical plausibility
5,chrysin,Chrysin,0.0,0.0,4,5,42.5,Review manually,Low preclinical plausibility
6,costunolide,Costunolide,0.0,0.0,4,5,42.5,Review manually,Low preclinical plausibility
7,curcumin,Curcumin,0.0,0.0,4,5,42.5,Review manually,Low preclinical plausibility
8,dehydrocostus_lactone,Dehydrocostus lactone,0.0,0.0,4,5,42.5,Review manually,Low preclinical plausibility
9,magnoflorine,Magnoflorine,0.0,0.0,4,5,42.5,Review manually,Low preclinical plausibility
10,nimbin,Nimbin,0.0,0.0,4,5,42.5,Review manually,Low preclinical plausibility
11,nimbolide,Nimbolide,0.0,0.0,4,5,42.5,Review manually,Low preclinical plausibility
12,ursolic_acid,Ursolic acid,0.0,0.0,4,5,42.5,Review manually,Low preclinical plausibility
13,santamarine,Santamarine,2.79,-1.9,10,9,25.9,Review manually,Low preclinical plausibility
14,azadirachtin,Azadirachtin,82.696,-2.75,23,24,25.0,Review manually,Low preclinical plausibility
15,baicalein,Baicalein,6.052,-2.19,11,10,25.0,Review manually,Low preclinical plausibility
16,boeravinone_b,Boeravinone B,21.262,-3.78,18,16,25.0,Review manually,Low preclinical plausibility
17,conessine,Conessine,29.25,-3.86,4,5,25.0,Review manually,Low preclinical plausibility
18,cynaropicrin,Cynaropicrin,16.91,-3.01,11,11,25.0,Review manually,Low preclinical plausibility
19,demethoxycurcumin,Demethoxycurcumin,10.094,-3.17,17,16,25.0,Review manually,Low preclinical plausibility
20,imperatorin,Imperatorin,5.005,-2.82,12,13,25.0,Review manually,Low preclinical plausibility
21,liriodendrin,Liriodendrin,74.236,-3.01,21,15,25.0,Review manually,Low preclinical plausibility
22,oroxylin_a,Oroxylin A,9.2,-3.19,14,11,25.0,Review manually,Low preclinical plausibility
23,rosmarinic_acid,Rosmarinic acid,7.742,-2.88,18,15,25.0,Review manually,Low preclinical plausibility
24,skimmianine,Skimmianine,5.543,-2.34,14,13,25.0,Review manually,Low preclinical plausibility
