Rank,Compound ID,Compound Name,Vina Affinity (kcal/mol),DiffDock Confidence,Hydrogen Bonds,Hydrophobic Contacts,Validation Priority Score,Preclinical Decision,Evidence Strength
1,chrysin,Chrysin,-7.58,-0.37,14,9,64.6,Consider for wet-lab validation,Moderate preclinical plausibility
2,boeravinone_b,Boeravinone B,-8.029,-0.56,15,10,64.4,Consider for wet-lab validation,Moderate preclinical plausibility
3,baicalein,Baicalein,-7.562,-0.61,15,10,62.4,Consider for wet-lab validation,Moderate preclinical plausibility
4,ursolic_acid,Ursolic acid,-7.85,-0.82,15,14,61.5,Consider for wet-lab validation,Moderate preclinical plausibility
5,oroxylin_a,Oroxylin A,-7.313,-0.73,13,11,60.5,Consider for wet-lab validation,Moderate preclinical plausibility
6,rosmarinic_acid,Rosmarinic acid,-7.516,-0.93,18,11,59.5,Review manually,Low preclinical plausibility
7,conessine,Conessine,-7.834,-1.09,13,13,59.1,Review manually,Low preclinical plausibility
8,nimbolide,Nimbolide,-7.832,-1.14,16,14,58.6,Review manually,Low preclinical plausibility
9,magnoflorine,Magnoflorine,-7.822,-1.15,11,12,58.5,Review manually,Low preclinical plausibility
10,costunolide,Costunolide,-6.695,-0.81,11,9,57.7,Review manually,Low preclinical plausibility
11,cynaropicrin,Cynaropicrin,-7.618,-1.42,13,9,55.5,Review manually,Low preclinical plausibility
12,bisdemethoxycurcumin,Bisdemethoxycurcumin,-7.153,-1.33,17,12,54.7,Review manually,Low preclinical plausibility
13,baicalin,Baicalin,-7.697,-1.55,18,14,54.6,Review manually,Low preclinical plausibility
14,demethoxycurcumin,Demethoxycurcumin,-7.217,-1.43,15,11,54.1,Review manually,Low preclinical plausibility
15,eugenol,Eugenol,-5.172,-0.68,12,11,53.7,Review manually,Low preclinical plausibility
16,santamarine,Santamarine,-6.765,-1.32,13,9,53.4,Review manually,Low preclinical plausibility
17,aegeline,Aegeline,-6.935,-1.41,13,14,53.3,Review manually,Low preclinical plausibility
18,liriodendrin,Liriodendrin,-6.622,-1.57,17,12,50.9,Review manually,Low preclinical plausibility
19,imperatorin,Imperatorin,-7.055,-1.91,12,11,49.3,Review manually,Low preclinical plausibility
20,azadirachtin,Azadirachtin,-7.251,-2.05,16,14,49.2,Review manually,Low preclinical plausibility
21,nimbin,Nimbin,-7.196,-2.26,18,15,49.0,Review manually,Low preclinical plausibility
22,dehydrocostus_lactone,Dehydrocostus lactone,-6.153,-1.7,6,10,48.1,Review manually,Low preclinical plausibility
23,curcumin,Curcumin,-6.825,-2.35,17,12,47.8,Review manually,Low preclinical plausibility
24,skimmianine,Skimmianine,-6.235,-2.18,8,10,45.8,Review manually,Low preclinical plausibility
