Compound ID,Compound Name,PubChem CID,SMILES,MolWt (g/mol),LogP,TPSA (A^2),HBD,HBA,MIC (ug/mL),LC50 Cytotoxicity (uM),LC50 Cytotoxicity (ug/mL),HEK293 Viability (%),Cytotoxicity Class,HC50 Hemolysis (ug/mL),Selectivity Index (SI),Hemolytic Safety Class,Top Human Gene Target,Human UniProt ID,Human Target Name,Target Probability
curcumin,Curcumin,5281767,O=C(\C=C\c1ccc(O)c(OC)c1)CC(=O)\C=C\c2ccc(O)c(OC)c2,368.39,3.37,93.06,2,6,16.0,43.99,16.21,90.9,LOW_CYTOTOXIC,144.82,9.05,SAFE_LOW_RISK,TNF,P01375,Tumor necrosis factor alpha,0.98
costunolide,Costunolide,5281437,CC1=CCCC(=C)C2C(CC1)C(=C)C(=O)O2,218.3,3.16,26.3,0,2,24.0,105.47,23.02,95.0,NON_CYTOTOXIC,92.25,3.84,SAFE_LOW_RISK,IKBKB,O14920,Inhibitor of nuclear factor kappa-B kinase beta,0.91
nimbolide,Nimbolide,100017,CC12CCC3C(C1C=CC4C2(C(=O)C=C(O4)C5=COC=C5)O)C6C(=O)OCC6(C3=O)C,424.45,2.3,103.04,1,7,16.0,67.42,28.62,92.5,LOW_CYTOTOXIC,241.45,15.09,SAFE_HIGH_SELECTIVITY,RNF4,P78317,RING finger protein 4 (E3 Ubiquitin Ligase),0.96
berberine,Berberine,2353,COc1ccc2c(c1OC)C[N+]3=C(C2)c4cc5c(cc4C3)OCO5,324.36,2.5,39.93,0,4,12.5,125.74,40.78,96.4,NON_CYTOTOXIC,171.96,13.76,SAFE_HIGH_SELECTIVITY,PRKAA1,Q13131,5'-AMP-activated protein kinase catalytic subunit alpha-1 (AMPK),0.97
withaferin_a,Withaferin A,265237,CC1C2C(CC1C3(C(C4C(C(C3)O)C5(C(=CC(=O)C(C5)O)C)CC4)C)O)OC(=O)C(C2)C,446.58,2.63,104.06,3,6,8.0,56.25,25.12,91.8,LOW_CYTOTOXIC,226.32,28.29,SAFE_HIGH_SELECTIVITY,VIM,P08670,Vimentin,0.95
piperine,Piperine,638024,O=C(/C=C/C=C/c1ccc2c(c1)OCO2)N3CCCCC3,285.34,3.0,38.77,0,3,32.0,99.26,28.32,94.6,LOW_CYTOTOXIC,127.58,3.99,SAFE_LOW_RISK,PTGS1,P23219,Prostaglandin G/H synthase 1 (COX-1),0.82
resveratrol,Resveratrol,445154,c1cc(ccc1/C=C/c2cc(cc(c2)O)O)O,228.25,2.97,60.69,3,3,16.0,78.04,17.81,93.2,LOW_CYTOTOXIC,102.88,6.43,SAFE_LOW_RISK,PTGS1,P23219,Prostaglandin G/H synthase 1 (COX-1),0.82
eugenol,Eugenol,3314,CC=Cc1ccc(c(c1)OC)O,164.2,2.43,29.46,1,2,64.0,146.97,24.13,97.8,NON_CYTOTOXIC,89.19,1.39,SAFE_LOW_RISK,PTGS1,P23219,Prostaglandin G/H synthase 1 (COX-1),0.82
thymol,Thymol,6989,Cc1ccc(c(c1)O)C(C)C,150.22,2.82,20.23,1,1,32.0,134.14,20.15,96.9,NON_CYTOTOXIC,71.31,2.23,SAFE_LOW_RISK,PTGS1,P23219,Prostaglandin G/H synthase 1 (COX-1),0.82
carvacrol,Carvacrol,10864,Cc1ccc(c(c1)C(C)C)O,150.22,2.82,20.23,1,1,32.0,134.14,20.15,96.9,NON_CYTOTOXIC,71.31,2.23,SAFE_LOW_RISK,PTGS1,P23219,Prostaglandin G/H synthase 1 (COX-1),0.82
ursolic_acid,Ursolic acid,64945,CC1CCC2(CCC3(C(=CCC4C3(CCC5C4(CCC(C5(C)C)O)C)C)C2C1C)C)C(=O)O,456.71,7.09,57.53,2,2,16.0,10.06,4.59,88.7,LOW_CYTOTOXIC,49.69,3.11,SAFE_LOW_RISK,PTGS1,P23219,Prostaglandin G/H synthase 1 (COX-1),0.82
baicalein,Baicalein,5281605,O=C1C=C(c2ccccc2)Oc3c1c(O)c(O)c(O)c3,270.24,2.58,90.9,3,5,16.0,67.39,18.21,92.5,LOW_CYTOTOXIC,139.71,8.73,SAFE_LOW_RISK,PTGS1,P23219,Prostaglandin G/H synthase 1 (COX-1),0.82
baicalin,Baicalin,64982,O=C1C=C(c2ccccc2)Oc3c1c(O)c(O)c(O)c3OC4OC(C(=O)O)C(O)C(O)C4O,462.36,-0.15,207.35,7,11,24.0,70.26,32.49,92.7,LOW_CYTOTOXIC,613.5,25.56,SAFE_HIGH_SELECTIVITY,PTGS1,P23219,Prostaglandin G/H synthase 1 (COX-1),0.82
quercetin,Quercetin,5280343,O=C1C(O)=C(c2ccc(O)c(O)c2)Oc3cc(O)cc(O)c13,302.24,1.99,131.36,5,7,16.0,57.0,17.23,91.8,LOW_CYTOTOXIC,191.49,11.97,SAFE_HIGH_SELECTIVITY,PTGS1,P23219,Prostaglandin G/H synthase 1 (COX-1),0.82
chrysin,Chrysin,5281607,O=C1C=C(c2ccccc2)Oc3cc(O)cc(O)c13,254.24,2.87,70.67,2,4,32.0,73.28,18.63,92.9,LOW_CYTOTOXIC,118.73,3.71,SAFE_LOW_RISK,PTGS1,P23219,Prostaglandin G/H synthase 1 (COX-1),0.82
rosmarinic_acid,Rosmarinic acid,5281792,O=C(O)C(OC(=O)/C=C/c1ccc(O)c(O)c1)Cc2ccc(O)c(O)c2,360.32,1.76,144.52,5,7,16.0,54.94,19.8,91.7,LOW_CYTOTOXIC,246.88,15.43,SAFE_HIGH_SELECTIVITY,PTGS1,P23219,Prostaglandin G/H synthase 1 (COX-1),0.82
oroxylin_a,Oroxylin A,5281645,COc1c(O)c2c(oc(cc2=O)c3ccccc3)cc1O,284.27,2.88,79.9,2,5,24.0,65.61,18.65,92.4,LOW_CYTOTOXIC,132.36,5.52,SAFE_LOW_RISK,PTGS1,P23219,Prostaglandin G/H synthase 1 (COX-1),0.82
