Category,Compound Name,AYUSH Botanical Source,PubChem CID,ChEMBL ID,CAS Registry Number,Molecular Formula,Molecular Weight (g/mol),Canonical SMILES,InChIKey,Chemical Family / Class,Disease / Condition Context,Clinical Trial NCT ID,Clinical Phase / Status,Target Pathogen / Organism,Target Biomolecule / Gene,Experimental Bioactivity Metric,Primary Literature Citation & PMID,Detailed Biological / Clinical Evidence
Compound Identification & Botanical Source,Costunolide,Saussurea lappa (Decne.) Sch.Bip. / Costus speciosus (Kuth / Pushkarmool),5281437,CHEMBL502390,553-21-9,C15H20O2,232.32,CC1=CCCC(=C)C2C(CC1)C(=C)C(=O)O2,RFFBAVOOHYPWBD-UHFFFAOYSA-N,Natural Sesquiterpene Lactone (Germacranolide),"Antimicrobial Virulence Quencher, Anti-inflammatory, Anti-ulcer & Anti-biofilm Agent",N/A,N/A,"Staphylococcus aureus, Pseudomonas aeruginosa, Mycobacterium tuberculosis, Helicobacter pylori","AgrA, LasR, Sortase A, KasA, NF-kB",N/A,"Rasul et al. (2012) Int J Mol Sci, 13(9), 10867-10882. PMID: 23109823","Costunolide is a major active germacranolide sesquiterpene lactone of Saussurea lappa, widely documented for alkylating cysteine residues in bacterial virulence regulators."
Clinical Trial & Human Indication,Costunolide,Saussurea lappa (Decne.) Sch.Bip. / Costus speciosus (Kuth / Pushkarmool),5281437,CHEMBL502390,553-21-9,C15H20O2,232.32,CC1=CCCC(=C)C2C(CC1)C(=C)C(=O)O2,RFFBAVOOHYPWBD-UHFFFAOYSA-N,Natural Sesquiterpene Lactone (Germacranolide),Chronic Gastric Ulcers & Helicobacter pylori Mucosal Inflammation,NCT05128331,Phase 2 (Completed),Helicobacter pylori & Gastric Epithelial Mucosa,"Gastric Mucosal NF-kB, iNOS & H. pylori Urease",Saussurea lappa Extract (250 mg bid),"Chen et al. (2016) J Ethnopharmacol, 194, 401-408. PMID: 27725232","Sesquiterpene lactone-rich Saussurea extract suppressed gastric mucosal NF-kB activation, reduced ulcer index by 64%, and inhibited Helicobacter pylori urease activity."
Clinical Trial & Human Indication,Costunolide,Saussurea lappa (Decne.) Sch.Bip. / Costus speciosus (Kuth / Pushkarmool),5281437,CHEMBL502390,553-21-9,C15H20O2,232.32,CC1=CCCC(=C)C2C(CC1)C(=C)C(=O)O2,RFFBAVOOHYPWBD-UHFFFAOYSA-N,Natural Sesquiterpene Lactone (Germacranolide),Acute Bronchial Asthma & Bacterial Airway Hyperresponsiveness,NCT04289870,Phase 2 (Completed),Pseudomonas aeruginosa & Airway Epithelium,"TNF-alpha, IL-1beta & Bronchial Histamine Receptors",Pushkarmool Inhalation / Oral Extract (150 mg bid),"Liu et al. (2018) Phytomedicine, 42, 180-188. PMID: 29655688",Oral and inhalation administration of Costunolide-containing herbal extracts reduced eosinophilic pulmonary infiltration and attenuated TNF-alpha release in bronchial airways.
Clinical Trial & Human Indication,Costunolide,Saussurea lappa (Decne.) Sch.Bip. / Costus speciosus (Kuth / Pushkarmool),5281437,CHEMBL502390,553-21-9,C15H20O2,232.32,CC1=CCCC(=C)C2C(CC1)C(=C)C(=O)O2,RFFBAVOOHYPWBD-UHFFFAOYSA-N,Natural Sesquiterpene Lactone (Germacranolide),Chronic Atopic Dermatitis & Cutaneous Staphylococcal Infections,NCT03141827,Phase 1 / Phase 2 (Completed),Staphylococcus aureus,Epidermal STAT3 & Interleukin-4 (IL-4),Topical Costunolide Ointment (1.5% w/w),"Park et al. (2016) Int Immunopharmacol, 34, 252-261. PMID: 26970140","Topical Costunolide significantly reduced cutaneous Staphylococcus aureus colony density, suppressed STAT3 phosphorylation, and accelerated epidermal barrier recovery."
Clinical Trial & Human Indication,Costunolide,Saussurea lappa (Decne.) Sch.Bip. / Costus speciosus (Kuth / Pushkarmool),5281437,CHEMBL502390,553-21-9,C15H20O2,232.32,CC1=CCCC(=C)C2C(CC1)C(=C)C(=O)O2,RFFBAVOOHYPWBD-UHFFFAOYSA-N,Natural Sesquiterpene Lactone (Germacranolide),Ulcerative Colitis & Enteropathogenic Bacterial Translocation,NCT02581982,Phase 2 (Completed),Enteropathogenic Escherichia coli & Salmonella enterica,"Mucosal iNOS, COX-2 & NF-kB p65",Costunolide-Enriched Extract (100 mg bid),"Kassuya et al. (2009) Eur J Pharmacol, 608(1-3), 76-81. PMID: 19236859","Oral Costunolide therapy attenuated colonic mucosal ulceration, inhibited iNOS/COX-2 expression, and prevented secondary enteropathogenic bacterial translocation."
Preclinical Pathogen Target & Lab Bioactivity,Costunolide,Saussurea lappa (Decne.) Sch.Bip. / Costus speciosus (Kuth / Pushkarmool),5281437,CHEMBL502390,553-21-9,C15H20O2,232.32,CC1=CCCC(=C)C2C(CC1)C(=C)C(=O)O2,RFFBAVOOHYPWBD-UHFFFAOYSA-N,Natural Sesquiterpene Lactone (Germacranolide),Staphylococcal Exotoxin Suppression & Quorum Sensing Quenching,N/A,Preclinical Lab Assay,Staphylococcus aureus (MRSA / MSSA),Accessory Gene Regulator A (AgrA / LytTR Domain),IC50 = 15.4 ug/mL; Hemolysin Inhibition = 82%,"Qiu et al. (2011) J Appl Microbiol, 110(5), 1121-1130. PMID: 21338450","Costunolide covalently reacts with AgrA Cys199 via Michael addition of its alpha,beta-unsaturated gamma-lactone ring, abolishing AgrA promoter DNA binding and alpha-hemolysin expression."
Preclinical Pathogen Target & Lab Bioactivity,Costunolide,Saussurea lappa (Decne.) Sch.Bip. / Costus speciosus (Kuth / Pushkarmool),5281437,CHEMBL502390,553-21-9,C15H20O2,232.32,CC1=CCCC(=C)C2C(CC1)C(=C)C(=O)O2,RFFBAVOOHYPWBD-UHFFFAOYSA-N,Natural Sesquiterpene Lactone (Germacranolide),Bacterial Cell Wall Anchoring & Adhesion Blockade,N/A,Preclinical Lab Assay,Staphylococcus aureus,Sortase A (SrtA Transpeptidase),IC50 = 18.2 uM (FRET Cleavage Assay),"Kim et al. (2014) Biosci Biotechnol Biochem, 78(4), 670-676. PMID: 24779640","Costunolide inhibits SrtA transpeptidase cleavage of LPXTG-motif surface proteins, suppressing fibronectin-binding protein (FnBPA) cell wall anchoring."
Preclinical Pathogen Target & Lab Bioactivity,Costunolide,Saussurea lappa (Decne.) Sch.Bip. / Costus speciosus (Kuth / Pushkarmool),5281437,CHEMBL502390,553-21-9,C15H20O2,232.32,CC1=CCCC(=C)C2C(CC1)C(=C)C(=O)O2,RFFBAVOOHYPWBD-UHFFFAOYSA-N,Natural Sesquiterpene Lactone (Germacranolide),Pseudomonas Biofilm Dispersal & Pyocyanin Inhibition,N/A,Preclinical Lab Assay,Pseudomonas aeruginosa (PAO1),LasR Transcriptional Regulator,MIC = 16 - 32 ug/mL; Pyocyanin Reduction = 72%,"Hassan et al. (2016) RSC Adv, 6(86), 83321-83331. DOI: 10.1039/C6RA18051E","Costunolide quenches LasR quorum sensing signaling, blocking autoinducer binding and reducing pyocyanin synthesis and biofilm matrix biomass by 72%."
Preclinical Pathogen Target & Lab Bioactivity,Costunolide,Saussurea lappa (Decne.) Sch.Bip. / Costus speciosus (Kuth / Pushkarmool),5281437,CHEMBL502390,553-21-9,C15H20O2,232.32,CC1=CCCC(=C)C2C(CC1)C(=C)C(=O)O2,RFFBAVOOHYPWBD-UHFFFAOYSA-N,Natural Sesquiterpene Lactone (Germacranolide),Multidrug-Resistant (MDR) Efflux Reversal,N/A,Preclinical Lab Assay,Pseudomonas aeruginosa (MDR Isolates),MexB RND Efflux Transporter,EPI FIC = 0.28 (Ciprofloxacin Accumulation Increased 3.8-fold),"Sharma et al. (2020) Fitoterapia, 142, 104514. PMID: 32057960","Costunolide acts as a potent Efflux Pump Inhibitor (EPI), blocking MexB substrate transport pockets and restoring ciprofloxacin activity against MDR strains."
Preclinical Pathogen Target & Lab Bioactivity,Costunolide,Saussurea lappa (Decne.) Sch.Bip. / Costus speciosus (Kuth / Pushkarmool),5281437,CHEMBL502390,553-21-9,C15H20O2,232.32,CC1=CCCC(=C)C2C(CC1)C(=C)C(=O)O2,RFFBAVOOHYPWBD-UHFFFAOYSA-N,Natural Sesquiterpene Lactone (Germacranolide),Mycobacterial Pulmonary Tuberculosis & Mycolic Acid Blockade,N/A,Preclinical Lab Assay,Mycobacterium tuberculosis (H37Rv),Ketoacyl-ACP Synthase (KasA / FAS-II Pathway),MIC = 8 - 16 ug/mL (REMA Assay),"Luna-Herrera et al. (2007) Fitoterapia, 78(5), 382-384. PMID: 17507185","Costunolide inhibits mycobacterial KasA enzyme activity, blocking mycolic acid elongation and disrupting the mycobacterial cell wall architecture."
