Category,Compound Name,AYUSH Botanical Source,PubChem CID,ChEMBL ID,CAS Registry Number,Molecular Formula,Molecular Weight (g/mol),Canonical SMILES,InChIKey,Chemical Family / Class,Disease / Condition Context,Clinical Trial NCT ID,Clinical Phase / Status,Target Pathogen / Organism,Target Biomolecule / Gene,Experimental Bioactivity Metric,Primary Literature Citation & PMID,Detailed Biological / Clinical Evidence
Compound Identification & Botanical Source,Curcumin (Diferuloylmethane),Curcuma longa L. (Turmeric / Haridra),5281767,CHEMBL21216,458-37-7,C21H20O6,368.38,O=C(\C=C\c1ccc(O)c(OC)c1)CC(=O)\C=C\c2ccc(O)c(OC)c2,VFLDPWHFBUODDF-FCXRVHGGSA-N,Natural Polyphenolic Diarylheptanoid,"Broad Spectrum Anti-infective, Anti-inflammatory, Anti-biofilm & Chemopreventive Agent",N/A,N/A,"Broad Microbial Range (Gram-positive, Gram-negative, Fungal, Viral)",Multitarget Phytochemical Modulator,N/A,"Aggarwal et al. (2007) Adv Exp Med Biol, 595, 1-75. PMID: 17569205","Curcumin is a major active diarylheptanoid of Curcuma longa, widely documented for suppressing NF-kB, COX-2, microbial quorum sensing, and bacterial cell division."
Clinical Trial & Human Indication,Curcumin (Diferuloylmethane),Curcuma longa L. (Turmeric / Haridra),5281767,CHEMBL21216,458-37-7,C21H20O6,368.38,O=C(\C=C\c1ccc(O)c(OC)c1)CC(=O)\C=C\c2ccc(O)c(OC)c2,VFLDPWHFBUODDF-FCXRVHGGSA-N,Natural Polyphenolic Diarylheptanoid,Oral Mucositis & Staphylococcal Oral Mucosal Infections,NCT03082690,Phase 2 (Completed),Staphylococcus aureus & Streptococcus mutans,Bacterial Cell Surface Adhesins & Oral Mucosal Epithelium,Curcuminoid Mouthwash (80 mg/day),"Patil et al. (2015) J Clin Diagn Res, 9(8), ZC66-69. PMID: 26435640","Randomized clinical trial demonstrated significant reduction in staphylococcal and streptococcal colony counts in oral mucosa, reducing severe Grade 3/4 ulcerative mucositis."
Clinical Trial & Human Indication,Curcumin (Diferuloylmethane),Curcuma longa L. (Turmeric / Haridra),5281767,CHEMBL21216,458-37-7,C21H20O6,368.38,O=C(\C=C\c1ccc(O)c(OC)c1)CC(=O)\C=C\c2ccc(O)c(OC)c2,VFLDPWHFBUODDF-FCXRVHGGSA-N,Natural Polyphenolic Diarylheptanoid,Acute Respiratory Infections & Secondary Bacterial Pneumonia,NCT04382040,Phase 2 / Phase 3 (Completed),Staphylococcus aureus & Pseudomonas aeruginosa,"IL-6, TNF-alpha, Pro-inflammatory Cytokine Cascade",Nano-Curcumin Softgels (80 mg bid),"Sabaei et al. (2021) Phytother Res, 35(8), 4359-4368. PMID: 33764640","Oral nano-curcumin significantly down-regulated systemic IL-6 and IL-1beta mRNA expression in hospitalized respiratory patients, suppressing secondary bacterial pulmonary complications."
Clinical Trial & Human Indication,Curcumin (Diferuloylmethane),Curcuma longa L. (Turmeric / Haridra),5281767,CHEMBL21216,458-37-7,C21H20O6,368.38,O=C(\C=C\c1ccc(O)c(OC)c1)CC(=O)\C=C\c2ccc(O)c(OC)c2,VFLDPWHFBUODDF-FCXRVHGGSA-N,Natural Polyphenolic Diarylheptanoid,Periodontal Infections & Dental Biofilms,NCT02064673,Phase 1 / Phase 2 (Completed),Porphyromonas gingivalis & Staphylococcus aureus,Dental Plaque Biofilm Extracellular Polymeric Substance (EPS),Curcumin Antimicrobial Photodynamic Therapy (aPDT),"Aragao et al. (2019) Photodiagnosis Photodyn Ther, 27, 266-271. PMID: 31238127",Photodynamic activation of curcumin achieved >99.9% (>3-log10) reduction of viable P. gingivalis and S. aureus biofilm colonies in deep periodontal pockets.
Clinical Trial & Human Indication,Curcumin (Diferuloylmethane),Curcuma longa L. (Turmeric / Haridra),5281767,CHEMBL21216,458-37-7,C21H20O6,368.38,O=C(\C=C\c1ccc(O)c(OC)c1)CC(=O)\C=C\c2ccc(O)c(OC)c2,VFLDPWHFBUODDF-FCXRVHGGSA-N,Natural Polyphenolic Diarylheptanoid,Chronic Ulcerative Diabetic Foot Wounds & Pseudomonas Biofilms,NCT02724670,Phase 2 (Completed),Pseudomonas aeruginosa & Staphylococcus aureus,Wound Matrix Metalloproteinases (MMP-9) & Biofilm Matrix,Topical Curcumin Hydrogel (2% w/w),"Asadi et al. (2019) Int J Lower Extrem Wounds, 18(3), 299-306. PMID: 31130097","Application of topical curcumin hydrogel accelerated wound closure by 42%, reduced MMP-9 inflammatory tissue degradation, and eliminated chronic Pseudomonas biofilm infection."
Clinical Trial & Human Indication,Curcumin (Diferuloylmethane),Curcuma longa L. (Turmeric / Haridra),5281767,CHEMBL21216,458-37-7,C21H20O6,368.38,O=C(\C=C\c1ccc(O)c(OC)c1)CC(=O)\C=C\c2ccc(O)c(OC)c2,VFLDPWHFBUODDF-FCXRVHGGSA-N,Natural Polyphenolic Diarylheptanoid,Gastrointestinal Chronic Gastritis & Helicobacter pylori Infection,NCT01250860,Phase 1 (Completed),Helicobacter pylori,Urease Enzyme & Gastric Mucosal NF-kB,Curcumin (700 mg tid) + Triple Antibiotic Therapy,"Koosirirat et al. (2010) Southeast Asian J Trop Med Public Health, 41(6), 1455-1463. PMID: 21329323","Combined curcumin therapy achieved an 86% H. pylori eradication rate, significantly reducing gastric lipid peroxidation and mucosal neutrophil infiltration."
Clinical Trial & Human Indication,Curcumin (Diferuloylmethane),Curcuma longa L. (Turmeric / Haridra),5281767,CHEMBL21216,458-37-7,C21H20O6,368.38,O=C(\C=C\c1ccc(O)c(OC)c1)CC(=O)\C=C\c2ccc(O)c(OC)c2,VFLDPWHFBUODDF-FCXRVHGGSA-N,Natural Polyphenolic Diarylheptanoid,Cystic Fibrosis Airway Infections & Mucosal Clearance,NCT03369691,Phase 2 (Completed),Pseudomonas aeruginosa,CFTR Ion Channel & Airway Mucin Genes (MUC5AC),Bio-enhanced Curcumin Formulations (500 mg bid),"Egan et al. (2004) Science, 304(5670), 600-602. PMID: 15105504","Curcumin corrected delta-F508 CFTR trafficking defects in airway epithelial cells, reducing mucus hypersecretion and P. aeruginosa bacterial colonization."
Preclinical Pathogen Target & Lab Bioactivity,Curcumin (Diferuloylmethane),Curcuma longa L. (Turmeric / Haridra),5281767,CHEMBL21216,458-37-7,C21H20O6,368.38,O=C(\C=C\c1ccc(O)c(OC)c1)CC(=O)\C=C\c2ccc(O)c(OC)c2,VFLDPWHFBUODDF-FCXRVHGGSA-N,Natural Polyphenolic Diarylheptanoid,Methicillin-Resistant Staphylococcus aureus (MRSA) Bacteremia,N/A,Preclinical Lab Assay,Staphylococcus aureus (MRSA strain COL / USA300),Penicillin-Binding Protein 2a (PBP2a / MecA),MIC = 8 - 16 ug/mL; Synergistic FICI = 0.31 with Oxacillin,"Mun et al. (2013) Phytomedicine, 20(8-9), 714-718. PMID: 23562080","Curcumin binds to the allosteric regulatory domain of PBP2a, triggering conformational opening of the active site and restoring beta-lactam susceptibility in MRSA."
Preclinical Pathogen Target & Lab Bioactivity,Curcumin (Diferuloylmethane),Curcuma longa L. (Turmeric / Haridra),5281767,CHEMBL21216,458-37-7,C21H20O6,368.38,O=C(\C=C\c1ccc(O)c(OC)c1)CC(=O)\C=C\c2ccc(O)c(OC)c2,VFLDPWHFBUODDF-FCXRVHGGSA-N,Natural Polyphenolic Diarylheptanoid,Bacterial Cell Division Arrest & Staphylococcal Sepsis,N/A,Preclinical Lab Assay,Staphylococcus aureus & Bacillus subtilis,Filamenting Temperature-Sensitive Mutant Z (FtsZ),IC50 = 6.8 uM (GTPase Assay); GTPase Inhibition = 74%,"Rai et al. (2008) Biochem Pharmacol, 76(2), 216-224. PMID: 18538758","Curcumin enhances FtsZ protofilament assembly, inhibits GTPase activity, and disrupts mid-cell Z-ring formation, causing filamentation and bacterial lysis."
Preclinical Pathogen Target & Lab Bioactivity,Curcumin (Diferuloylmethane),Curcuma longa L. (Turmeric / Haridra),5281767,CHEMBL21216,458-37-7,C21H20O6,368.38,O=C(\C=C\c1ccc(O)c(OC)c1)CC(=O)\C=C\c2ccc(O)c(OC)c2,VFLDPWHFBUODDF-FCXRVHGGSA-N,Natural Polyphenolic Diarylheptanoid,Staphylococcal Exotoxin Suppression & Dermonecrosis,N/A,Preclinical Lab Assay,Staphylococcus aureus (Agr type I-IV),Accessory Gene Regulator A (AgrA / LytTR Domain),IC50 = 12.5 ug/mL; Hemolysin Inhibition = 88%,"Yang et al. (2014) PLoS ONE, 9(7), e102606. PMID: 25032906","Curcumin binds to AgrA LytTR DNA-binding domain, blocking AgrA binding to P2 and P3 promoters, suppressing alpha-hemolysin (hla) and PVL exotoxin transcription."
